# FROZEN PROMISE-CARRIER RANGES — companion to promise-ledger.tsv.
# Tree 90b3f29fef98d9f698fcec5c91da9fa64909f625. Date: 2026-09-13.
#
# Each ledger citation is frozen at line-range granularity with a hash of its
# exact text. File granularity would prevent legitimate changes elsewhere in a
# carrier while still failing to identify the precise promise being protected.
#
# GENERATED BY scripts/promise-ledger-freeze.py. The script collects every
# `path:line[-line]` citation from promise-ledger.tsv, reads exactly those lines,
# and hashes their newline-joined text without a trailing newline. Paths under
# src/** belong to the product-source set; paths under website/** belong to the
# website-documentation set.
#
# `--check` verifies coverage in both directions: every cited range is frozen,
# every frozen range is still cited, and every stored hash matches. Hashes guard
# exact text, not meaning; moving a range by inserting lines above it therefore
# causes conservative drift.
#
# The following overlap with p1-file-set.tsv is recomputed on every run:
#   P1 ∩ frozen: src/Analysis/Finding/Contract/Rule/LevelOptionsInterface.php:33-39, src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php:23-27, src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php:28-34
# The ranges overlapping that set are contract docblocks outside signatures and
# bodies. Other ranges live under website/docs/**, and options classes are not
# carriers because the ledger does not cite them.
#
# A carrier change is expected when its contract or documentation changes. In
# that case, re-derive the affected ledger rows and regenerate this file; an
# unreviewed silent carrier change is the failure this guard detects.
file	first_line	last_line	sha256_16	owner_package	first_line_text
src/Analysis/Finding/Contract/Rule/LevelOptionsInterface.php	33	39	f84132545b7f7be1	P1 (product source)	/**
src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php	23	27	517d0ff3436edc4c	P1 (product source)	* - **answered by the class** — recognised only so that `fromArray()` 
src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php	28	34	fe5921582c172eb5	P1 (product source)	* - **unknown** — everything else.
website/docs/getting-started/configuration.md	26	26	6a61c178688f5f0d	P6 (website documentation)	paths:
website/docs/getting-started/configuration.md	38	38	a7bd3458213029dc	P6 (website documentation)	exclude:
website/docs/getting-started/configuration.md	58	58	3122d60e43f70b33	P6 (website documentation)	suppress_paths:
website/docs/getting-started/configuration.md	94	94	c5ae903c48ee35a7	P6 (website documentation)	suppress_namespaces:
website/docs/getting-started/configuration.md	130	136	1f06a8606ddabfbc	P6 (website documentation)	**Disable a rule entirely:**
website/docs/getting-started/configuration.md	135	135	cd9df7cc053779ca	P6 (website documentation)	enabled: false
website/docs/getting-started/configuration.md	138	151	c843f97c2c4ab04b	P6 (website documentation)	**Override thresholds:**
website/docs/getting-started/configuration.md	152	166	b8e3c8ed35502ce5	P6 (website documentation)	**Threshold shorthand:**
website/docs/getting-started/configuration.md	160	160	01bb931b4cab2d6e	P6 (website documentation)	threshold: 15    # warning=15, error=15 → all violations are errors
