tree	site	owning_class	mechanism	reached_from_commands
before	src/Infrastructure/Console/Command/CheckCommand.php:316	Qualimetrix\Infrastructure\Console\Command\CheckCommand	direct getErrorOutput()	CheckCommand
before	src/Infrastructure/Console/Command/GraphExportCommand.php:175	Qualimetrix\Infrastructure\Console\Command\GraphExportCommand	direct getErrorOutput()	GraphExportCommand
before	src/Infrastructure/Console/DiagnosticOutput.php:17	Qualimetrix\Infrastructure\Console\DiagnosticOutput	direct getErrorOutput()	CheckCommand
before	src/Infrastructure/Console/FindingFilterOrchestrator.php:80	Qualimetrix\Infrastructure\Console\FindingFilterOrchestrator	DiagnosticOutput::stream()	CheckCommand
before	src/Infrastructure/Console/ProfilePresenter.php:28	Qualimetrix\Infrastructure\Console\ProfilePresenter	DiagnosticOutput::stream()	CheckCommand
before	src/Infrastructure/Console/ResultPresenter.php:82	Qualimetrix\Infrastructure\Console\ResultPresenter	DiagnosticOutput::write()	CheckCommand
before	src/Infrastructure/Console/ResultPresenter.php:191	Qualimetrix\Infrastructure\Console\ResultPresenter	DiagnosticOutput::write()	CheckCommand
before	src/Infrastructure/Console/ResultPresenter.php:212	Qualimetrix\Infrastructure\Console\ResultPresenter	DiagnosticOutput::write()	CheckCommand
before	src/Infrastructure/Console/ResultPresenter.php:221	Qualimetrix\Infrastructure\Console\ResultPresenter	DiagnosticOutput::write()	CheckCommand
before	src/Infrastructure/Console/ResultPresenter.php:232	Qualimetrix\Infrastructure\Console\ResultPresenter	DiagnosticOutput::write()	CheckCommand
before	src/Infrastructure/Console/ResultPresenter.php:242	Qualimetrix\Infrastructure\Console\ResultPresenter	DiagnosticOutput::write()	CheckCommand
before	src/Infrastructure/Console/RuntimeConfigurator.php:219	Qualimetrix\Infrastructure\Console\RuntimeConfigurator	new ConsoleProgressBar	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
before	src/Infrastructure/Console/RuntimeConfigurator.php:233	Qualimetrix\Infrastructure\Console\RuntimeConfigurator	direct getErrorOutput()	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
before	src/Infrastructure/Console/RuntimeConfigurator.php:254	Qualimetrix\Infrastructure\Console\RuntimeConfigurator	new ConsoleSectionOutput	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
before	src/Infrastructure/Logging/LoggerFactory.php:46	Qualimetrix\Infrastructure\Logging\LoggerFactory	direct getErrorOutput()	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
before	src/Infrastructure/Logging/LoggerFactory.php:54	Qualimetrix\Infrastructure\Logging\LoggerFactory	new ConsoleLogger	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
before	src/Infrastructure/Logging/LoggerFactory.php:59	Qualimetrix\Infrastructure\Logging\LoggerFactory	new FileLogger	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
before	src/Infrastructure/Parallel/WorkerBootstrap.php:331	Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	fwrite(STDERR)	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
after	src/Infrastructure/Console/ErrorStream.php:148	Qualimetrix\Infrastructure\Console\ErrorStream	direct getErrorOutput()	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand GraphExportCommand
after	src/Infrastructure/Console/ErrorStream.php:167	Qualimetrix\Infrastructure\Console\ErrorStream	new ConsoleSectionOutput	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand GraphExportCommand
after	src/Infrastructure/Console/Progress/ProgressConfigurator.php:71	Qualimetrix\Infrastructure\Console\Progress\ProgressConfigurator	new ConsoleProgressBar	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
after	src/Infrastructure/Logging/LoggerFactory.php:52	Qualimetrix\Infrastructure\Logging\LoggerFactory	new ConsoleLogger	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
after	src/Infrastructure/Logging/LoggerFactory.php:57	Qualimetrix\Infrastructure\Logging\LoggerFactory	new FileLogger	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
after	src/Infrastructure/Parallel/WorkerBootstrap.php:331	Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	fwrite(STDERR)	BaselineCleanupCommand BaselineExplainCommand BaselineGenerateCommand BaselineUpdateCommand CheckCommand LayerAssignmentCommand DirectivesCommand
