# Constructor-injected collaborator types of every rule and configuration
# validator — the second-order surface on which re-execution could leave state.
#
# WHAT PRODUCED IT: enumeration-rule-collaborators.py — same transitive rule set
# as enumeration-execution-state.py, plus ConfigurationValidatorInterface
# implementors, then a regex over each constructor parameter list. 50 classes,
# 40 of them without a constructor of their own.
#
# WHAT IT CANNOT SEE: collaborators obtained from a container or a factory
# inside a method rather than injected; transitive collaborators (this is one
# level deep); union and intersection parameter types, of which the regex keeps
# only the first name.
kind	class	file	collaborator
rule	AbstractCodeSmellRule	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php	(no constructor)
rule	AbstractRule	src/Analysis/Finding/Contract/Rule/AbstractRule.php	RuleOptionsInterface
rule	AbstractSecurityPatternRule	src/Analysis/Evidence/Security/AbstractSecurityPatternRule.php	(no constructor)
rule	AbstractTypeCoverageRule	src/Analysis/Evidence/Design/TypeCoverage/AbstractTypeCoverageRule.php	(no constructor)
rule	BooleanArgumentRule	src/Analysis/Evidence/CodeSmell/BooleanArgumentRule.php	(no constructor)
rule	CboRule	src/Analysis/Evidence/Coupling/CboRule.php	(no constructor)
rule	CircularDependencyRule	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	CircularDependencyAnalysis
rule	CircularDependencyRule	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	RuleOptionsInterface
rule	ClassCountRule	src/Analysis/Evidence/Size/ClassCountRule.php	(no constructor)
rule	ClassRankRule	src/Analysis/Evidence/Coupling/ClassRankRule.php	(no constructor)
rule	CodeDuplicationRule	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php	DuplicationResultProvider
rule	CodeDuplicationRule	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php	RuleOptionsInterface
rule	CognitiveComplexityRule	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php	(no constructor)
rule	CommandInjectionRule	src/Analysis/Evidence/Security/CommandInjectionRule.php	(no constructor)
rule	ComputedMetricRule	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	ComputedMetricDefinitionCatalogInterface
rule	ComputedMetricRule	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	ComputedMetricFindingBuilder
rule	ComputedMetricRule	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	ComputedMetricProducerOptions
rule	ComputedMetricRule	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	ComputedMetricRuleOptions
rule	ComputedMetricRule	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	ProfilerInterface
rule	ConstructorOverinjectionRule	src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php	(no constructor)
rule	CountInLoopRule	src/Analysis/Evidence/CodeSmell/CountInLoopRule.php	(no constructor)
rule	DataClassRule	src/Analysis/Evidence/Design/DataClass/DataClassRule.php	(no constructor)
rule	DebugCodeRule	src/Analysis/Evidence/CodeSmell/DebugCodeRule.php	(no constructor)
rule	DistanceRule	src/Analysis/Evidence/Coupling/DistanceRule.php	LoggerInterface
rule	DistanceRule	src/Analysis/Evidence/Coupling/DistanceRule.php	ProjectNamespaceResolverInterface
