options_class	rules	declared	declared_from	read_unguarded	read_branch_guarded	read_not_declared	declared_not_read
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	architecture.circular-dependency	directAsError,enabled,maxCycleSize	directAsError:constructor,enabled:constructor,maxCycleSize:constructor	directAsError,enabled,maxCycleSize	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	code-smell.boolean-argument	allowedPrefixes,enabled,flagPromotedProperties	allowedPrefixes:constructor,enabled:constructor,flagPromotedProperties:constructor	allowedPrefixes,enabled,flagPromotedProperties	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	code-smell.count-in-loop,code-smell.debug-code,code-smell.empty-catch,code-smell.eval,code-smell.exit,code-smell.goto,code-smell.superglobals	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	code-smell.constructor-overinjection	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	code-smell.error-suppression	allowedFunctions,enabled	allowedFunctions:constructor,enabled:constructor	allowedFunctions,enabled	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	code-smell.identical-subexpression	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	code-smell.long-parameter-list	enabled,error,threshold,voError,voThreshold,voWarning,warning	enabled:constructor,error:constructor,threshold:shorthand,voError:constructor,voThreshold:shorthand,voWarning:constructor,warning:constructor	enabled,error,threshold,voError,voThreshold,voWarning,warning	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions	code-smell.unreachable-code	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\UnusedPrivateOptions	code-smell.unused-private	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions	cohesion.lcom	enabled,error,excludeMethods,excludeReadonly,minMethods,threshold,warning	enabled:constructor,error:constructor,excludeMethods:constructor,excludeReadonly:constructor,minMethods:constructor,threshold:shorthand,warning:constructor	enabled,error,excludeMethods,excludeReadonly,minMethods,threshold,warning	-	-	-
