# Enumeration for the upcoming step "level as a type": ComputedMetricDefinition::$levels moves from
# list<SymbolType> to list<SymbolLevel>, and MetricRepositoryInterface::all(SymbolType) moves to
# accepting SymbolLevel. Snapshot at HEAD 1ce47801, branch rule-vocabulary-channel-levels, 2026-08-26.
# Freshly enumerated from code; the tables under docs/internal/plans/rule-vocabulary/*.tsv were NOT read
# (different question, would reproduce their own gaps).
#
# Method: two enumeration passes of different nature, cross-checked against each other.
#   (a) MCP Serena LSP references -- mcp__serena__find_referencing_symbols on
#       MetricRepositoryInterface::all, ComputedMetricDefinition::hasLevel, ::reportingLevels,
#       ::getFormulaForLevel (7 calls total: 1 failed lookup on the promoted property's synthetic
#       name path, 6 successful) and mcp__serena__find_implementations on MetricRepositoryInterface
#       (1 call). LSP resolves method-call targets through variables and dynamic arguments (e.g. it
#       found MetricsJsonFormatter's ->all($type) and HealthSummaryBuilder's ->all($symbolType) the
#       same way as literal ->all(SymbolType::Class_)), and it is immune to the property/property-name
#       collision described below. It does NOT resolve promoted-constructor-property reads/writes as
#       a symbol (the direct "ComputedMetricDefinition/levels" and "/__construct/levels" name-path
#       queries both failed), so property-level read/write enumeration fell entirely to grep.
#   (b) git grep -P (never -E: -E silently drops \b and \s in this git version) for ->all(, for
#       SymbolType::Method / ::Function_ co-occurrence, for ->levels / levels: writes, for mapLevel,
#       and for SymbolType usage across src/Reporting. Grep is textual: it caught two classes Serena's
#       targeted queries would have missed by construction -- the YAML-heredoc "levels: [namespace]"
#       fixture lines (not a PHP symbol at all) and the false-positive collision between
#       ComputedMetricDefinition::$levels (list<SymbolType>) and the unrelated, already-SymbolLevel-typed
#       ChannelDeclaration::$levels / ChannelLevelAddressing::$levels / InlineDirectivePolicy::$levels,
#       which share the property name "levels" and were manually disambiguated below by owning class
#       (import + receiver-variable naming: "$declaration->levels" is always ChannelDeclaration in this
#       codebase; "$definition->levels" / "$this->levels" inside ComputedMetricDefinition or its
#       readers is always the target property). Cross-check: Serena's 36-file ->all(SymbolType) call-site
#       set and grep's SymbolType::-literal + 4 known-dynamic-var set agree exactly (59 real call sites
#       after subtracting 4 docblock-comment lines that quote the call in prose, not code).
#
# Channels this method does NOT see (named per CLAUDE.md instruction, not silently assumed covered):
#   - string-identifier / YAML-key references: covered for the one channel that matters here (mapLevel's
#     'levels' YAML key, and its 'class'/'namespace'/'project' formula-key sibling), not swept generally.
#   - reflection (ReflectionProperty/ReflectionClass) reads of ->levels or ->all: NOT covered -- neither
#     pass detects reflection-mediated access; none is known to exist for these two members, but that is
#     an absence of evidence, not evidence of absence.
#   - PHPDoc-only generics (@param list<SymbolType> in a signature with no runtime SymbolType symbol):
#     covered only where grep's SymbolType text pattern also matched the docblock line; a generic typed
#     purely via a phpstan-only alias with no literal "SymbolType" token would be missed. None found.
#   - DI/YAML container configuration referencing these classes by string service id: NOT swept; neither
#     class is autowired by a role scan per CLAUDE.md Rule 7, so this is believed low-risk, not verified.
#   - dynamic ->all($var) / ->{$prop} calls where $var's origin could not be traced to a literal or a
#     grep-matched pattern: the 4 dynamic call sites found (HealthSummaryBuilder, BoundaryExplanationService,
#     MetricsJsonFormatter, AnalysisPipelineIntegrationTest) were traced by hand to their SymbolType-typed
#     origin; a fifth dynamic site reachable only through a deeper call chain would not surface from a
#     single-hop grep and was not searched for beyond Serena's reference graph.
#   - test doubles / mocks built with PHPUnit's createMock() or fixture factories that never mention
#     "SymbolType" or "levels" as literal tokens (e.g. a stub returning a pre-baked array): NOT covered
#     by text search; Serena's find_implementations (LSP-based, not text-based) is exhaustive for actual
#     `implements MetricRepositoryInterface` declarations and found the 2 listed under kind=implementation.
#   - external/out-of-repo consumers (no external users per CLAUDE.md Backward Compatibility Policy):
#     out of scope, matches project policy.
#
# Columns per kind are documented at each section's first row via the header immediately above it.
#
# kind=all-call -- every call site reaching MetricRepositoryInterface::all(SymbolType). 59 call sites,
# 55 literal SymbolType::X argument + 4 dynamic-variable argument (all 4 traced to a SymbolType-typed
# origin). 4 additional textual matches were prose inside docblocks quoting the call, not code, and are
# excluded from the count (LayerEvidenceCollector.php:181,208,277 and LayerViolationRuleTest.php:1552).
# Columns: kind, file, line, argument, argument_class(literal-SymbolType|dynamic|other), area(src|tests), note
kind	file	line	argument	argument_class	area	note
all-call	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php	143	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php	101	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricEvaluator.php	309	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/HealthScoreDrillDown.php	98	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/HealthScoreDrillDown.php	145	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/HealthScoreDrillDown.php	191	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/WorstClassDrillDown.php	72	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	96	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	227	$symbolType	dynamic	src	$symbolType is a HealthDimension-driven parameter (health drill-down worst-offenders), traced to SymbolType::Class_ at all call sites found
all-call	src/Analysis/Evidence/Coupling/AbstractnessCollector.php	79	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Coupling/CboRule.php	193	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Coupling/ClassRankRule.php	72	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Coupling/DistanceCollector.php	66	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Coupling/DistanceRule.php	104	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Coupling/InstabilityRule.php	234	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Design/DitGlobalCollector.php	68	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Design/NocCollector.php	102	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Measurement/Aggregation/NamespaceMetricContributions.php	96	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Measurement/Aggregation/NamespaceToProjectAggregator.php	52	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Prioritization/Impact/ClassRankResolver.php	42	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Security/AbstractSecurityPatternRule.php	140	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Security/HardcodedCredentialsRule.php	78	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Security/SensitiveParameterRule.php	78	SymbolType::File	literal-SymbolType	src	
all-call	src/Analysis/Evidence/Size/ClassCountRule.php	97	SymbolType::Namespace_	literal-SymbolType	src	
all-call	src/Analysis/Policy/Architecture/LayerViolation/LayerEvidenceCollector.php	235	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Analysis/Policy/Baseline/BoundaryExplanationService.php	313	$type	dynamic	src	iterates SymbolType::cases() (all 6, incl. Method/Function_ separately) to build a canonical exact-declaration index; a SymbolLevel-typed all() has only 5 cases and Callable must yield both -- this loop's shape is a direct consumer of the type-vs-level cardinality gap
all-call	src/Analysis/Run/Pipeline/AnalysisPipeline.php	327	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Infrastructure/Console/LayerAssignmentResolver.php	115	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Reporting/Formatter/Html/HtmlTreeBuilder.php	127	SymbolType::Class_	literal-SymbolType	src	
all-call	src/Reporting/Formatter/Html/HtmlTreeBuilder.php	231	SymbolType::File	literal-SymbolType	src	
all-call	src/Reporting/Formatter/MetricsJsonFormatter.php	40	$type	dynamic	src	loop var $type from a 6-entry [File,Project,Namespace_,Class_,Method,Function_] array; see kind=type-leak
all-call	tests/Analysis/Evidence/Complexity/Integration/WmcIntegrationTest.php	111	SymbolType::Class_	literal-SymbolType	tests	
