subject	channel_of_reference	path	what_it_references	how_found
A	docs	CHANGELOG.md	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	docs	docs/internal/CLI_CONVENTIONS.md	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	docs	docs/internal/SCANNER_VALIDATION_ROUND_2_PLAN.md	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/production-class-string-targets.tsv	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/production-cross-owner-imports.tsv	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/production-extension-families.tsv	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/production-ownership.tsv	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/production-public-imports.tsv	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/test-ownership.tsv	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	docs/internal/generated/modular-architecture/test-phpunit-discovery.txt	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	config	docs/internal/modular-architecture-manifest.json	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	docs	docs/internal/plans/baseline-compaction/enumeration-identity.md	design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/channel-identity-substrate.md	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/client-requests/threshold-override-exact-matching.md	design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/modular-architecture/p6/p6-relations-ledger.md	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	docs	docs/internal/plans/rule-vocabulary/PLAN.md	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	docs	docs/internal/plans/rule-vocabulary/enumeration-channel-levels.tsv	design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/rule-vocabulary/enumeration-magnitude-levels.tsv	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/rule-vocabulary/enumeration-renames.tsv	design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/rule-vocabulary/enumeration-rules.tsv	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/sarif-channel-descriptions.md	design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/sarif-channel-descriptions/channel-inventory.tsv	design.type-coverage(.param|.return|.property)	grep
A	docs	docs/internal/plans/sarif-channel-descriptions/sarif-table-coverage.tsv	design.type-coverage(.param|.return|.property)	grep
A	fixture	finding-gate/cases/design/case.json	design.type-coverage(.param|.return|.property)	grep
A	fixture	finding-gate/cases/health/case.json	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	config	qmx-baseline.json	design.type-coverage(.param|.return|.property)	grep
A	config	qmx.yaml	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	config	qmx.yaml.example	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	string-id	scripts/finding-gate/SelfTest.php	design.type-coverage(.param|.return|.property)	grep
A	string-id	scripts/generate-rename-enumeration.php	design.type-coverage(.param|.return|.property)	grep
A	config	src/Analysis/Configuration/Preset/legacy.yaml	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	config	src/Analysis/Configuration/Preset/strict.yaml	design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	docs	src/Analysis/Configuration/README.md	design.type-coverage(.param|.return|.property);type-coverage-{param,return,property}-{warning,error} CLI alias;{param,return,property}_{warning,error,threshold} option key	grep
A	docs	src/Analysis/Evidence/Design/README.md	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	string-id	src/Analysis/Evidence/Design/TypeCoverageOptions.php	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	php-symbol	src/Analysis/Evidence/Design/TypeCoverageRule.php	TypeCoverageOptions;TypeCoverageRule::NAME	serena
A	string-id	src/Analysis/Evidence/Design/TypeCoverageRule.php	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property);type-coverage-{param,return,property}-{warning,error} CLI alias;{param,return,property}_{warning,error,threshold} option key	grep
A	string-id	src/Analysis/Finding/Contract/Rule/ShorthandOptionKeysInterface.php	design.type-coverage(.param|.return|.property)	grep
A	string-id	src/Analysis/Finding/RuleConfiguration/RuleOptionsFactory.php	design.type-coverage(.param|.return|.property)	grep
A	string-id	src/Analysis/Finding/RuleConfiguration/RuleThresholdKeyGroupRegistry.php	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property);{param,return,property}_{warning,error,threshold} option key	grep
A	string-id	src/Infrastructure/Console/Command/BaselineConfiguredThresholds.php	design.type-coverage(.param|.return|.property)	grep
A	php-symbol	tests/Analysis/Evidence/Design/Unit/TypeCoverageOptionsTest.php	TypeCoverageOptions	serena
A	string-id	tests/Analysis/Evidence/Design/Unit/TypeCoverageOptionsTest.php	TypeCoverageRule/TypeCoverageOptions class-string;{param,return,property}_{warning,error,threshold} option key	grep
A	php-symbol	tests/Analysis/Evidence/Design/Unit/TypeCoverageRuleTest.php	TypeCoverageRule;TypeCoverageOptions;TypeCoverageRule::NAME	serena
A	string-id	tests/Analysis/Evidence/Design/Unit/TypeCoverageRuleTest.php	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property);type-coverage-{param,return,property}-{warning,error} CLI alias;{param,return,property}_{warning,error,threshold} option key	grep
A	string-id	tests/Analysis/Evidence/Prioritization/Support/StubRemediationMinutes.php	design.type-coverage(.param|.return|.property)	grep
A	string-id	tests/Analysis/Evidence/Prioritization/Unit/Debt/RemediationTimeRegistryTest.php	design.type-coverage(.param|.return|.property)	grep
A	fixture	tests/Analysis/Finding/Fixtures/Channels/declared.txt	design.type-coverage(.param|.return|.property)	grep
A	fixture	tests/Analysis/Finding/Fixtures/Channels/order.txt	design.type-coverage(.param|.return|.property)	grep
A	php-symbol	tests/Analysis/Finding/Integration/ChannelCoverageTest.php	TypeCoverageRule;TypeCoverageOptions	serena
A	string-id	tests/Analysis/Finding/Integration/ChannelCoverageTest.php	TypeCoverageRule/TypeCoverageOptions class-string	grep
A	string-id	tests/Analysis/Finding/Integration/ChannelEmissionStaticGuardTest.php	design.type-coverage(.param|.return|.property)	grep
A	string-id	tests/Analysis/Finding/Integration/ChannelLevelAssemblyTopologyTest.php	design.type-coverage(.param|.return|.property)	grep
A	php-symbol	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	TypeCoverageRule;TypeCoverageRule::NAME	serena
A	string-id	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	TypeCoverageRule/TypeCoverageOptions class-string;design.type-coverage(.param|.return|.property)	grep
A	php-symbol	tests/Analysis/Finding/Integration/RuleOptionKeyNormalizationTest.php	TypeCoverageRule;TypeCoverageOptions	serena
