rule	level	option	kind	cli_alias	alias_target_as_authored
code-smell.boolean-argument	-	allowed-prefixes	option	-	-
code-smell.boolean-argument	-	enabled	option	-	-
code-smell.boolean-argument	-	flag-promoted-properties	option	-	-
code-smell.constructor-overinjection	-	enabled	option	-	-
code-smell.constructor-overinjection	-	error	option	constructor-overinjection-error	error
code-smell.constructor-overinjection	-	threshold	option	-	-
code-smell.constructor-overinjection	-	warning	option	constructor-overinjection-warning	warning
code-smell.count-in-loop	-	enabled	option	-	-
code-smell.debug-code	-	enabled	option	-	-
code-smell.empty-catch	-	enabled	option	-	-
code-smell.error-suppression	-	allowed-functions	option	-	-
code-smell.error-suppression	-	enabled	option	-	-
code-smell.eval	-	enabled	option	-	-
code-smell.exit	-	enabled	option	-	-
code-smell.goto	-	enabled	option	-	-
code-smell.identical-subexpression	-	enabled	option	-	-
code-smell.long-parameter-list	-	enabled	option	-	-
code-smell.long-parameter-list	-	error	option	long-parameter-list-error	error
code-smell.long-parameter-list	-	threshold	option	-	-
code-smell.long-parameter-list	-	vo-error	option	long-parameter-list-vo-error	vo-error
code-smell.long-parameter-list	-	vo-threshold	option	-	-
code-smell.long-parameter-list	-	vo-warning	option	long-parameter-list-vo-warning	vo-warning
code-smell.long-parameter-list	-	warning	option	long-parameter-list-warning	warning
code-smell.superglobals	-	enabled	option	-	-
code-smell.unreachable-code	-	enabled	option	-	-
code-smell.unreachable-code	-	error	option	unreachable-code-error	error
code-smell.unreachable-code	-	threshold	option	-	-
code-smell.unreachable-code	-	warning	option	unreachable-code-warning	warning
code-smell.unused-private	-	enabled	option	-	-
cohesion.lcom	-	enabled	option	-	-
cohesion.lcom	-	error	option	lcom-error	error
cohesion.lcom	-	exclude-methods	option	lcom-exclude-methods	excludeMethods
cohesion.lcom	-	exclude-readonly	option	lcom-exclude-readonly	excludeReadonly
cohesion.lcom	-	min-methods	option	lcom-min-methods	minMethods
cohesion.lcom	-	threshold	option	-	-
cohesion.lcom	-	warning	option	lcom-warning	warning
complexity.cognitive	-	callable	level-slot	-	-
complexity.cognitive	-	class	level-slot	-	-
