surface	command	door	site	outcome	decided_by	signal_source	note
cli	(global)	--working-dir	whole-value	REFUSES	exit codes plus the product refusal framing	observation	
cli	(global)	command	whole-value	NOT OBSERVABLE	text	observation	H and A are indistinguishable on this observable, so a miss cannot be told from a hit
cli	_complete	--api-version	whole-value	NOT REFERENTIAL	annotation	none	Symfony completion internals
cli	_complete	--current	whole-value	NOT REFERENTIAL	annotation	none	Symfony completion internals
cli	_complete	--input	whole-value	NOT REFERENTIAL	annotation	none	Symfony completion internals
cli	_complete	--shell	whole-value	NOT REFERENTIAL	annotation	none	Symfony completion internals
cli	_complete	--symfony	whole-value	NOT REFERENTIAL	annotation	none	Symfony completion internals
cli	baseline:cleanup	--config	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:cleanup	--disable-rule	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:cleanup	--only-rule	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:cleanup	--preset	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:cleanup	--remove	whole-value	SPEAKS	declared signal fired on M	observation	
cli	baseline:cleanup	--rule-opt	missing-equals-value	REFUSES	exit codes plus the product refusal framing	cure:989e8f22	
cli	baseline:cleanup	--rule-opt	rule-option-name	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:cleanup	baseline	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:cleanup	paths	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--baseline	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--channel	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--config	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--disable-rule	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--only-rule	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--preset	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	--rule-opt	missing-equals-value	REFUSES	exit codes plus the product refusal framing	cure:989e8f22	
cli	baseline:explain	--rule-opt	rule-option-name	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	paths	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:explain	subject	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:generate	--config	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:generate	--disable-rule	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:generate	--mode	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
cli	baseline:generate	--only-rule	whole-value	REFUSES	exit codes plus the product refusal framing	dictionary	
