source_path	source_fqcn	source_owner	target_path	target_fqcn	target_owner	declared_operations	observed_operations	behavioral_verdict	qmx_projection
src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\ChannelDeclarationCompilerPass	Infrastructure.DependencyInjection	src/Analysis/Finding/ChannelPresentationView.php	Qualimetrix\Analysis\Finding\ChannelPresentationView	Analysis.Finding	definition_argument_mutation	definition_argument_mutation	used	"infrastructure-dependencyinjection -> analysis-finding"
src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\ChannelDeclarationCompilerPass	Infrastructure.DependencyInjection	src/Infrastructure/Rule/ChannelUniverse.php	Qualimetrix\Infrastructure\Rule\ChannelUniverse	Infrastructure.Rule	definition_argument_mutation	definition_argument_mutation	used	"infrastructure-dependencyinjection -> infrastructure-rule"
src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\ChannelDeclarationCompilerPass	Infrastructure.DependencyInjection	src/Infrastructure/Rule/KnownRuleNamesAdapter.php	Qualimetrix\Infrastructure\Rule\KnownRuleNamesAdapter	Infrastructure.Rule	definition_argument_mutation	definition_argument_mutation	used	"infrastructure-dependencyinjection -> infrastructure-rule"
src/Infrastructure/DependencyInjection/CompilerPass/ConfigurationValidatorCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\ConfigurationValidatorCompilerPass	Infrastructure.DependencyInjection	src/Infrastructure/Rule/ConfigurationValidatorRegistry.php	Qualimetrix\Infrastructure\Rule\ConfigurationValidatorRegistry	Infrastructure.Rule	definition_argument_mutation	definition_argument_mutation	used	"infrastructure-dependencyinjection -> infrastructure-rule"
src/Infrastructure/DependencyInjection/CompilerPass/ParallelCollectorClassesCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\ParallelCollectorClassesCompilerPass	Infrastructure.DependencyInjection	src/Infrastructure/Parallel/FileProcessingTaskFactory.php	Qualimetrix\Infrastructure\Parallel\FileProcessingTaskFactory	Infrastructure.Parallel	definition_argument_mutation	definition_argument_mutation	used	"infrastructure-dependencyinjection -> infrastructure-parallel"
src/Infrastructure/DependencyInjection/CompilerPass/RuleOptionsCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\RuleOptionsCompilerPass	Infrastructure.DependencyInjection	src/Infrastructure/Logging/DelegatingLogger.php	Qualimetrix\Infrastructure\Logging\DelegatingLogger	Infrastructure.Logging	conditional_service_reference	conditional_service_reference	used	"infrastructure-dependencyinjection -> infrastructure-logging"
src/Infrastructure/DependencyInjection/CompilerPass/RuleRegistryCompilerPass.php	Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\RuleRegistryCompilerPass	Infrastructure.DependencyInjection	src/Infrastructure/Rule/RuleRegistry.php	Qualimetrix\Infrastructure\Rule\RuleRegistry	Infrastructure.Rule	definition_argument_mutation	definition_argument_mutation	used	"infrastructure-dependencyinjection -> infrastructure-rule"
src/Infrastructure/DependencyInjection/Configurator/AnalysisConfigurator.php	Qualimetrix\Infrastructure\DependencyInjection\Configurator\AnalysisConfigurator	Infrastructure.DependencyInjection	src/Infrastructure/Logging/DelegatingLogger.php	Qualimetrix\Infrastructure\Logging\DelegatingLogger	Infrastructure.Logging	service_reference	service_reference	used	"infrastructure-dependencyinjection -> infrastructure-logging"
src/Infrastructure/DependencyInjection/Configurator/ArchitectureConfigurator.php	Qualimetrix\Infrastructure\DependencyInjection\Configurator\ArchitectureConfigurator	Infrastructure.DependencyInjection	src/Infrastructure/Console/ConfigurationInputAdapter.php	Qualimetrix\Infrastructure\Console\ConfigurationInputAdapter	Infrastructure.Console	service_reference	service_reference	used	"infrastructure-dependencyinjection -> infrastructure-console"
src/Infrastructure/DependencyInjection/Configurator/ArchitectureConfigurator.php	Qualimetrix\Infrastructure\DependencyInjection\Configurator\ArchitectureConfigurator	Infrastructure.DependencyInjection	src/Infrastructure/Console/RuleInputValidator.php	Qualimetrix\Infrastructure\Console\RuleInputValidator	Infrastructure.Console	service_reference	service_reference	used	"infrastructure-dependencyinjection -> infrastructure-console"
