path	fqcn	proposed_owner	state_scope	mutable_static_properties	mutable_instance_properties	lifecycle_methods
src/Analysis/Configuration/Pipeline/ConfigurationPipeline.php	Qualimetrix\Analysis\Configuration\Pipeline\ConfigurationPipeline	Analysis.Configuration	"runtime or composition registry"	-	stages	addStage
src/Analysis/Evidence/CircularDependency/CircularDependencyAnalysis.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyAnalysis	Analysis.Evidence.CircularDependency	"request scratch or mutable internal value"	-	cycles	prepare,reset
src/Analysis/Evidence/CircularDependency/CircularDependencyDetector.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyDetector	Analysis.Evidence.CircularDependency	"request scratch or mutable internal value"	-	index,indices,lowlinks,onStack,sccs,stack,symbolPathMap	collectComponentRootedAt,detect,reset
src/Analysis/Evidence/CodeSmell/CodeSmellVisitor.php	Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellVisitor	Analysis.Evidence.CodeSmell	"per-file or derivation state"	-	chainAttempts,locations,methodStack	reset
src/Analysis/Evidence/CodeSmell/ParameterCountVisitor.php	Qualimetrix\Analysis\Evidence\CodeSmell\ParameterCountVisitor	Analysis.Evidence.CodeSmell	"per-file or derivation state"	-	parameterCounts,readonlyStack,scopes,voConstructors	reset
src/Analysis/Evidence/CodeSmell/RepeatedExpression/IdenticalSubExpressionVisitor.php	Qualimetrix\Analysis\Evidence\CodeSmell\RepeatedExpression\IdenticalSubExpressionVisitor	Analysis.Evidence.CodeSmell	"per-file or derivation state"	-	continuedIfs,findings	reset
src/Analysis/Evidence/CodeSmell/UnreachableCodeVisitor.php	Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeVisitor	Analysis.Evidence.CodeSmell	"per-file or derivation state"	-	firstUnreachableLines,scopes,unreachableCounts	reset
src/Analysis/Evidence/CodeSmell/UnusedPrivateClassData.php	Qualimetrix\Analysis\Evidence\CodeSmell\UnusedPrivateClassData	Analysis.Evidence.CodeSmell	"request scratch or mutable internal value"	-	declaredConstants,declaredMethods,declaredProperties,hasMagicCall,hasMagicCallStatic,hasMagicGet,hasMagicSet,usedConstants,usedMethods,usedProperties	-
src/Analysis/Evidence/CodeSmell/UnusedPrivateVisitor.php	Qualimetrix\Analysis\Evidence\CodeSmell\UnusedPrivateVisitor	Analysis.Evidence.CodeSmell	"per-file or derivation state"	-	classData,classStack,currentNamespace,methodStack,sameClassReceiverScopes,traitDefinitions	buildFqn,reset
src/Analysis/Evidence/Cohesion/ClassVisitorStackTrait.php	Qualimetrix\Analysis\Evidence\Cohesion\ClassVisitorStackTrait	Analysis.Evidence.Cohesion	"per-file or derivation state"	-	classStack,currentNamespace	buildClassFqn,resetClassVisitorStack
src/Analysis/Evidence/Cohesion/LcomClassData.php	Qualimetrix\Analysis\Evidence\Cohesion\LcomClassData	Analysis.Evidence.Cohesion	"request scratch or mutable internal value"	-	hasNonTrivialMethod,methodCalls,methods,propertyAccesses,statelessMethods,staticMethods	addMethod,addMethodCall,addPropertyAccess
