# FORM-DECIDING CONFIGURATION SITES
# One row per physical source line that decides the shape of a user-supplied configuration value. Consecutive mechanisms on one line remain one row in execution order.
# The inventory follows input doors to consumers and includes option classes, configuration roots, inline directives, CLI adapters, composer input, and architecture sub-schemas.
# Scope contains 455 sites in 84 files: 447 USER_INPUT and 8 MEASURED_VALUE. Of the 440 sites outside RuleOptionsFactory, 205 are within the rule-option declaration boundary and 235 are explicit exclusions.
# Blind spots: PHP numeric widening, values inside computed-metric formulas, baseline documents, multi-line casts, Symfony Console parsing, and unnamed-key sites that require the companion resolution table.
# Reachability is explicit: typed withOverride inputs and empty-config branches may be unreachable through the factory even though direct calls can reach them.
# Columns: file, line, class, method, key, kind, input_kind, on_mismatch, reachable, in_factory, exception_candidate, reason, snippet.
#
file	line	class	method	key	kind	on_mismatch	value	door	in_factory	exception_candidate	snippet
src/Analysis/Configuration/Discovery/ComposerReader.php	81	ComposerReader	productionAutoloadTargets	autoload	проверка is_*+подстановка дефолта	молча дефолт	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (!\is_array($data['autoload'] ?? null)) {
src/Analysis/Configuration/Discovery/ComposerReader.php	91	ComposerReader	productionAutoloadTargets	psr-4	подстановка дефолта	молча дефолт	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	...$this->prefixMapPaths($autoload['psr-4'] ?? null),
src/Analysis/Configuration/Discovery/ComposerReader.php	92	ComposerReader	productionAutoloadTargets	psr-0	подстановка дефолта	молча дефолт	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	...$this->prefixMapPaths($autoload['psr-0'] ?? null),
src/Analysis/Configuration/Discovery/ComposerReader.php	93	ComposerReader	productionAutoloadTargets	classmap	подстановка дефолта	молча дефолт	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	...$this->pathListPaths($autoload['classmap'] ?? null),
src/Analysis/Configuration/Discovery/ComposerReader.php	94	ComposerReader	productionAutoloadTargets	files	подстановка дефолта	молча дефолт	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	...$this->pathListPaths($autoload['files'] ?? null),
src/Analysis/Configuration/Discovery/ComposerReader.php	112	ComposerReader	prefixMapPaths	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (!\is_array($map)) {
src/Analysis/Configuration/Discovery/ComposerReader.php	134	ComposerReader	pathListPaths	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (!\is_array($list)) {
src/Analysis/Configuration/Discovery/ComposerReader.php	164	ComposerReader	decode	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	return \is_array($data) ? $data : null;
src/Analysis/Configuration/Discovery/ComposerReader.php	181	ComposerReader	collectPsr4Roots	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (!isset($data[$section]['psr-4']) || !\is_array($data[$section]['psr-4'])) {
src/Analysis/Configuration/Discovery/ComposerReader.php	186	ComposerReader	collectPsr4Roots	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (!\is_string($prefix)) {
