class	address	what it holds	this change
writer	src/Analysis/Evidence/Design/Inheritance/DitGlobalCollector.php	builds the child map by name, writes the logical class	rewritten: child map by declaration, a write per declaration, one deterministic logical value
writer	src/Analysis/Evidence/Design/Inheritance/NocCollector.php	counts extends edges, writes the logical class	child side deduplicated by name; parent side unchanged
writer	src/Analysis/Evidence/Design/Inheritance/InheritanceDepthCollector.php	per-file depth, overwritten by the global pass	untouched; it also decides the declaration population (see ClassProducerOrdinalTest)
reader	src/Analysis/Evidence/Design/Inheritance/InheritanceRule.php	reads the logical projection while iterating declarations	reads the declaration subject it iterates
reader	src/Analysis/Evidence/Design/Inheritance/NocRule.php	reads the logical projection	unchanged by decision; NOC is a fact about a name
reader	src/Reporting/Formatter/MetricsJsonFormatter.php	publishes every class-level key by logical class	sees a deterministic logical value instead of an order-dependent one
reader	src/Reporting/Formatter/Html/HtmlTreeBuilder.php	same, for the HTML tree	same
reader	src/Analysis/Evidence/Measurement/Aggregation/NamespaceMetricContributions.php	namespace and project rollups over logical classes	denominator unchanged; the collapsed value becomes deterministic
reader	src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricEvaluator.php	a user formula may name design.dit by string	keeps reading one value per name -- the reason the logical projection keeps carrying one
reader	src/Analysis/Policy/Baseline/ExplainedSubject.php	indexes declarations, then logical subjects	baseline:explain gains a per-declaration depth for a duplicated name
reader	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	hint text keyed by metric name	unchanged; no built-in health formula names dit or noc
name only	src/Analysis/Configuration/Preset/{strict,legacy}.yaml, qmx.yaml, qmx.yaml.example, src/Analysis/Finding/RuleConfiguration/RuleThresholdKeyGroupRegistry.php, src/Analysis/Configuration/Pipeline/RuleNameValidator.php	rule name and thresholds	unchanged
value oracle	tests/Analysis/Evidence/Measurement/Integration/Aggregation/GoldenFileAggregationTest.php	pins design.dit per class on a golden fixture with no duplicated name	must stay green: it is the regression witness for the ordinary case
value oracle	tests/Analysis/Evidence/Design/Integration/Inheritance/{DitAggregateRunTest,AnonymousClassDeclarationEdgeRunTest}.php	pin aggregates and logical-class values	must stay green; neither can see the half-done state, which is why P1 adds a finding-level witness
value oracle	tests/Analysis/Evidence/Design/Unit/Inheritance/{DitGlobalCollectorTest,NocCollectorTest,NocRuleTest,InheritanceRuleTest,InheritanceDepthCollectorTest,InheritanceDepthUseAliasTest}.php	seed the repository and assert the written values	DitGlobalCollectorTest reseeded onto declarations; InheritanceRuleTest mocks get() and must follow the read
value oracle	tests/Reporting/Unit/{Formatter/Sarif/SarifFormatterTest,Health/HealthHintProjectorTest}.php, html-report/tests/hints.test.js	rule name and hint thresholds, not measured values	unchanged
registry	docs/internal/modular-architecture-manifest.json	exact owner and import policy	a new cross-owner import from Design.Inheritance must be listed or architecture:check refuses it
registry	docs/internal/generated/modular-architecture/*	projections of the manifest and the test inventory	regenerated by composer architecture:generate, never hand-edited
registry	finding-gate/enumeration-static-channels.tsv	judged_metric_source carries file:line for InheritanceRule and NocRule	already stale before this change (68/114 and 81/108 against a recorded 75/121); shifted again, and composer check does not read it
registry	promise-effect/promise-ledger-frozen-ranges.tsv	hashed line ranges inside website/docs/rules/design.md and usage/cli-options.md	shifts if the website pages gain or lose lines; checked by composer promise-ledger:freeze:check, which composer check does not run
registry	governance/Channel/Fixtures/{declared.txt,observed-levels.tsv,order.txt}	channel drift oracle	unchanged: no channel is added, renamed or moved between levels
registry	finding-gate/{enumeration-renames.tsv,enumeration-renames-executed.tsv}	rename vocabulary	unchanged: nothing is renamed
registry	docs/internal/generated/{promise-effect,input-doors,suppression}/*	measured artifacts	regenerated by composer check:artifacts if they move
documentation	website/docs/rules/design.{md,ru.md}, website/docs/reference/default-thresholds.{md,ru.md}, website/docs/reference/remediation-time.{md,ru.md}, website/docs/rules/index.{md,ru.md}, website/docs/usage/cli-options.{md,ru.md}, src/Analysis/Evidence/Design/README.md, src/Analysis/Configuration/README.md, docs/migration/v0.26-rename-map.{md,tsv}, CHANGELOG.md, docs/adr/*	prose	design.{md,ru.md}, the Design README, CHANGELOG and a new ADR are edited; the rest describe names and thresholds that do not move
