concurrent_copies	wall_s	user_s
1	5.78	5.74
2	5.92	5.89
2	5.79	5.76
4	6.11	6.08
4	6.03	6.00
4	6.08	6.05
4	5.99	5.96
5	7.00	6.97
5	6.81	6.78
5	6.92	6.88
5	6.99	6.96
5	6.92	6.89
6	7.53	7.50
6	7.53	7.51
6	7.62	7.59
6	7.50	7.47
6	7.69	7.66
6	7.41	7.38
7	8.45	8.42
7	8.34	8.30
7	8.38	8.34
7	8.23	8.19
7	8.28	8.25
7	8.39	8.36
7	8.41	8.38
8	8.68	8.64
8	8.79	8.75
8	8.85	8.81
8	8.91	8.88
8	8.98	8.94
8	8.88	8.84
8	8.89	8.85
8	8.97	8.93
10	9.33	9.29
10	9.23	9.19
10	9.36	9.32
10	9.56	9.51
10	9.02	8.97
10	9.26	9.22
10	9.96	9.92
10	9.28	9.24
10	9.23	9.18
10	9.44	9.40
12	10.05	9.78
12	10.13	9.87
12	9.90	9.66
12	9.92	9.63
12	9.97	9.68
12	10.08	9.85
12	10.13	9.82
12	9.95	9.64
12	10.02	9.68
12	10.24	9.94
12	9.84	9.57
12	9.77	9.52
FINISHED
