# Where a threshold DECISION is actually taken. One row per DECISION SITE, not
# per rule: the first edition of this table gave one row per rule and hid three
# facts at once — LongParameterListRule takes three decisions, the five
# hierarchical rules take one per level, and a package split keyed on "rules"
# therefore put the same file in two packages. Review round 1 (comprehensive,
# codex, qwen — all three independently) rejected the plan on that.
#
# This is not enumeration-threshold-decision-shapes.tsv. That table classifies
# the 27 options classes by the decision they OFFER, and stays correct about it.
# This one locates every place the decision is TAKEN, which is what Ш7 replaces.
#
# HOW IT WAS OBTAINED
#   For every src/**/*Rule.php that is neither Abstract* nor an interface, scan
#   the rule class and — when it extends a base other than AbstractRule — that
#   base too, line by line, for:
#     getEffectiveSeverity(   -> one-call-helper        (the sanctioned path)
#     ->getSeverity(          -> options-getSeverity
#     ->getVoSeverity(        -> options-getVoSeverity  (LongParameterList only)
#     getThresholdOverride(   -> raw-override-read      (bypasses getEffectiveOptions)
#   A rule with no such line gets one `decides-in-rule` row and no line number.
#   Lines declaring a function, and lines starting a docblock, are skipped.
#   Options class: the first `XOptions::class` literal in the same scope.
#
# WHAT THIS METHOD DOES NOT SEE
# - AbstractRule is deliberately outside the walk: its own `->getSeverity()`
#   lives inside getEffectiveSeverity(), so including it marks all 45 rules as
#   asking. An earlier pass that did include it reported 45/45; one that ignored
#   inheritance entirely called the three type-coverage rules inline deciders,
#   though AbstractTypeCoverageRule asks for them. Both looked finished.
# - A decision expressed through an accessor named none of the four above.
#   getVoSeverity was found only because a reviewer read the rule; a fifth such
#   name would be missed the same way.
# - Traits, and a decision delegated to a collaborator rather than a base class.
# - Whether a rule's inline comparison agrees with its options class. It does not
#   for InheritanceRule, whose docblock says it mirrors the options by hand.
#
# ROW COUNT: 50 sites in 45 rules.
#   21 rules carry no threshold (18 decide in the rule, 3 call the helper) —
#      outside Ш7.
#   24 rules carry one: 29 sites. 2 take the sanctioned one-call path, 21 read
#      the options accessor after resolving effective options, 1 reads the raw
#      override map (LongParameterListRule's VO path, which bypasses
#      getEffectiveOptions entirely), 1 is that path's getVoSeverity, and 4
#      decide in the rule body.
#   4 rules hold more than one site: LongParameterListRule (3), and
#      CognitiveComplexityRule / NpathComplexityRule / InstabilityRule (2 each,
#      one per level). A package split must be keyed on files, not on this count.
#
rule	owner_file	line	call	options	options_kind
BooleanArgumentRule	src/Analysis/Evidence/CodeSmell/BooleanArgumentRule.php	-	decides-in-rule	BooleanArgumentOptions	not-threshold-aware
CboRule	src/Analysis/Evidence/Coupling/CboRule.php	236	options-getSeverity	CboOptions	hierarchical-root
CircularDependencyRule	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	80	one-call-helper	CircularDependencyOptions	not-threshold-aware
ClassCountRule	src/Analysis/Evidence/Size/ClassCountRule.php	110	options-getSeverity	ClassCountOptions	threshold-aware
ClassRankRule	src/Analysis/Evidence/Coupling/ClassRankRule.php	-	decides-in-rule	ClassRankOptions	threshold-aware
CodeDuplicationRule	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php	124	one-call-helper	CodeDuplicationOptions	threshold-aware
CognitiveComplexityRule	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php	162	options-getSeverity	CognitiveComplexityOptions	hierarchical-root
CognitiveComplexityRule	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php	227	options-getSeverity	CognitiveComplexityOptions	hierarchical-root
CommandInjectionRule	src/Analysis/Evidence/Security/CommandInjectionRule.php	-	decides-in-rule	SecurityPatternOptions	not-threshold-aware
ComplexityRule	src/Analysis/Evidence/Complexity/ComplexityRule.php	171	options-getSeverity	ComplexityOptions	hierarchical-root
ComputedMetricRule	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	-	decides-in-rule	ComputedMetricRuleOptions	not-threshold-aware
ConstructorOverinjectionRule	src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php	129	options-getSeverity	ConstructorOverinjectionOptions	threshold-aware
CountInLoopRule	src/Analysis/Evidence/CodeSmell/CountInLoopRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
DataClassRule	src/Analysis/Evidence/Design/DataClassRule.php	-	decides-in-rule	DataClassOptions	threshold-aware
DebugCodeRule	src/Analysis/Evidence/CodeSmell/DebugCodeRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
DistanceRule	src/Analysis/Evidence/Coupling/DistanceRule.php	156	options-getSeverity	DistanceOptions	threshold-aware
EmptyCatchRule	src/Analysis/Evidence/CodeSmell/EmptyCatchRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
