rule	key_a	key_b	kind	affected	today_verdict	today_coexistence	post_cure_under_today_value	assigned	post_cure_under_assigned	assigned_on_todays_product	note
code-smell.constructor-overinjection	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.constructor-overinjection	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.constructor-overinjection	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.long-parameter-list	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.long-parameter-list	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.long-parameter-list	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.long-parameter-list	vo-error	vo-threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.long-parameter-list	vo-error	vo-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.long-parameter-list	vo-threshold	vo-warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.unreachable-code	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.unreachable-code	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
code-smell.unreachable-code	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
cohesion.lcom	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
