class	file	branch_condition	line	branch_builds	what_is_silently_not_read
ComplexityOptions	src/Analysis/Evidence/Complexity/ComplexityOptions.php	array_key_exists('enabled',$config) && $config['enabled']===false	35-39	callable=Method*Options(enabled:false), class=Class*Options(enabled:false)	any `class:` or `callable:` nested block, any top-level `threshold`/`warning`/`error` written beside `enabled: false`
ComplexityOptions	src/Analysis/Evidence/Complexity/ComplexityOptions.php	isset($config['threshold'])	44-56	callable=MethodComplexityOptions(enabled:true/config,warning,error from top-level threshold/warning/error); class=ClassComplexityOptions(enabled:false) forced	any `class:` block written beside the flat `threshold`/`warning`/`error` shorthand — the class level is force-disabled and its nested config is never read; also any `callable:` block written beside the shorthand (shorthand wins, callable: block not consulted)
CognitiveComplexityOptions	src/Analysis/Evidence/Complexity/CognitiveComplexityOptions.php	array_key_exists('enabled',$config) && ===false	35-39	callable=MethodCognitiveComplexityOptions(enabled:false), class=ClassCognitiveComplexityOptions(enabled:false)	same as ComplexityOptions
CognitiveComplexityOptions	src/Analysis/Evidence/Complexity/CognitiveComplexityOptions.php	isset($config['threshold'])	44-56	callable from top-level threshold/warning/error; class forced enabled:false	same as ComplexityOptions
NpathComplexityOptions	src/Analysis/Evidence/Complexity/NpathComplexityOptions.php	array_key_exists('enabled',$config) && ===false	35-39	callable=MethodNpathComplexityOptions(enabled:false), class=ClassNpathComplexityOptions(enabled:false)	same as ComplexityOptions
NpathComplexityOptions	src/Analysis/Evidence/Complexity/NpathComplexityOptions.php	isset($config['threshold'])	44-56	callable from top-level threshold/warning/error; class forced enabled:false	same as ComplexityOptions
CboOptions	src/Analysis/Evidence/Coupling/CboOptions.php	array_key_exists('enabled',$config) && ===false	34-38	class=ClassCboOptions(enabled:false), namespace=NamespaceCboOptions(enabled:false)	any `class:`/`namespace:` nested block, any top-level threshold/warning/error/scope written beside `enabled: false`
CboOptions	src/Analysis/Evidence/Coupling/CboOptions.php	isset($config['threshold']) \|\| isset($config['warning']) \|\| isset($config['error'])	57-79	class AND namespace BOTH built from the same flat threshold/warning/error (both stay enabled, uniform value); `scope` top-level key is propagated into class config if present	any `class:`/`namespace:` block written beside the flat shorthand — neither nested block is read at all (both levels already got the uniform flat value and the branch returns before reaching the hierarchical-format code below)
InstabilityOptions	src/Analysis/Evidence/Coupling/InstabilityOptions.php	array_key_exists('enabled',$config) && ===false	34-38	class=ClassInstabilityOptions(enabled:false), namespace=NamespaceInstabilityOptions(enabled:false)	any `class:`/`namespace:` nested block, any top-level max_warning/max_error written beside `enabled: false`
InstabilityOptions	src/Analysis/Evidence/Coupling/InstabilityOptions.php	isset($config['threshold']) \|\| hasFlatMaxWarning \|\| hasFlatMaxError	53-70	class AND namespace BOTH built from the same flat max_warning/max_error (uniform, both enabled)	any `class:`/`namespace:` block written beside the flat shorthand — same as CboOptions, neither nested block read
LayerViolationOptions	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationOptions.php	assertNoRemovedSeverityKeys() throws ConfigurationRefusal	93-101,141-157	N/A — refuses the whole document rather than silently dropping part of it	NOTHING silently dropped; this class has NO nested class/callable/namespace block at all (only flat `enabled` + `severity`), so it is not an instance of the "shorthand beside nested block" pattern the other 5 share. Its single M4 cell is a refusal on removed per-diagnostic severity keys, a materially different mechanism.
(searched, none found)	grep for "implements HierarchicalRuleOptionsInterface" across src/ returns exactly these 5 classes; grep for the literal comment "disables all levels" and "Flat shorthand" also returns exactly these 5 files. No 6th class carries this pattern.	—	—	—	confirmed by: `grep -rl "implements HierarchicalRuleOptionsInterface" src/` (5 hits) and `grep -rl "Flat shorthand" src/` (5 hits, same files). All other fromArray() implementations found via `grep -rl "public static function fromArray" src/Analysis` (43 files) were read; none has a nested per-level sub-config (`class:`/`namespace:`/`callable:`) alongside a flat top-level shorthand — they are single-level (flat) options classes by construction, so there is no sibling block for a shorthand to discard.
