key_or_flag	surface	yaml_path_shape	owner_class_or_file	phase_applied	mechanism	finding_produced	finding_counted	finding_printed_under_show_suppressed	occurrences_total	occurrences_by_area	docs_pages	notes
exclude	qmx.yaml root key + CLI --exclude	root: exclude: [glob, ...]	src/Analysis/Run/Configuration/RunConfigurationResolver.php (pathExcludes); src/Infrastructure/Console/ConfigurationInputAdapter.php (maps 'exclude'->ConfigSchema::EXCLUDES); src/Analysis/Run/Discovery/FinderFileDiscovery.php (Symfony Finder ->exclude())	Discovery (before Collection)	file not read at all	NA	NA	NA	568	src=185 tests=191 docs=61 website=113 scripts=6 finding-gate=1 CHANGELOG=8 qmx.yaml=3	website/docs/getting-started/configuration.md, website/docs/usage/cli-options.md (+.ru.md)	Confirmed by code read: RunConfigurationResolver::resolve() builds RunConfiguration::$pathExcludes from ConfigSchema::EXCLUDES (default vendor/node_modules/.git), consumed by FileDiscoveryFactory->create() before any AST parse. Because a file never reaches parsing, no rule ever runs on it, so finding_produced/counted/printed are all NA rather than Y/n — the concept of a finding does not exist for this file. Word "exclude" here is the bare CLI flag/root key, distinct from all `exclude_*` compound keys below.
exclude_paths (excludePaths)	qmx.yaml root key + CLI --exclude-path (repeatable)	root: exclude_paths: [glob, ...]	src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php; src/Infrastructure/Console/FindingFilterOrchestrator.php::projectionOptions() (merges CLI exclude-path); src/Analysis/Finding/Contract/Filter/PathExclusionFilter.php; src/Analysis/Finding/Contract/Filter/FindingFilterStage.php (case PathExclusion)	FindingProjection (after RuleExecution, before Baseline) — FindingFilterStage::PathExclusion	находка произведена и выброшена на проекции отчёта	Y	Y	n	59 (excludePaths, code identifier) + 281 (exclude_paths, all spellings incl. docs/tests)	excludePaths: src=19 tests=28 docs=12 website=0; exclude_paths: src=47 tests=49 docs=76 website=60 scripts=3 finding-gate=21 CHANGELOG=10 qmx.yaml=15	website/docs/getting-started/configuration.md, website/docs/usage/cli-options.md, website/docs/rules/annotation.md, website/docs/usage/baseline.md (+.ru.md)	Finding is produced by rule execution (RuleExecution) — the filter runs downstream in FindingProjector::project() over already-computed Finding objects. finding_counted=Y: FindingFilterOrchestrator::reportExclusionCounts() sums removedCountBy(FindingFilterStage::PathExclusion), printed only under -v/--verbose (isVerbose()), NOT gated on --show-suppressed. finding_printed_under_show_suppressed=n for the human `check` text output: FindingFilterOrchestrator::reportSuppressedFindings() reads only removedBy(FindingFilterStage::Suppression), so PathExclusion findings never appear there even with --show-suppressed. CAVEAT: `--format=suppressed` (SuppressedFormatter) DOES include this mechanism — src/Reporting/FindingProjection/SuppressionMechanism.php enumerates PathExclusion as one of 7 published suppression mechanisms, built by SuppressionCompositionBuilder from FindingProjectionResult, independent of the --show-suppressed flag on the default formatter. So the Y/n verdict here is specific to "text output under --show-suppressed", not to the machine-readable suppressed format — see the `--format=suppressed` row below for that channel.
exclude_namespaces (excludeNamespaces)	qmx.yaml root key + CLI --exclude-namespace (repeatable)	root: exclude_namespaces: [glob, ...]	src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php; src/Infrastructure/Console/FindingFilterOrchestrator.php; src/Analysis/Finding/Contract/Filter/NamespaceExclusionFilter.php; src/Analysis/Finding/Contract/Filter/FindingFilterStage.php (case NamespaceExclusion)	FindingProjection — FindingFilterStage::NamespaceExclusion	находка произведена и выброшена на проекции отчёта	Y	Y	n	79 (excludeNamespaces) + 275 (exclude_namespaces, all spellings)	excludeNamespaces: src=33 tests=31 docs=15 website=0; exclude_namespaces: src=50 tests=59 docs=67 website=74 scripts=2 finding-gate=4 CHANGELOG=14 qmx.yaml=5	website/docs/getting-started/configuration.md, website/docs/rules/coupling.md, website/docs/rules/annotation.md, website/docs/usage/cli-options.md, website/docs/usage/baseline.md (+.ru.md)	Same stage family and same verdicts as exclude_paths above: FindingFilterStage enum docblock notes "architecture.* findings are exempt by design" for this stage. finding_printed_under_show_suppressed=n for the same reason (reportSuppressedFindings only reads the Suppression stage); n/a caveat about --format=suppressed applies identically (SuppressionMechanism::NamespaceExclusion).
exclude_namespace_channels (excludeNamespaceChannels)	rule-scoped option under rules.<rule-name>	rules: {<rule>: {exclude_namespace_channels: {<channel-selector>: [glob,...]}}}	src/Analysis/Configuration/ConfigSchema.php::identifierKeyedOptions(); src/Analysis/Finding/FindingExclusionLedger.php; src/Analysis/Finding/RuleConfiguration/RuleOptionsFactory.php; src/Infrastructure/Console/RuleInputValidator.php (CHANNEL_EXCLUSION_KEYS)	RuleExecution (inside RuleExecution::execute(), per-producer, before the finding ever reaches FindingProjector)	находка произведена и выброшена на выходе исполнения (до проекции)	Y	Y	Y (gated by --show-suppressed via RuleOptionsRegistry::captureExcludedFindings())	12 (excludeNamespaceChannels) + 197 (exclude_namespace_channels, all spellings)	excludeNamespaceChannels: src=6 tests=5 docs=1; exclude_namespace_channels: src=37 tests=35 docs=93 website=20 CHANGELOG=9 qmx.yaml=3	website/docs/getting-started/configuration.md, website/docs/reference/health-scores.md, website/docs/usage/cli-options.md (+.ru.md)	Distinct mechanism from the two rows above per src/Reporting/FindingProjection/SuppressionMechanism.php's own docblock ("the ledger runs per rule, inside rule execution itself, before a finding ever reaches the projector"). FindingExclusionLedger::keeps() decides per-namespace-level finding; when RuleOptionsRegistry::captureExcludedFindings() was called (wired to --show-suppressed in src/Infrastructure/Console/RuntimeConfigurator.php:64/85), FindingFilterOrchestrator::reportRuleExclusions() DOES list the individual excluded findings under --show-suppressed (line ~297-305) — unlike the global path/namespace exclusion above. Applies only to channels at the namespace symbol level (finding->symbolPath->getType()->value === 'namespace').
exclude_paths (rule-scoped, same key spelling as global)	rule-scoped option under rules.<rule-name>	rules: {<rule>: {exclude_paths: [glob,...]}}	src/Analysis/Finding/FindingExclusionLedger.php::keeps() (ruleOptionsRegistry->isPathExcluded); src/Analysis/Finding/RuleConfiguration/RuleOptionsFactory.php	RuleExecution (per-producer, same ledger as exclude_namespace_channels)	находка произведена и выброшена на выходе исполнения (до проекции)	Y	Y	Y (gated by --show-suppressed)	counted together with global exclude_paths above (key text is identical; see notes)	see exclude_paths row above — grep on the bare string cannot separate root-level from rule-scoped usages	website/docs/getting-started/configuration.md (per-rule config example), website/docs/usage/cli-options.md	IMPORTANT for X8: this is the literal same YAML key spelling (`exclude_paths`) as the global root key, but a DIFFERENT mechanism (per-rule ledger vs. global FindingProjector stage) depending on WHERE it is written — root vs. under `rules: {<rule>: {...}}`. This is itself an instance of "one string, two jobs" inside the exclusion vocabulary, not only across exclude/ignore/threshold/baseline. Occurrence counts could not be split from the global row by grep alone (same string); a code-aware AST-level count would be needed to separate them, so occurrences here are UNKNOWN and intentionally not double-counted in the total.
excludeHealth / exclude_health	qmx.yaml root key + CLI --exclude-health (repeatable)	root: exclude_health: [dimension, ...]  (also accepted as health.<dimension>, see ComputedMetricsConfigResolver)	src/Analysis/Configuration/ConfigSchema.php::EXCLUDE_HEALTH; src/Analysis/Evidence/ComputedMetrics/Configuration/ComputedMetricContributionReader.php; src/Analysis/Evidence/ComputedMetrics/ComputedMetricsConfigResolver.php; src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	ComputedMetrics aggregation (formula weighting, not a Finding filter stage at all)	измерение не входит в формулу здоровья (weight renormalization across remaining dimensions)	NA	NA	NA	35 (excludeHealth) + 29 (exclude_health) + 27 (exclude-health CLI spelling)	excludeHealth: src=13 tests=16 docs=6; exclude_health: src=6 tests=8 docs=7 website=7 CHANGELOG=1; exclude-health: src=9 tests=3 docs=3 website=10 CHANGELOG=2	website/docs/getting-started/configuration.md, website/docs/reference/health-scores.md (+.ru.md)	Confirmed by ComputedMetricsConfigResolver.php:61 comment: a dimension whose weight goes to null/excluded "get their weights renormalized — same outcome as exclude_health". This never touches Finding objects or FindingFilterStage at all — it changes a formula's inputs, so the finding_produced/counted/printed columns are NA (the concept "finding" is orthogonal here — health dimensions produce a computed-metric SCORE, and threshold findings on that score are a completely separate later step that is unaffected in kind, only in which dimensions feed the aggregate).
architecture.<layer>.exclude	qmx.yaml nested block inside architecture.layers.<name>	architecture: {layers: {<name>: {exclude: {patterns:[...], suffix:[...], attributes:[...], implements:[...], extends:[...], mode: any|all}}}}	src/Analysis/Policy/Architecture/Layer/ExcludeSpec.php; src/Analysis/Policy/Architecture/Layer/LayerDefinition.php (matches(), applies ExcludeSpec AFTER positive MembershipSpec criteria); src/Analysis/Policy/Architecture/Configuration/ExcludeBlockValidator.php	Architecture layer-membership resolution (before any coupling/circular-dependency/layer-violation rule runs)	класс не входит в слой (membership disqualification, not a finding filter)	NA	NA	NA	82 (ExcludeSpec class name) — bare word "exclude" is folded into the generic 568 total above, cannot be isolated by grep from other exclude uses at the same nesting depth	ExcludeSpec: src=32 tests=43 docs=6 qmx.yaml=1	website/docs/rules/architecture.md (+.ru.md)	ExcludeSpec's own docblock states it is "evaluated by LayerDefinition::matches() as a hard filter AFTER the positive criteria succeed" — i.e. it decides layer membership, upstream of any rule execution. A class excluded from a layer may still be a member of no layer (unassigned-class channel) or of another layer; it produces no finding of its own kind. This is the "class not in layer" mechanism named in the task's ПРЕДМЕТ list.
disable-rule / disabledRules / disabled_rules	CLI --disable-rule (repeatable) + qmx.yaml disabledRules	root: disabled_rules: [rule-name-or-prefix, ...]	src/Analysis/Finding/Configuration/FindingConfigurationResolver.php; src/Analysis/Finding/RuleExecution.php; src/Analysis/Finding/Contract/Rule/RuleSelector.php; src/Infrastructure/Console/RuleInputValidator.php	RuleExecution (rule registry selection, before any producer runs)	правило вообще не исполняется -> находка не производится (rule not executed at all, not a per-finding filter)	N	NA	NA	245 (disable-rule) + 43 (disabledRules) + 73 (disabled_rules)	disable-rule: src=27 tests=44 docs=84 website=55 scripts=14 finding-gate=7 CHANGELOG=14; disabledRules: src=9 tests=14 docs=19 CHANGELOG=1; disabled_rules: src=8 tests=27 docs=20 website=13 CHANGELOG=5	website/docs/usage/cli-options.md, website/docs/getting-started/configuration.md, website/docs/rules/code-smell.md, website/docs/rules/security.md, website/docs/rules/duplication.md, website/docs/usage/baseline.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ (per task instructions): does not use the word "exclude" but competes with it semantically — a disabled rule's findings never exist, which is the strongest form of "exclusion". Disabling duplication.code-duplication or architecture.circular-dependency also skips their memory-intensive detection phase entirely (CLI help text, CheckCommandDefinition.php).
only-rule / onlyRules / only_rules	CLI --only-rule (repeatable) + qmx.yaml onlyRules	root: only_rules: [rule-name-or-prefix, ...]	src/Analysis/Finding/Contract/Rule/RuleSelector.php; src/Analysis/Finding/Configuration/FindingConfigurationResolver.php	RuleExecution (rule registry selection — inverse allowlist of disable-rule)	правило вообще не исполняется (для всех правил не в списке) -> находка не производится	N (for excluded rules)	NA	NA	184 (only-rule) + 38 (onlyRules) + 90 (only_rules)	only-rule: src=26 tests=27 docs=77 website=37 scripts=6 CHANGELOG=11; onlyRules: src=11 tests=17 docs=10; only_rules: src=9 tests=19 docs=35 website=17 scripts=1 finding-gate=4 CHANGELOG=5	website/docs/usage/cli-options.md, website/docs/getting-started/configuration.md, website/docs/rules/index.md, website/docs/usage/baseline.md, website/docs/guides/architecture-investigation.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ: the allowlist complement of disable-rule; same mechanism (rule registry selection), opposite polarity. Combining --disable-rule and --only-rule is validated by RuleInputValidator.
@qmx-ignore	inline docblock annotation on a declaration	`@qmx-ignore <rule-or-channel> [-- reason]` in a PHP docblock	src/Analysis/Policy/Inline/Contract/SuppressionExtractor.php; src/Analysis/Policy/Inline/Contract/Suppression/Suppression.php; src/Analysis/Finding/Contract/Filter/FindingFilterStage.php (case Suppression); src/Reporting/FindingProjection/SuppressionMechanism.php (case Suppression)	FindingProjection — FindingFilterStage::Suppression (runs FIRST, before Path/NamespaceExclusion and Baseline)	находка произведена и выброшена на проекции отчёта	Y	Y	Y (FindingFilterOrchestrator::reportSuppressedFindings() reads exactly this stage)	581 (word-boundary count includes @qmx-ignore-file/-next-line substrings — see notes)	src=69 tests=104 docs=222 website=143 scripts=6 finding-gate=7 CHANGELOG=29 qmx.yaml=1	website/docs/rules/annotation.md, website/docs/getting-started/configuration.md, website/docs/reference/default-thresholds.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ per task instructions: does not use the word "exclude" at all, is the ONLY mechanism whose findings FindingFilterOrchestrator::reportSuppressedFindings() prints under plain --show-suppressed text output (filterResult->removedBy(FindingFilterStage::Suppression)). CAVEAT on occurrence count: git grep -w "qmx-ignore" also matches "qmx-ignore-file" and "qmx-ignore-next-line" because word-boundary treats hyphen as a boundary; the 581 total is NOT exclusively bare @qmx-ignore and is reported as such rather than guessed apart.
