surface	case	occurrence_kind	count	example	changes_structurally_on_split(yes|no)	note
baseline-explain	design	finding-field	3	"Channel: design.type-coverage#design.type-coverage.param" (3 separate channel blocks for subject Untyped)	no	each of the 3 sub-channels prints its own block; explain.2 (subject Order) has 0 occurrences — the rule does not fire for that subject in this corpus
baseline-explain	layers	finding-field	1 each	"Channel: architecture.unassigned-class#architecture.unassigned-class" (subject project:); "Channel: architecture.layer-violation#architecture.layer-violation" (subject UserRepository)	no	each subject/channel gets its own block; the two producers never share a block
baseline-file	design	finding-field	3	entries["declaration:class:...Untyped..."][1].channel = "design.type-coverage#design.type-coverage.param"	no	baseline entries carry only the full "rule#code" channel string, never a bare rule field; renaming is 1:1 per entry
baseline-file	layers	finding-field	1	entries["project:"][0].channel = "architecture.unassigned-class#architecture.unassigned-class"	no	same shape as design; architecture.layer-violation also present as entries["declaration:class:...UserRepository..."][0].channel, 1 entry, no aggregate
checkstyle	design	finding-field	3	source="qmx.design.type-coverage.param"	no	source attribute always carries the full suffixed code, never the bare rule name
checkstyle	layers	finding-field	1 each	source="qmx.architecture.unassigned-class"; source="qmx.architecture.layer-violation"	no	one <error> per finding, already keyed by the full producer/channel name
exit-code	design	prose	1	--fail-on=error -> exit 2 for every format run in this case	no	exit code reflects overall severity across all findings; it never names a producer, so a rule split cannot change it
exit-code	layers	prose	1	--fail-on=error -> exit 2 for every format run in this case	no	same as design; not sensitive to which rule produced which finding
github	design	finding-field	3	"::error file=src/Model/Untyped.php,line=5,title=design.type-coverage.param::..."	no	title always carries the full suffixed code
github	layers	finding-field	1 each	"::error title=architecture.unassigned-class::..."; "::error title=architecture.layer-violation::..."	no	one line per finding, already keyed by the full producer name
gitlab	design	finding-field	3	"check_name": "design.type-coverage.param"	no	check_name is always the full suffixed code
gitlab	layers	finding-field	1 each	"check_name": "architecture.unassigned-class"; "check_name": "architecture.layer-violation"	no	one entry per finding, already keyed by the full producer name
health	design	none-observed	0	(design.type-coverage does not appear anywhere in this format's output)	no	health format reports only computed-metric health dimensions, never rule/channel names
health	layers	none-observed	0	(architecture.unassigned-class / architecture.layer-violation do not appear anywhere in this format's output)	no	same as design
html	design	finding-field	3+3	embedded report-data JSON: tree...violations[n].ruleName = "design.type-coverage" (bare, x3); violations[n].violationCode = "design.type-coverage.param"/".return"/".property" (x3)	no	ruleName is bare and per-violation (1:1 rename); no pre-aggregated byRule structure ships in the static payload — see footer
html	layers	finding-field	1 (layer-violation only)	tree...violations[0].ruleName = "architecture.layer-violation" for subject UserController	no	architecture.layer-violation appears once as expected (class-level finding); architecture.unassigned-class does NOT appear anywhere in the html payload — the root tree node's own violations array is always [] (project-level findings are not attached to the tree at all in this corpus), so this producer's html surface has zero occurrences to reason about either way
