# method: rollup's bundled AST parser (rollup/dist/parseAst.js, the same
# parser vite's build pipeline runs on this template) walks each src/Reporting/Template
# src/*.js and tests/*.js file for string Literal nodes whose value has the
# "family.rest" shape, where "family" is a first-segment prefix drawn from the
# MetricName.php catalog (complexity, coupling, cohesion, design, size,
# maintainability, security, code-smell, health). Comments are found by
# masking every AST-identified string/template-literal source range with
# spaces, then regex-scanning what remains for // and /* */ regions.
# catalog: MetricName.php public const string values (82) + AggregationStrategy.php
# enum case values as aggregation suffixes (sum, avg, max, min, count, p95, p5)
# + HealthDimensionCatalog.php dimension keys (6, health.*).
# what this does not see: computed/concatenated keys ("size." + metric),
# template-literal interpolation values, any literal whose first segment is
# not one of the known family prefixes above (so a key entirely without a
# recognized family, or a typo in the family segment itself, is invisible),
# and any file outside src/Reporting/Template/{src,tests}/*.js (report.html,
# dev.html, dist/*.js are not scanned).
bucket	file	line	key	in_catalog
comment	src/color.js	60	health.overall	yes
comment	src/color.js	67	health.overall	yes
code	src/color.js	68	health.overall	yes
code	src/color.js	69	maintainability.mi.avg	yes
code	src/detail.js	50	health.complexity	yes
code	src/detail.js	50	health.cohesion	yes
code	src/detail.js	50	health.coupling	yes
code	src/detail.js	51	health.typing	yes
code	src/detail.js	51	health.maintainability	yes
code	src/detail.js	51	health.overall	yes
code	src/detail.js	112	size.loc.sum	yes
code	src/detail.js	242	size.loc.sum	yes
comment	src/hints.js	84	complexity.ccn	yes
comment	src/hints.js	84	complexity.ccn.avg	yes
comment	src/hints.js	84	cohesion.lcom.max	yes
comment	src/hints.js	111	health.cohesion	yes
comment	src/hints.js	126	health.overall	yes
code	src/hints.js	127	health.overall	yes
comment	src/hints.js	157	complexity.ccn.avg	yes
comment	src/hints.js	157	complexity.ccn	yes
comment	src/hints.js	157	cohesion.lcom.max	yes
comment	src/hints.js	157	cohesion.lcom	yes
comment	src/hints.js	157	complexity.ccn	yes
comment	src/hints.js	157	complexity.ccn	yes
comment	src/hints.js	204	health.overall	yes
code	src/hints.js	208	health.overall	yes
code	src/main.js	23	health.overall	yes
comment	src/main.js	126	health.overall	yes
code	src/main.js	128	health.overall	yes
code	src/main.js	129	health.overall	yes
code	src/main.js	519	health.overall	yes
code	src/martin-diagram.js	52	size.loc.sum	yes
code	src/subtree.js	10	health.complexity	yes
code	src/subtree.js	10	health.cohesion	yes
code	src/subtree.js	10	health.coupling	yes
code	src/subtree.js	11	health.typing	yes
code	src/subtree.js	11	health.maintainability	yes
code	src/subtree.js	11	health.overall	yes
code	src/subtree.js	82	health.overall	yes
code	src/tree.js	58	health.overall	yes
code	src/tree.js	105	size.loc.sum	yes
code	src/tree.js	124	size.loc.sum	yes
test	tests/color.test.js	50	health.overall	yes
test	tests/color.test.js	50	health.complexity	yes
test	tests/color.test.js	51	health.overall	yes
test	tests/color.test.js	52	health.complexity	yes
test	tests/color.test.js	57	maintainability.mi.avg	yes
test	tests/color.test.js	58	health.overall	yes
test	tests/color.test.js	64	health.overall	yes
test	tests/hints.test.js	18	complexity.ccn	yes
test	tests/hints.test.js	29	complexity.cognitive	yes
test	tests/hints.test.js	39	complexity.npath	yes
test	tests/hints.test.js	49	cohesion.lcom	yes
test	tests/hints.test.js	59	cohesion.tcc	yes
test	tests/hints.test.js	68	cohesion.lcc	yes
test	tests/hints.test.js	77	complexity.wmc	yes
test	tests/hints.test.js	87	coupling.cbo	yes
test	tests/hints.test.js	97	coupling.instability	yes
test	tests/hints.test.js	108	coupling.abstractness	yes
test	tests/hints.test.js	118	coupling.distance	yes
test	tests/hints.test.js	127	coupling.class-rank	yes
test	tests/hints.test.js	137	design.dit	yes
test	tests/hints.test.js	147	design.noc	yes
test	tests/hints.test.js	157	coupling.rfc	yes
test	tests/hints.test.js	167	size.method-count	yes
test	tests/hints.test.js	177	size.property-count	yes
test	tests/hints.test.js	187	size.class-count.sum	yes
test	tests/hints.test.js	197	maintainability.mi	yes
test	tests/hints.test.js	208	design.type-coverage.pct	yes
test	tests/hints.test.js	217	design.type-coverage.param	yes
test	tests/hints.test.js	226	design.type-coverage.return	yes
test	tests/hints.test.js	235	design.type-coverage.property	yes
test	tests/hints.test.js	246	health.complexity	yes
test	tests/hints.test.js	248	complexity.ccn.avg	yes
test	tests/hints.test.js	248	complexity.ccn.sum	yes
test	tests/hints.test.js	249	complexity.cognitive.avg	yes
test	tests/hints.test.js	249	complexity.cognitive.sum	yes
test	tests/hints.test.js	250	complexity.ccn.p95	yes
test	tests/hints.test.js	251	complexity.cognitive.p95	yes
test	tests/hints.test.js	254	health.cohesion	yes
test	tests/hints.test.js	256	cohesion.tcc.avg	yes
test	tests/hints.test.js	256	cohesion.tcc	yes
test	tests/hints.test.js	257	cohesion.lcom.avg	yes
test	tests/hints.test.js	257	cohesion.lcom	yes
test	tests/hints.test.js	260	health.coupling	yes
test	tests/hints.test.js	262	coupling.cbo.avg	yes
test	tests/hints.test.js	262	coupling.cbo	yes
test	tests/hints.test.js	263	coupling.distance.avg	yes
test	tests/hints.test.js	263	coupling.distance	yes
test	tests/hints.test.js	266	health.typing	yes
test	tests/hints.test.js	268	design.type-coverage.pct	yes
test	tests/hints.test.js	271	health.maintainability	yes
test	tests/hints.test.js	273	maintainability.mi.avg	yes
test	tests/hints.test.js	273	maintainability.mi	yes
test	tests/hints.test.js	276	health.overall	yes
test	tests/hints.test.js	293	complexity.ccn	yes
test	tests/hints.test.js	293	complexity.ccn	yes
test	tests/hints.test.js	294	cohesion.lcom	yes
test	tests/hints.test.js	294	cohesion.lcom	yes
test	tests/hints.test.js	295	cohesion.tcc	yes
test	tests/hints.test.js	295	cohesion.tcc	yes
test	tests/hints.test.js	299	complexity.ccn.avg	yes
test	tests/hints.test.js	299	complexity.ccn	yes
test	tests/hints.test.js	300	maintainability.mi.avg	yes
test	tests/hints.test.js	300	maintainability.mi	yes
test	tests/hints.test.js	304	complexity.ccn.max	yes
test	tests/hints.test.js	304	complexity.ccn	yes
test	tests/hints.test.js	305	cohesion.lcom.max	yes
test	tests/hints.test.js	305	cohesion.lcom	yes
test	tests/hints.test.js	309	maintainability.mi.min	yes
test	tests/hints.test.js	309	maintainability.mi	yes
test	tests/hints.test.js	313	size.class-count.sum	yes
test	tests/hints.test.js	313	size.class-count.sum	yes
test	tests/hints.test.js	314	design.type-coverage.pct	yes
test	tests/hints.test.js	314	design.type-coverage.pct	yes
test	tests/hints.test.js	319	size.lloc	yes
test	tests/hints.test.js	319	size.lloc	yes
test	tests/hints.test.js	361	complexity.ccn	yes
test	tests/hints.test.js	365	complexity.ccn	yes
test	tests/hints.test.js	369	complexity.ccn	yes
test	tests/hints.test.js	373	complexity.ccn	yes
test	tests/hints.test.js	377	complexity.ccn	yes
test	tests/hints.test.js	385	size.lloc	yes
test	tests/hints.test.js	386	coupling.ca	yes
test	tests/hints.test.js	387	maintainability.halstead.volume	yes
test	tests/hints.test.js	392	complexity.ccn	yes
test	tests/hints.test.js	393	complexity.ccn	yes
test	tests/hints.test.js	394	complexity.ccn	yes
test	tests/hints.test.js	395	complexity.ccn	yes
test	tests/hints.test.js	396	complexity.ccn	yes
test	tests/hints.test.js	397	complexity.ccn	yes
test	tests/hints.test.js	398	complexity.ccn	yes
test	tests/hints.test.js	402	complexity.ccn.avg	yes
test	tests/hints.test.js	403	complexity.ccn.max	yes
test	tests/hints.test.js	407	complexity.cognitive	yes
test	tests/hints.test.js	408	complexity.cognitive	yes
test	tests/hints.test.js	409	complexity.cognitive	yes
test	tests/hints.test.js	410	complexity.cognitive.avg	yes
test	tests/hints.test.js	411	complexity.cognitive.max	yes
test	tests/hints.test.js	415	complexity.npath	yes
test	tests/hints.test.js	416	complexity.npath.max	yes
test	tests/hints.test.js	417	complexity.npath	yes
test	tests/hints.test.js	422	cohesion.lcom	yes
test	tests/hints.test.js	423	cohesion.lcom	yes
test	tests/hints.test.js	424	cohesion.lcom	yes
test	tests/hints.test.js	428	cohesion.lcom	yes
test	tests/hints.test.js	429	cohesion.lcom	yes
test	tests/hints.test.js	433	cohesion.lcom.avg	yes
test	tests/hints.test.js	434	cohesion.lcom.avg	yes
test	tests/hints.test.js	435	cohesion.lcom.max	yes
test	tests/hints.test.js	439	cohesion.tcc	yes
test	tests/hints.test.js	440	cohesion.tcc	yes
test	tests/hints.test.js	441	cohesion.tcc	yes
test	tests/hints.test.js	445	complexity.wmc	yes
test	tests/hints.test.js	446	complexity.wmc	yes
test	tests/hints.test.js	447	complexity.wmc.max	yes
test	tests/hints.test.js	452	coupling.cbo	yes
test	tests/hints.test.js	453	coupling.cbo	yes
test	tests/hints.test.js	454	coupling.cbo.avg	yes
test	tests/hints.test.js	455	coupling.cbo.max	yes
test	tests/hints.test.js	459	coupling.instability	yes
test	tests/hints.test.js	460	coupling.instability	yes
test	tests/hints.test.js	461	coupling.instability	yes
test	tests/hints.test.js	465	coupling.distance	yes
test	tests/hints.test.js	466	coupling.distance	yes
test	tests/hints.test.js	467	coupling.distance.avg	yes
test	tests/hints.test.js	471	coupling.class-rank	yes
test	tests/hints.test.js	472	coupling.class-rank.max	yes
test	tests/hints.test.js	477	design.dit	yes
test	tests/hints.test.js	478	design.dit	yes
test	tests/hints.test.js	479	design.dit.max	yes
test	tests/hints.test.js	480	design.dit	yes
test	tests/hints.test.js	484	design.noc	yes
test	tests/hints.test.js	485	design.noc	yes
test	tests/hints.test.js	486	design.noc.max	yes
test	tests/hints.test.js	491	size.method-count	yes
test	tests/hints.test.js	492	size.method-count.max	yes
test	tests/hints.test.js	493	size.method-count	yes
test	tests/hints.test.js	497	size.property-count	yes
test	tests/hints.test.js	498	size.property-count.max	yes
test	tests/hints.test.js	502	size.class-count.sum	yes
test	tests/hints.test.js	503	size.class-count.sum	yes
test	tests/hints.test.js	508	maintainability.mi	yes
test	tests/hints.test.js	509	maintainability.mi.avg	yes
test	tests/hints.test.js	510	maintainability.mi.min	yes
test	tests/hints.test.js	515	design.type-coverage.pct	yes
test	tests/hints.test.js	516	design.type-coverage.pct	yes
test	tests/hints.test.js	517	design.type-coverage.pct	yes
test	tests/hints.test.js	521	coupling.rfc	yes
test	tests/hints.test.js	522	coupling.rfc.avg	yes
test	tests/hints.test.js	527	complexity.ccn	yes
test	tests/hints.test.js	528	design.dit	yes
test	tests/hints.test.js	529	design.noc	yes
test	tests/hints.test.js	534	complexity.ccn	yes
test	tests/hints.test.js	544	health.complexity	yes
test	tests/hints.test.js	548	health.complexity	yes
test	tests/hints.test.js	549	health.complexity	yes
test	tests/hints.test.js	553	health.complexity	yes
test	tests/hints.test.js	557	health.unknown	no
test	tests/hints.test.js	557	health.unknown	no
test	tests/hints.test.js	563	health.complexity	yes
test	tests/hints.test.js	564	complexity.ccn.avg	yes
test	tests/hints.test.js	565	complexity.cognitive.avg	yes
test	tests/hints.test.js	568	health.complexity	yes
test	tests/hints.test.js	580	health.cohesion	yes
test	tests/hints.test.js	581	cohesion.tcc	yes
test	tests/hints.test.js	582	cohesion.lcom	yes
test	tests/hints.test.js	585	health.cohesion	yes
test	tests/hints.test.js	597	health.cohesion	yes
test	tests/hints.test.js	598	cohesion.tcc.avg	yes
test	tests/hints.test.js	599	cohesion.lcom.avg	yes
test	tests/hints.test.js	602	health.cohesion	yes
test	tests/hints.test.js	612	health.coupling	yes
test	tests/hints.test.js	613	coupling.cbo	yes
test	tests/hints.test.js	614	coupling.distance	yes
test	tests/hints.test.js	617	health.coupling	yes
test	tests/hints.test.js	627	health.typing	yes
test	tests/hints.test.js	628	design.type-coverage.pct	yes
test	tests/hints.test.js	631	health.typing	yes
test	tests/hints.test.js	641	health.maintainability	yes
test	tests/hints.test.js	642	maintainability.mi.avg	yes
test	tests/hints.test.js	645	health.maintainability	yes
test	tests/hints.test.js	655	health.overall	yes
test	tests/hints.test.js	656	health.complexity	yes
test	tests/hints.test.js	657	health.cohesion	yes
test	tests/hints.test.js	658	health.coupling	yes
test	tests/hints.test.js	659	health.typing	yes
test	tests/hints.test.js	660	health.maintainability	yes
test	tests/hints.test.js	663	health.overall	yes
test	tests/hints.test.js	673	health.complexity	yes
test	tests/hints.test.js	674	complexity.ccn.avg	yes
test	tests/hints.test.js	678	health.complexity	yes
test	tests/hints.test.js	687	health.complexity	yes
test	tests/hints.test.js	691	health.complexity	yes
test	tests/hints.test.js	703	complexity.ccn	yes
test	tests/hints.test.js	708	health.complexity	yes
test	tests/hints.test.js	712	cohesion.lcom	yes
test	tests/hints.test.js	733	complexity.ccn	yes
test	tests/hints.test.js	734	complexity.cognitive	yes
test	tests/hints.test.js	735	complexity.npath	yes
test	tests/hints.test.js	739	cohesion.lcom	yes
test	tests/hints.test.js	740	cohesion.tcc	yes
test	tests/hints.test.js	741	cohesion.lcc	yes
test	tests/hints.test.js	742	complexity.wmc	yes
test	tests/hints.test.js	746	coupling.cbo	yes
test	tests/hints.test.js	747	coupling.instability	yes
test	tests/hints.test.js	748	coupling.abstractness	yes
test	tests/hints.test.js	749	coupling.distance	yes
test	tests/hints.test.js	750	coupling.class-rank	yes
test	tests/hints.test.js	754	health.complexity	yes
test	tests/hints.test.js	755	health.cohesion	yes
test	tests/hints.test.js	756	health.coupling	yes
test	tests/hints.test.js	757	health.typing	yes
test	tests/hints.test.js	758	health.maintainability	yes
test	tests/hints.test.js	759	health.overall	yes
test	tests/martin-diagram.test.js	13	size.loc.sum	yes
test	tests/martin-diagram.test.js	14	size.loc.sum	yes
test	tests/martin-diagram.test.js	43	size.loc.sum	yes
test	tests/martin-diagram.test.js	53	size.loc.sum	yes
test-comment	tests/metric-key-catalog.test.js	10	size.loc.sum	yes
test-comment	tests/metric-key-catalog.test.js	10	health.overall	yes
test	tests/subtree.test.js	9	health.overall	yes
test	tests/subtree.test.js	9	size.loc.sum	yes
test	tests/subtree.test.js	17	health.overall	yes
test	tests/subtree.test.js	26	health.overall	yes
test	tests/subtree.test.js	26	size.loc.sum	yes
test	tests/subtree.test.js	27	health.overall	yes
test	tests/subtree.test.js	27	size.loc.sum	yes
test	tests/subtree.test.js	36	health.overall	yes
test	tests/subtree.test.js	50	health.overall	yes
test	tests/subtree.test.js	50	size.loc.sum	yes
test	tests/subtree.test.js	56	health.overall	yes
test	tests/subtree.test.js	56	size.loc.sum	yes
test	tests/subtree.test.js	68	health.overall	yes
test	tests/subtree.test.js	73	health.overall	yes
test	tests/subtree.test.js	78	health.overall	yes
test	tests/subtree.test.js	87	size.loc.sum	yes
test	tests/subtree.test.js	88	health.overall	yes
test	tests/subtree.test.js	88	size.loc.sum	yes
test-comment	tests/subtree.test.js	94	health.overall	yes
test	tests/subtree.test.js	95	health.overall	yes
test	tests/subtree.test.js	105	health.overall	yes
test	tests/subtree.test.js	105	size.loc.sum	yes
test	tests/subtree.test.js	106	health.overall	yes
test	tests/subtree.test.js	106	size.loc.sum	yes
test	tests/subtree.test.js	113	health.overall	yes
test	tests/subtree.test.js	122	health.overall	yes
test	tests/subtree.test.js	122	size.loc.sum	yes
test	tests/subtree.test.js	123	health.overall	yes
test	tests/subtree.test.js	123	size.loc.sum	yes
test	tests/subtree.test.js	130	health.overall	yes
test	tests/subtree.test.js	140	health.overall	yes
test	tests/subtree.test.js	141	health.overall	yes
test	tests/subtree.test.js	142	health.overall	yes
test	tests/subtree.test.js	158	health.overall	yes
test	tests/subtree.test.js	159	health.overall	yes
test	tests/subtree.test.js	160	health.overall	yes
test	tests/subtree.test.js	180	health.overall	yes
test	tests/subtree.test.js	181	health.overall	yes
test	tests/subtree.test.js	196	health.overall	yes
test	tests/tree.test.js	81	health.overall	yes
test	tests/tree.test.js	82	health.overall	yes
test	tests/tree.test.js	83	health.overall	yes
test	tests/tree.test.js	84	health.overall	yes
test	tests/tree.test.js	100	health.overall	yes
test	tests/tree.test.js	101	health.overall	yes
test	tests/tree.test.js	117	size.loc.sum	yes
test	tests/tree.test.js	118	size.loc.sum	yes
test	tests/tree.test.js	126	size.loc.sum	yes
test	tests/tree.test.js	127	size.loc.sum	yes
test	tests/tree.test.js	128	size.loc.sum	yes
test	tests/tree.test.js	129	size.loc.sum	yes
test	tests/tree.test.js	146	size.loc.sum	yes
test	tests/tree.test.js	147	size.loc.sum	yes
test	tests/tree.test.js	156	size.loc.sum	yes
test	tests/tree.test.js	165	size.loc.sum	yes
test	tests/tree.test.js	166	size.loc.sum	yes
