surface	command	door	type	is_array	referential	non_referential_reason	b_row	verdict	zero_kind	verdict_source	note
cli	(global)	--working-dir	option	no	yes			REFUSES	binding-0	me-measured	exit 3 'Invalid working directory'
cli	(global)	command	argument	no	yes			REFUSES	binding-0	me-measured	"Symfony: 'Command ""x"" is not defined.' exit 3"
cli	_complete	--shell	option	no	n-a (Symfony completion internals)	Symfony internal		NOT MEASURED	n-a	not-measured	Symfony _complete internals, not a product door
cli	_complete	--input	option	yes	n-a (Symfony completion internals)	Symfony internal		NOT MEASURED	n-a	not-measured	Symfony _complete internals, not a product door
cli	_complete	--current	option	no	n-a (Symfony completion internals)	Symfony internal		NOT MEASURED	n-a	not-measured	Symfony _complete internals, not a product door
cli	_complete	--api-version	option	no	n-a (Symfony completion internals)	Symfony internal		NOT MEASURED	n-a	not-measured	Symfony _complete internals, not a product door
cli	_complete	--symfony	option	no	n-a (Symfony completion internals)	Symfony internal		NOT MEASURED	n-a	not-measured	Symfony _complete internals, not a product door
cli	baseline:cleanup	--config	option	no	yes			REFUSES	binding-0	inherited-from-check	missing file -> exit 3 'Configuration file not found'; measured on check only
cli	baseline:cleanup	--preset	option	yes	yes		19	REFUSES	binding-0	inherited-from-check	named preset not in ci/legacy/strict -> exit 3 with enumeration; preset-as-FILE measured by me: missing path -> exit 3
cli	baseline:cleanup	--disable-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML disabledRules -> same refusal
cli	baseline:cleanup	--only-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML onlyRules -> same refusal
cli	baseline:cleanup	--rule-opt	option	yes	yes		2,17	SPLIT: REFUSES rule/option name; SILENT on missing '=value'	binding-0	inherited-from-check	rule name and option name refuse (exit 3); 'rule:option' with no '=' is dropped silently
cli	baseline:cleanup	--remove	option	yes	yes			SPEAKS, exit 0	binding-0	me-measured	'No entry with selector X; nothing removed for it.' Selector must be 12 hex chars; a canonical subject key is refused (exit 3)
cli	baseline:cleanup	baseline	argument	no	yes			REFUSES	binding-0	me-measured	missing baseline path -> exit 3
cli	baseline:cleanup	paths	argument	yes	yes		24	REFUSES	binding-0	inherited-from-check	exit 3 'path ... does not exist'; me: YAML paths: [nosuchdir] refuses too
cli	baseline:explain	--config	option	no	yes			REFUSES	binding-0	inherited-from-check	missing file -> exit 3 'Configuration file not found'; measured on check only
cli	baseline:explain	--preset	option	yes	yes		19	REFUSES	binding-0	inherited-from-check	named preset not in ci/legacy/strict -> exit 3 with enumeration; preset-as-FILE measured by me: missing path -> exit 3
cli	baseline:explain	--disable-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML disabledRules -> same refusal
cli	baseline:explain	--only-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML onlyRules -> same refusal
cli	baseline:explain	--rule-opt	option	yes	yes		2,17	SPLIT: REFUSES rule/option name; SILENT on missing '=value'	binding-0	inherited-from-check	rule name and option name refuse (exit 3); 'rule:option' with no '=' is dropped silently
cli	baseline:explain	--baseline	option	no	yes			REFUSES	binding-0	me-measured	missing file -> exit 3 'Baseline file not found'
cli	baseline:explain	--channel	option	no	yes		30	REFUSES	binding-0	B-measured + me	me re-measured: exit 3 'declared by no rule and appears in no entry'
cli	baseline:explain	subject	argument	no	yes		29	REFUSES	binding-0	B-measured	exit 3 'absent from both the current analysis and the baseline'
cli	baseline:explain	paths	argument	yes	yes		24	REFUSES	binding-0	inherited-from-check	exit 3 'path ... does not exist'; me: YAML paths: [nosuchdir] refuses too
cli	baseline:generate	--config	option	no	yes			REFUSES	binding-0	inherited-from-check	missing file -> exit 3 'Configuration file not found'; measured on check only
cli	baseline:generate	--preset	option	yes	yes		19	REFUSES	binding-0	inherited-from-check	named preset not in ci/legacy/strict -> exit 3 with enumeration; preset-as-FILE measured by me: missing path -> exit 3
cli	baseline:generate	--disable-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML disabledRules -> same refusal
cli	baseline:generate	--only-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML onlyRules -> same refusal
cli	baseline:generate	--rule-opt	option	yes	yes		2,17	SPLIT: REFUSES rule/option name; SILENT on missing '=value'	binding-0	inherited-from-check	rule name and option name refuse (exit 3); 'rule:option' with no '=' is dropped silently
cli	baseline:generate	--mode	option	no	yes			REFUSES	binding-0	me-measured	baseline:generate ratchet|suppress -> exit 3
cli	baseline:generate	baseline	argument	no	yes			REFUSES	binding-0	me-measured	missing baseline path -> exit 3
cli	baseline:generate	paths	argument	yes	yes		24	REFUSES	binding-0	inherited-from-check	exit 3 'path ... does not exist'; me: YAML paths: [nosuchdir] refuses too
cli	baseline:rename-channels	--format	option	no	yes		14	REFUSES	binding-0	B-measured + me	check FormatterRegistry exit 3 (B); me: graph:export/directives/debug:layer-assignment/baseline:rename-channels each refuse with own enumeration; help/list are Symfony txt|xml|json|md, NOT row 14 - measured separately, exit 3 'Unsupported format'
cli	baseline:rename-channels	baseline	argument	no	yes			REFUSES	binding-0	me-measured	missing baseline path -> exit 3
cli	baseline:rename-channels	map	argument	no	yes			SPLIT: REFUSES missing file; SPEAKS on unmatched row	binding-0	me-measured	"*** file missing -> exit 3; a map ROW whose 'old' channel is in no entry -> exit 0 + 'Declared rename of ""zzz.nope"" matched no entry.'"
cli	baseline:update	--config	option	no	yes			REFUSES	binding-0	inherited-from-check	missing file -> exit 3 'Configuration file not found'; measured on check only
cli	baseline:update	--preset	option	yes	yes		19	REFUSES	binding-0	inherited-from-check	named preset not in ci/legacy/strict -> exit 3 with enumeration; preset-as-FILE measured by me: missing path -> exit 3
cli	baseline:update	--disable-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML disabledRules -> same refusal
cli	baseline:update	--only-rule	option	yes	yes		16	REFUSES	binding-0	inherited-from-check	also measured by me via YAML onlyRules -> same refusal
cli	baseline:update	--rule-opt	option	yes	yes		2,17	SPLIT: REFUSES rule/option name; SILENT on missing '=value'	binding-0	inherited-from-check	rule name and option name refuse (exit 3); 'rule:option' with no '=' is dropped silently
cli	baseline:update	baseline	argument	no	yes			REFUSES	binding-0	me-measured	missing baseline path -> exit 3
