# X19, этап 04, пакет P-B/P-E: КЛАСС КАЖДОЙ ИЗ 67 ДЕФЕКТНЫХ СТРОК ОСЕЙ A И D.
# Знаменатель — сетка дерева d3c6afae: ось A 28 + ось D 39 = 67.
# Итог пакета: 18 вылечено, 49 остаток. Ось A 28 -> 12, ось D 39 -> 37, вместе 67 -> 49.
#
# =========================== ЧЕМ ПОЛУЧЕНО ===========================
# 1. Знаменатель: awk -F'\t' '($1=="A"||$1=="D") && $6=="yes"' по verdicts.tsv на d3c6afae
#    (снимок сохранён до прогона), 67 строк.
# 2. Класс каждой строки установлен ЧТЕНИЕМ читателя (файл:строка в колонке `why`) плюс живым
#    прогоном `bin/qmx check` на фикстуре стенда: для каждого класса отказа воспроизведён
#    хотя бы один документ и процитирован его текст. Правдоподобие классом не считается.
# 3. Совпадение классификации с измерением проверено СКРИПТОМ, а не глазами: ни одна строка,
#    объявленная вылеченной, не осталась дефектной, и ни одна объявленная остатком не позеленела.
#    Множество дефектных строк после прогона РАВНО объявленному остатку (49 = 49).
#
# =========================== ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ ===========================
# - Из десяти строк `architecture.layers[*].*|list` живым прогоном воспроизведены все пять
#   верхнего уровня и одна из пяти внутри `exclude:`; остальные четыре отнесены по тождеству
#   кода (тот же CriterionListValidator, тот же текст отказа с подставленным именем критерия).
# - Класс STAND означает «дефект пробы», а не «продукт прав»: проба не задаёт продукту вопрос
#   о форме, и что ответил бы продукт на правильно заданный вопрос, эта таблица НЕ утверждает.
# - Класс OUT-OF-SCOPE — это утверждение о ТЕКСТЕ отказа (он об элементе или о ключе), а не о
#   том, что форма контейнера продуктом принята. Контейнер до суждения может не дойти.
# - Восемь строк `map` и двенадцать `list` отнесены к вынесенной координате по одному правилу;
#   если заход решит, что форма содержимого — часть формы контейнера, все двадцать переедут.
#
# КОЛОНКИ: axis, row, verdict (на d3c6afae), class, status, why
axis	row	verdict	class	status	why
A	form|cli-alias|rules.architecture.layer-violation.severity|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|cli-alias|rules.architecture.unassigned-class.mode|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|cli-alias|rules.complexity.wmc.excludeDataClasses|bool	COLLAPSED	PROMISE	CURED	псевдоним работал и не был назван ни одной страницей; добавлен в таблицу CLI, реестр перевыведён
A	form|cli-alias|rules.size.property-count.error|int	COLLAPSED	PROMISE	CURED	то же
A	form|cli-alias|rules.size.property-count.warning|int	COLLAPSED	PROMISE	CURED	то же
D	form|cli-root|cache.dir|bool	COLLAPSED	STAND	REMAINDER	единственная точка наблюдения оси D (report) не показывает выбранный каталог кеша / бесзначный флаг, поэтому все формы дают одно наблюдение; лечение — в axis-d-observables.tsv, вне границ пакета
D	form|cli-root|cache.dir|float	COLLAPSED	STAND	REMAINDER	единственная точка наблюдения оси D (report) не показывает выбранный каталог кеша / бесзначный флаг, поэтому все формы дают одно наблюдение; лечение — в axis-d-observables.tsv, вне границ пакета
D	form|cli-root|cache.dir|int	COLLAPSED	STAND	REMAINDER	единственная точка наблюдения оси D (report) не показывает выбранный каталог кеша / бесзначный флаг, поэтому все формы дают одно наблюдение; лечение — в axis-d-observables.tsv, вне границ пакета
D	form|cli-root|cache.dir|string-nonnumber	COLLAPSED	STAND	REMAINDER	единственная точка наблюдения оси D (report) не показывает выбранный каталог кеша / бесзначный флаг, поэтому все формы дают одно наблюдение; лечение — в axis-d-observables.tsv, вне границ пакета
D	form|cli-root|fail_on|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
D	form|cli-root|format|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
D	form|cli-root|include_generated|bool	COLLAPSED	STAND	REMAINDER	единственная точка наблюдения оси D (report) не показывает выбранный каталог кеша / бесзначный флаг, поэтому все формы дают одно наблюдение; лечение — в axis-d-observables.tsv, вне границ пакета
D	form|cli-root|memory_limit|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
A	form|rule-opt|rules.annotation.directive.unused-directive-severity|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|rule-opt|rules.architecture.layer-violation.severity|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|rule-opt|rules.architecture.unassigned-class.mode|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|rule-opt|rules.code-smell.boolean-argument.allowed-prefixes|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|rule-opt|rules.code-smell.error-suppression.allowed-functions|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|rule-opt|rules.cohesion.lcom.exclude-methods|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|rule-opt|rules.coupling.distance.include-namespaces|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
D	form|yaml|architecture.allow|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|architecture.coverage-gap|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
D	form|yaml|architecture.layers[*].attributes|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].exclude.attributes|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].exclude.extends|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].exclude.implements|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].exclude.patterns|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].exclude.suffix|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].exclude|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|architecture.layers[*].extends|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].implements|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].patterns|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
