case	authored_target	authored_line	tested_line	victim_line	findings	suppressed_findings	suppressed	verdict	victim_verdict	exit_check	exit_directives	note
B0-victim-only	complexity.cyclomatic	// @qmx-ignore-file complexity.cyclomatic -- victim	7	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"	(none)	0	inert	inert	0	2	
S-exact	annotation.unused-directive	/** @qmx-ignore annotation.unused-directive -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unused-directive [info] "annotation.unused-directive"	(none)	0	inert	inert	0	2	
S-exact-file	annotation.unused-directive:file	/** @qmx-ignore annotation.unused-directive:file -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unused-directive [info] "annotation.unused-directive:file"	(none)	0	inert	inert	0	2	
S-exact-class	annotation.unused-directive:class	/** @qmx-ignore annotation.unused-directive:class -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
S-group	annotation.*	/** @qmx-ignore annotation.* -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unused-directive [info] "annotation.*"	(none)	0	inert	inert	0	2	
S-group-file	annotation.*:file	/** @qmx-ignore annotation.*:file -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unused-directive [info] "annotation.*:file"	(none)	0	inert	inert	0	2	
S-nofilter	*	/** @qmx-ignore * -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"	(none)	0	unmeasured / addresses-every-channel	inert	0	2	
N-exact	annotation.unused-directive	// @qmx-ignore-next-line annotation.unused-directive -- tested	7	8	L7 annotation.unused-directive [info] "annotation.unused-directive"	L8 annotation.unused-directive [info] "complexity.cyclomatic"	1	effective	inert	0	2	
N-exact-file	annotation.unused-directive:file	// @qmx-ignore-next-line annotation.unused-directive:file -- tested	7	8	L7 annotation.unused-directive [info] "annotation.unused-directive:file"	L8 annotation.unused-directive [info] "complexity.cyclomatic"	1	effective	inert	0	2	
N-exact-class	annotation.unused-directive:class	// @qmx-ignore-next-line annotation.unused-directive:class -- tested	7	8	L7 annotation.unresolved-directive [error]; L8 annotation.unused-directive [info] "complexity.cyclomatic"	(none)	0	unmeasured / already-refused	inert	2	2	
N-group	annotation.*	// @qmx-ignore-next-line annotation.* -- tested	7	8	L7 annotation.unused-directive [info] "annotation.*"	L8 annotation.unused-directive [info] "complexity.cyclomatic"	1	effective	inert	0	2	
N-group-file	annotation.*:file	// @qmx-ignore-next-line annotation.*:file -- tested	7	8	L7 annotation.unused-directive [info] "annotation.*:file"	L8 annotation.unused-directive [info] "complexity.cyclomatic"	1	effective	inert	0	2	
N-nofilter	*	// @qmx-ignore-next-line * -- tested	7	8	(none)	L8 annotation.unused-directive [info] "complexity.cyclomatic"	1	unmeasured / addresses-every-channel	inert	0	2	
F-exact	annotation.unused-directive	// @qmx-ignore-file annotation.unused-directive -- tested	8	7	(none)	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unused-directive [info] "annotation.unused-directive"	2	effective	inert	0	2	
F-exact-file	annotation.unused-directive:file	// @qmx-ignore-file annotation.unused-directive:file -- tested	8	7	(none)	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unused-directive [info] "annotation.unused-directive:file"	2	effective	inert	0	2	
F-exact-class	annotation.unused-directive:class	// @qmx-ignore-file annotation.unused-directive:class -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
F-group	annotation.*	// @qmx-ignore-file annotation.* -- tested	8	7	(none)	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unused-directive [info] "annotation.*"	2	effective	inert	0	2	
F-group-file	annotation.*:file	// @qmx-ignore-file annotation.*:file -- tested	8	7	(none)	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unused-directive [info] "annotation.*:file"	2	effective	inert	0	2	
F-nofilter	*	// @qmx-ignore-file -- tested	8	7	(none)	L7 annotation.unused-directive [info] "complexity.cyclomatic"	1	unmeasured / addresses-every-channel	inert	0	2	
LVL-exact-callable	annotation.unused-directive:callable	// @qmx-ignore-file annotation.unused-directive:callable -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
