category	path	site	current_value	expected_shift_on_split	how_found
rule_counter_test	tests/Analysis/Finding/Integration/RuleRemediationMinutesCoverageTest.php	line 29, `private const int REGISTERED_RULE_COUNT = 42;`	42	45 (+2 from design.type-coverage → 3 rules, +1 from architecture.unassigned-class extracted out of LayerViolationRule)	grep for `REGISTERED_RULE_COUNT\s*=` across tests/, cross-checked against `bin/qmx rules --no-ansi` ("42 rules available")
rule_counter_test	tests/Analysis/Finding/Integration/RuleDocsPageCoverageTest.php	line 31, `private const int REGISTERED_RULE_COUNT = 42;`	42	45 (same arithmetic as above)	grep for `REGISTERED_RULE_COUNT\s*=`
channel_counter_test	tests/Analysis/Finding/Integration/ChannelPresentationCoverageTest.php	line 32, `private const int DECLARED_CHANNEL_COUNT = 57;`	57	57, unchanged — the split moves 4 pre-existing channels (`design.type-coverage.{param,return,property}`, `architecture.unassigned-class`) to new producers, it does not add or remove a channel	grep for `DECLARED_CHANNEL_COUNT\s*=`; verified by reading FACTS.md ("57 statically declared") and confirming both target rules declare `channelDeclarations()` themselves (not merged/collapsed)
channel_counter_test	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	line 63, `private const int DECLARED_CHANNEL_COUNT = 57;`	57	57, unchanged (same reasoning as ChannelPresentationCoverageTest)	grep for `DECLARED_CHANNEL_COUNT\s*=`
ancestor_channel_counter_test	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	line 72, `private const int CHANNELS_DECLARED_BY_AN_ANCESTOR = 12;`	12	12, unchanged — both `TypeCoverageRule::channelDeclarations()` and `LayerViolationRule::channelDeclarations()` are declared on the rule class itself, not inherited from an abstract ancestor, so they are not part of this set today and the 3+1 replacement rules only stay out of it if they follow the same pattern	read `channelsDeclaredByAnAncestor()` helper (lines 286-305) which filters by `getMethod('channelDeclarations')->getDeclaringClass()->getName() === $ruleClass`; grepped both rule files for `channelDeclarations` to confirm neither is inherited
channel_counter_test	tests/Reporting/Formatter/Sarif/Integration/SarifRuleDescriptorCoverageTest.php	line 46, `private const int UNIVERSE_CHANNEL_COUNT = 57;`	57	57, unchanged (SARIF descriptor count tracks the channel universe, not the rule count)	grep for `UNIVERSE_CHANNEL_COUNT\s*=`
producer_identity_assertion	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	lines 165-171, `foreach (['param', 'property', 'return'] as $facet) { self::assertSame(TypeCoverageRule::NAME, $universe->producerOf('design.type-coverage.' . $facet), $facet); }`	1 producer name (`TypeCoverageRule::NAME`) asserted for all 3 facets	3 distinct producer classes/NAMEs, one per facet (e.g. a param-rule, a return-rule, a property-rule) — the loop collapses to 3 separate `assertSame` lines, or a facet=>class map	read the test body directly (`itResolvesTheProducerOfEveryChannelIncludingHardWays` — method around line 145-179); this is the single most direct machine proof that the split changes producer identity, not just a count
cli_alias_count_assertion	tests/Analysis/Evidence/Design/Unit/TypeCoverageRuleTest.php	lines 71-81, `itGetsCliAliases()` — `self::assertSame([... 6 entries ...], CliAliasReader::read(TypeCoverageRule::class))`	1 array, 6 entries (param/return/property × warning/error) on one rule class	3 arrays of 2 entries each, one per new rule class (`type-coverage-param-{warning,error}`, etc.) — the CLI flag strings themselves may or may not survive the rename, but the array is split 6 → 2+2+2 regardless	read the test method body directly
cli_alias_count_assertion	tests/Analysis/Policy/Architecture/Unit/LayerViolationRuleTest.php	lines 78-84, `metadataMatchesContract()` — `self::assertSame(['layer-violation' => 'enabled', 'layer-violation-severity' => 'severity', 'layer-violation-unassigned-class' => 'unassigned_class'], CliAliasReader::read(LayerViolationRule::class))`	1 array, 3 entries	2 entries left on `LayerViolationRule` (`enabled`, `severity`); the `unassigned_class` alias moves to the new rule's own `CliAliasReader::read()` assertion	read the test method body directly
fixture_snapshot	tests/Analysis/Finding/Fixtures/Channels/declared.txt	109 lines total; line 60 `architecture.layer-violation#architecture.layer-violation ...`, line 63 `architecture.unassigned-class#architecture.unassigned-class magnitude:higher project`, lines 97-99 `design.type-coverage#design.type-coverage.{param,property,return} magnitude:lower class`	4 of 109 lines carry the left-half rule name that changes	same 109 lines, but the left half of 4 lines changes from `architecture.layer-violation` → new rule name (1 line) and `design.type-coverage` → 3 new rule names (3 lines); total line count is unaffected because these are pre-existing channels, not new ones	`wc -l`, then grep for the 3 target channel names in the fixture; consumed by `ChannelDeclarationFixtureDriftTest`/`ChannelUniverseCoverageTest`
