# X19, этап 04, пакет P-B/P-E: КЛЮЧ, У КОТОРОГО ДОПУСТИМЫЕ ЗНАЧЕНИЯ — ЗАКРЫТОЕ МНОЖЕСТВО.
# Дерево d3c6afae + правки этого пакета.
#
# План (04-remainder.md, P-B) назвал семь ключей и предупредил, что «завести enum() и применить
# ко всем» — обобщение, потому что механизмов у читателей минимум ТРИ. Эта таблица разносит
# строки по фактическому механизму читателя, прежде чем решать, сколько форм словаря нужно.
#
# =========================== ЧЕМ ПОЛУЧЕНО ===========================
# 1. Знаменатель «объявлено как любая строка»: grep по `RuleOptionShape::text()` и
#    `RuleOptionShape::nonEmptyText()` во всём src/ — 17 мест объявления, из них 7 несут
#    закрытое множество (остальные — свободный текст: формула, описание, имя метода/префикса).
#    Корни ВНЕ `rules:` добавлены отдельно: у них словарь другой — маркеры ConfigSchema::ENTRIES
#    (`scalar`/`string`/null), и «закрытость» там вообще не выражается.
# 2. Читатель каждой строки прочитан целиком по исходнику (файл:строка в колонке `reader`);
#    механизм выведен из кода читателя, а не из имени ключа.
# 3. Слова отказа сняты живым прогоном `bin/qmx check` на фикстуре стенда
#    (promise-effect/fixtures/probe) — колонка `refusal_today` цитирует то, что печатает продукт,
#    а не то, что написано в исходнике.
# 4. Блокировка формы `oneOf()` установлена прогоном `composer promise-effect`: применение формы
#    к `coupling.cbo.class.scope` обрывает прогон с `LedgerError` в
#    scripts/promise-effect/Stand.php:1590. Это измерение, а не чтение.
#
# =========================== ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ ===========================
# - Знаменатель построен по `RuleOptionShape::text()`. Ключ с закрытым множеством, объявленный
#   ЛЮБОЙ другой формой (например `listOf(text())` — строка `levels` ниже), в grep по `text()`
#   попадает только потому, что элемент объявлен через `text()`; закрытое множество, спрятанное
#   за `block()` или за `either(...)`, эта выборка НЕ находит.
# - Корни вне `rules:` перечислены по ключам, которые дефектны в сетке (fail_on, format,
#   memory_limit, coverage-gap). Полного обхода всех корней на предмет «читатель проверяет
#   закрытым множеством» не делалось: у корней нет объявления формы, по которому можно было бы
#   искать, и перечисление пришлось бы вести по читателям, а их знаменатель этот пакет не строил.
# - `refusal_today` снят на ОДНОЙ фикстуре и одной двери из перечисленных в `doors`. Разница
#   формулировок между дверями (yaml / rule-opt / cli-alias / cli-root) не проверялась поштучно.
# - Регистр: колонка `case` выведена чтением читателя. Поведение подтверждено прогоном только
#   для `unused-directive-severity` (`WARNING` принято); для остальных строк — чтение кода.
#
# =========================== КОЛОНКИ ===========================
#   key            путь ключа, как его называет реестр обещаний
#   doors          двери, на которых ключ пишется
#   declaration    где объявлена форма значения (файл:строка)
#   reader         кто на самом деле проверяет значение (файл:строка)
#   mechanism      M1..M4 — см. ниже
#   case           фолдит ли читатель регистр
#   on_miss        что происходит со словом вне множества
#   refusal_today  слова, которые печатает отказ сегодня
#   defect_rows    сколько строк осей A/D этот ключ даёт в сетке d3c6afae
#   cure           что сделал этот пакет и что осталось
#
# МЕХАНИЗМЫ (их четыре, а не три, и четвёртый план не предвидел):
#   M1  статический список слов, известный на момент объявления. Единственный, который форма
#       словаря может выразить.
#   M2  выбор, подкреплённый РЕЕСТРОМ: состав известен только в рантайме (реестр форматтеров).
#       Слов, которые можно записать в объявление, не существует — их там было бы две копии.
#   M3  текст, стеснённый ОБРАЗЦОМ: не множество слов вообще, «одно из ...» его не напечатает.
#   M4  ДВУХСТУПЕНЧАТОЕ множество: слово настоящее, но не для этой роли. Читатель печатает два
#       РАЗНЫХ отказа, и одна плоская форма слов их бы склеила.
#
# РЕГИСТР ВНУТРИ M1 — не одно поведение, и это отдельная находка. Четыре читателя внутри
#   `rules:` (severity, mode, unused-directive-severity, `match` слоя) и `coverage-gap` фолдят
#   регистр перед поиском; `fail_on` (`Severity::tryFrom` без strtolower) и `scope`
#   (строгий `in_array`) — НЕ фолдят. Форма словаря сравнивает без учёта регистра, то есть
#   подходит первым и требует правки читателя у вторых; это ещё одна причина, по которой
#   применять её ко всем M1 одним движением нельзя.
#
# СКОЛЬКО ФОРМ СЛОВАРЯ ПОНАДОБИЛОСЬ: одна — `RuleOptionShape::oneOf()`, и только для M1.
#   M2 и M3 в словарь НЕ переносятся: у M2 нет слов на момент объявления, у M3 предмет не слова.
#   M4 не переносится тоже: форма поглотила бы различие двух отказов, то есть лечение съело бы
#   законный случай. Обоснование живёт в докблоке самой `oneOf()`.
#
# ШОВ ДВУХ СЛОВАРЕЙ, названный числом. Внутри `rules:` форму объявляет `RuleOptionShape`
#   (8 дефектных строк: severity ×3 двери, mode ×3, unused-directive-severity ×2). Вне `rules:`
#   формы объявляют маркеры `ConfigSchema::ENTRIES` (7 дефектных строк: fail_on ×2, format ×2,
#   memory_limit ×2, coverage-gap ×1), и закрытость там не выражается вовсе — маркеров ровно три
#   (`boolean`/`integer`/`string`). Этот пакет шов НЕ сводит: перенос слов `fail_on` в
#   ConfigSchema сделал бы вторую копию словаря `Severity`, а `format` (M2) туда не переносится
#   в принципе. Владельца формы для корней должен назвать этап, который трогает ConfigSchema.
#
# ПОЧЕМУ НИ ОДИН КЛЮЧ ФОРМУ ПОКА НЕ ОБЪЯВЛЯЕТ — измерено, а не выбрано.
#   `Stand::effectWritesFor()` (scripts/promise-effect/Stand.php:1484) требует записи одной из
#   восьми канонических величин ДО того, как посмотрит в собственный `effect-magnitudes.tsv`, где
#   для трёх из четырёх этих листьев уже объявлены `application`, `warning`, `warn`. Закрытое
#   множество не совпадает ни с одной из восьми, поэтому объявление обрывает прогон
#   (`LedgerError`, Stand.php:1590). Все четыре ключа M1 состоят в парных строках оси B, так что
#   обойти это выбором другого ключа нельзя. Разблокирует одна ветка в `writeForShape`, а
#   scripts/promise-effect* этот пакет трогать не должен.
key	doors	declaration	reader	mechanism	case	on_miss	refusal_today	defect_rows	cure
rules.architecture.layer-violation.severity	yaml, rule-opt, cli-alias	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationOptions.php:115 (text()->orNull())	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationOptions.php:189-215 (Severity::cases())	M1	folded (strtolower)	refuses	Option "severity" for rule "architecture.layer-violation" has unknown value "abc"; expected one of 'info', 'warning', 'error'.	3	объявление осталось text(): применение oneOf() обрывает прогон стенда, и файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом. Остаток: одна строка в acceptedOptionKeys()
rules.architecture.unassigned-class.mode	yaml, rule-opt, cli-alias	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassOptions.php:82 (text()->orNull())	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassOptions.php:165-197 (UnassignedClassMode::cases())	M1	folded (strtolower)	refuses	Option "mode" for rule "architecture.unassigned-class" has unknown value "abc"; expected one of 'ignore', 'warn', 'error'.	3	то же
rules.annotation.directive.unused-directive-severity	yaml, rule-opt	src/Analysis/Policy/Inline/Directive/InlineDirectiveOptions.php:55 (text()->orNull())	src/Analysis/Policy/Inline/Directive/InlineDirectiveOptions.php:71-99 (Severity::tryFrom(strtolower))	M1	folded (strtolower)	refuses	Option "unusedDirectiveSeverity" for rule "annotation.directive" has unknown value "warnin"; expected one of 'info', 'warning', 'error'.	2	объявление осталось text(): oneOf() здесь обрывает прогон стенда (ключ состоит в парной строке оси B). Остаток: одна строка в acceptedOptionKeys()
rules.coupling.cbo.scope (и class.scope)	yaml, rule-opt	src/Analysis/Evidence/Coupling/CboOptions.php:116, src/Analysis/Evidence/Coupling/ClassCboOptions.php:84 (text()->orNull())	src/Analysis/Evidence/Coupling/ClassCboOptions.php:113-122 (in_array('all','application'))	M1	НЕ фолдит	МОЛЧА берёт 'all'	ничего не печатает	0 (сетка этого не видит)	найдено этим пакетом и НЕ вылечено: `scope: applicaton` молча становится 'all'. oneOf() лечит и печатает слова, но обрывает прогон стенда (Stand.php:1590 воспроизведён). Остаток с назван­ной ценой
architecture.layers[*].match, architecture.layers[*].exclude.match	yaml	нет объявления формы (корень вне rules:)	src/Analysis/Policy/Architecture/Configuration/LayerCriterionNormalizer.php:158-184 (MatchMode::cases())	M1	folded (strtolower)	refuses	"match" must be one of "any", "all", got "abc".	0 (реестр обещает здесь только null)	не трогалось: корень вне rules:, владельца формы у него нет
architecture.coverage-gap	yaml	нет объявления формы (корень вне rules:)	src/Analysis/Policy/Architecture/Configuration/CoverageValidator.php:21-45 + CoverageMode.php:39-55	M1	folded (strtolower)	refuses	architecture.coverage-gap: must be one of 'ignore', 'warn', 'error' (got string).	1	не трогалось: файл в src/Analysis/Policy/Architecture/**; слова отказ уже печатает
fail_on	yaml, cli-root	ConfigSchema::ENTRIES 'failOn' = scalar, скалярный тип не задан	src/Infrastructure/Console/ExitPolicy.php:39-80 (Severity::gatesRun())	M1	НЕ фолдит	refuses	Invalid value "abc" for "fail_on". Allowed values: none, warning, error. ...	2	не переносилось в словарь: у корней его нет, а копия слов Severity в ConfigSchema была бы вторым местом решения формы одного ключа
format	yaml, cli-root	ConfigSchema::ENTRIES 'format' = scalar, скалярный тип не задан	src/Reporting/Configuration/OutputFormatResolver.php:37-56 (FormatterRegistry::has())	M2	н/п	refuses	Output format "abc" is not one of: checkstyle, github, gitlab, health, html, json, metrics, sarif, summary, suppressed, text.	2	в словарь НЕ переносится: состав множества — это реестр форматтеров в рантайме, слов на момент объявления не существует
memory_limit	yaml, cli-root	ConfigSchema::ENTRIES 'memoryLimit' = scalar + скалярный тип string	src/Infrastructure/Console/RuntimeLimits.php:12-20 (preg_match '^(?:-1|[0-9]+[KMG]?)$')	M3	н/п (регистр суффикса игнорируется)	refuses	Invalid memory_limit "abc". Expected bytes or a K, M, or G suffix.	2	в словарь НЕ переносится: предмет — образец, а не множество слов; «одно из ...» его не напечатает
computed_metrics.<name>.levels	yaml	src/Analysis/Evidence/ComputedMetrics/Configuration/ComputedMetricEntryKeys.php:63 (listOf(text())->orNull())	src/Analysis/Evidence/ComputedMetrics/ComputedMetricOverrideReader.php:306-326 (SymbolLevel + REPORTING_LEVELS)	M4	НЕ фолдит	refuses ДВУМЯ разными отказами	Invalid computed metric level: "abc" / Computed metric level "callable" is not supported; computed metrics report at "class", "namespace" or "project" only.	1 (форма элемента, вынесенная координата)	в словарь НЕ переносится: одно плоское множество слов склеило бы два отказа, которые читатель разделяет намеренно
