channel	file	where	form	breaks	note
1-php-runtime	src/Reporting/Formatter/Html/HtmlFormatter.php	38	computed-path	loud	$templateDir = \dirname(__DIR__, 2) . '/Template' — resolves relative to Formatter/Html/, no literal 'Reporting/Template' anywhere on the line. Invisible to a sweep on the path string. Exercised for real by tests/Reporting/Unit/Formatter/Html/HtmlFormatterTest.php, so a stale computation reddens composer check, not only a user's --format=html.
1-php-runtime	src/Reporting/Formatter/Html/HtmlFormatter.php	40-43	computed-path	loud	The four assets appended to $templateDir: /report.html, /report.css, /dist/d3.min.js, /dist/report.min.js. readFile() throws RuntimeException on a missing file. These four are also the oracle read by the packaging control (row below), via regex #\$templateDir \. '(/[^']+)'#.
1-php-runtime	src/Reporting/Formatter/Html/HtmlFormatter.php	83	command-string	silent	Error text: 'Run "cd src/Reporting/Template && npm run build" to generate dist/ files.' A path baked into a user-facing string. Nothing parses it; it stays wrong and green. Second of the two forms CLAUDE.md warns about.
2-string-literal	governance/DistributedPackage/HtmlReportShipsOnlyWhatItReadsTest.php	34 (const TREE)	literal-path	loud	TREE = 'src/Reporting/Template'. Two independent loud paths: (a) shippedFiles() runs `git archive --worktree-attributes HEAD <TREE>`; a pathspec matching nothing makes git exit non-zero and capture() asserts exit 0; (b) an explicit fail() when the archive yields no entry under TREE. Also assertNotSame([], $read) guards the formatter-side oracle. This control has a non-emptiness guard, unlike the empty-set pattern CLAUDE.md warns about.
2-string-literal	governance/RuleDeclaration/RuleIdentifierLiteralGuardTest.php	228 (EXISTENCE_CHECKED_FILES)	literal-path	loud	Entry 'src/Reporting/Template/dev.html'. Enforced at :335-340 — `if (!is_file($absolutePath)) { $stale[] = '... is existence-checked but no longer exists.' }` then assertSame([], $stale). Read and confirmed; not executed.
2-string-literal	scripts/modular-architecture/tests/ModularArchitectureGeneratorRefusalTest.php	389	literal-path	loud	createIsolatedProject() runs `git add -- phpunit.xml.dist tests governance tools scripts src/Reporting/Template` in the scratch project, then assertSame(0, $exitCode). git errors on a pathspec that matches nothing. Second loud path: the copy list at :309 copies all of src/, so a new root outside src/ is never copied and the generator inside the scratch project finds 0 HtmlTemplate rows, tripping the rows=>10 count.
2-string-literal	governance/FormatOptionKeys/FormatOptionKeyDeclarationTest.php	239	literal-path	no	`if (str_contains($relativePath, '/Template/')) continue;` — a FRAGMENT match while walking src/Reporting recursively for *.php. A substring form a full-path sweep misses. Measured: 0 PHP files under src/Reporting/Template including the untracked node_modules/, so this skip is ALREADY inert on this tree; it is defensive against a .php shipped inside an npm package. Survives the move either way (the walk root is src/Reporting).
2-string-literal	governance/TestSuiteHygiene/ScratchPathsCarryRealEntropyTest.php	42 (const ROOTS)	config-key	no	ROOTS = ['tests','governance','scripts','tools']. 'src' is absent, so this frontend is not in scope today and the move changes nothing. Answers the CLAUDE.md table row that names this control by name.
3-config-build	composer.json	94 (scripts.test:js)	command-string	loud	"cd src/Reporting/Template && npm test". Part of check:code, so composer check runs it. `cd` into a missing dir exits non-zero.
3-config-build	composer.json	101 (scripts.build:js)	command-string	loud	"cd src/Reporting/Template && npm run build". Not in composer check; run by hand per AGENTS.md when the template changes. Loud when invoked.
3-config-build	composer.json	102 (scripts.install:js)	command-string	loud	"cd src/Reporting/Template && ([ -d node_modules ] || npm ci)". Added by stage 01 so that scripts/init-environment.sh can install the viewer's dependencies without naming the path itself; the node_modules guard lives here for the same reason, because the script must stay path-free. Do not inline it back into the shell script. `cd` into a missing dir exits non-zero.
3-config-build	composer.json	53 (autoload psr-4)	config-key	no	"Qualimetrix\\": "src/" — PSR-4 over src/. JS is never autoloaded. The move REMOVES a non-PHP island from the PSR-4 root, which is the point of the exercise; no autoload edit is required.
3-config-vcs	.gitattributes	29-35 (7 export-ignore rows)	literal-path	loud	/src/Reporting/Template/{src,tests,scripts,package.json,package-lock.json,vite.config.js,dev.html} export-ignore. These 7 rows keep the dist package at 6 entries instead of 33 (number stated in the file's own comment). After the move they match nothing and go inert, so the whole npm project would ship to composer consumers. Loud either way via the packaging control: TREE not updated -> archive pathspec error; TREE updated but these rows not -> 'extra' diff. Inert rows themselves are silent; the control is what makes it loud.
3-config-vcs	.gitignore	99-100	literal-path	silent	!/src/Reporting/Template/package.json and !/package-lock.json negate the blanket `*.json` at .gitignore:61. Tracked files survive `git mv` (ignore rules only affect untracked), so the move itself does not lose them; a FUTURE add at the new path is silently swallowed. Exactly the failure mode the file's own comment at :89-93 describes for a previous inert negation. Not executed to confirm.
3-config-vcs	.gitignore	45 (/dist/)	glob	no	Root-anchored, so it does not match src/Reporting/Template/dist/ today and would only bite if the frontend landed at a top-level dist/. Worth checking against the chosen destination.
3-config-vcs	.gitignore	103 (node_modules/)	glob	no	Unanchored — matches at any depth, follows the directory anywhere.
3-config-static	phpstan.neon	paths: src,tests,governance,scripts,tools	config-key	no	PHPStan analyses *.php only; the 28 files are HTML/CSS/JS/JSON. A new non-PHP root needs no entry here. Corresponds to the CLAUDE.md 'fails loudly' row — not applicable.
3-config-static	.php-cs-fixer.dist.php	6-18 (finder ->in([...]) ->name('*.php'))	config-key	no	Same reasoning as phpstan. CLAUDE.md row not applicable.
3-config-static	phpunit.xml.dist	(whole file)	config-key	no	Measured: no <directory> anywhere names Template. The 8 vitest files run under vitest, not PHPUnit, so no <testsuite>, no autoload-dev, no SUITES tuple. Three CLAUDE.md rows not applicable for this reason.
3-config-container	Dockerfile	28 (COPY . .)	glob	no	Copies the whole build context; location-independent.
3-config-container	.dockerignore	**/tests/	glob	no	Already excludes src/Reporting/Template/tests/ and follows the directory anywhere. Note `dist/` on the same file is ROOT-anchored, so the built bundle is shipped into the image today and keeps being shipped — unless the frontend lands at a top-level dist/, which would silently strip the runtime assets from the image.
3-config-ci	.github/workflows/qmx.yml	139 (cache-dependency-path)	literal-path	loud	'src/Reporting/Template/package-lock.json' passed to actions/setup-node with cache: npm. setup-node fails the step when the dependency path resolves to no file. Based on documented setup-node behaviour; NOT executed here.
3-config-ci	.github/workflows/qmx.yml	142	command-string	loud	`npm ci --prefix src/Reporting/Template`. npm ci against a missing prefix errors non-zero.
3-config-ci	.github/workflows/qmx.yml	59 (paths: 'src/')	config-key	no	The Action smoke-test's PHP analysis scope. The frontend is not PHP and contributes no finding, so the scope is unaffected.
3-config-ci	.github/workflows/docs.yml, release.yml	(whole files)	literal-path	no	Measured: zero Template/npm/node references. Only qmx.yml carries the frontend.
3-config-hooks	.githooks/pre-commit	staged-file filter	glob	no	Filter is `^(src|tests|governance|scripts|tools)/` AND `\.php$`. No JS ever matched, so a new non-PHP root needs no entry. The CLAUDE.md '.githooks staged-file path filter' row is not applicable for this reason.
3-config-hooks	scripts/init-environment.sh	(whole file)	literal-path	no	Zero Template references, re-measured after stage 01 and still zero. Stage 01 gave the file a JS toolchain section: it installs node 22 and calls `composer install:js`, so the earlier note that this workspace never installs the JS toolchain no longer holds. The path stays out of the file deliberately, which is what keeps this row's verdict at 'nothing to update'.
4-di-autoconfig	src/Infrastructure/DependencyInjection/Configurator/OutputConfigurator.php	151-161 (registerClasses)	glob	no	Scan scopes are $srcDir.'/Reporting/Formatter/{*,**/*}' and '/Reporting/Health/*'. Template is a SIBLING of Formatter, never inside a scan glob, and registerClasses only registers .php. Measured: no configurator names Template. The directory leaving src/ changes nothing in the container.
5-frontend	src/Reporting/Template/vite.config.js	entry/outDir/test.include	computed-path	no	resolve(__dirname,'src/main.js'), outDir 'dist', include 'tests/**/*.test.js' — all relative to the config's own directory. Moves intact.
5-frontend	src/Reporting/Template/package.json	scripts.*	command-string	no	`vite`, `vite build`, `node scripts/bundle-d3.js`, `vitest run` — all cwd-relative. Moves intact.
5-frontend	src/Reporting/Template/scripts/collect-metric-keys.mjs	2,19,33 (header comments)	literal-path	silent	Its own provenance comments spell src/Reporting/Template/{src,tests}/*.js. Prose inside a script; nothing validates it.
5-frontend	src/Reporting/Template/tests/metric-key-catalog.test.js	5, 14, 21	computed-path	loud	Imports ../scripts/metric-key-catalog.mjs and CALLS loadCatalog(), so it drags the 4-hop REPO_ROOT below into composer check via test:js -> check:code. Its own hops (SRC_DIR = resolve(__dirname,'..','src')) are template-relative and survive. Line 14 names collect-metric-keys.mjs by full path in a comment (silent). Checked for the count form: only expect(literals.length).toBeGreaterThan(0), a floor rather than a pinned N, so no count breakage here.
5-frontend	src/Reporting/Template/scripts/metric-key-catalog.mjs	17 (REPO_ROOT)	computed-path	loud	THE JS TWIN OF HtmlFormatter:38, and the highest-risk row after it. `const REPO_ROOT = resolve(__dirname, '..','..','..','..')` — a HARDCODED DEPTH of four hops from src/Reporting/Template/scripts/ to the repository root, carrying no path literal a sweep could find. It then reads three PHP files: src/Analysis/Evidence/Measurement/Contract/MetricName.php, .../AggregationStrategy.php and src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDecompositionCatalog.php. Any destination at a different depth makes readFileSync throw ENOENT. Loud because metric-key-catalog.test.js calls loadCatalog() under vitest, which composer test:js runs inside check:code. This is precisely the stale-depth hazard CLAUDE.md describes for \dirname(__DIR__, N), here in JS.
5-frontend	src/Reporting/Template/scripts/metric-key-catalog.mjs	32-34 (TEMPLATE_ROOT)	computed-path	no	resolve(__dirname,'..') plus join for src/ and tests/ — template-relative, moves intact.
5-frontend	src/Reporting/Template/scripts/collect-metric-keys.mjs	12-15 (OUT_FILE)	computed-path	loud	The same hardcoded four-hop depth, here writing finding-gate/enumeration-js-metric-keys.tsv at the repo root. Caveat on 'loud': the file's own header says it is run by hand and is not part of npm test or npm run build, and MEASURED above, no composer script invokes it — so the tree stays GREEN after the move and this only fails the day someone regenerates the TSV. Treat it as a deferred loud failure, not a guarded one.
5-frontend	src/Reporting/Template/scripts/bundle-d3.js	10, 32	computed-path	no	resolve(__dirname,'_d3-entry.js') and resolve(__dirname,'..','dist') — template-relative, moves intact. Invoked as npm run build:d3.
6-generator	scripts/generate-modular-architecture-test-inventory.php	429 (git ls-files scan scope)	literal-path	silent	Three literals in the pathspec: 'src/Reporting/Template/tests', '.../package.json', '.../vite.config.js'. CRITICAL and silent in itself: assertPathLiteralsResolve() at :1917 covers ONLY P4_IGNORED_FIXTURE_PATHS, P7_MEASUREMENT_PATHS, P3_TEST_PATHS and the three P6_* constants — this scan scope is NOT among them. Read and confirmed. What makes it loud in practice is the rows=>10 count on the next line, not this literal.
6-generator	scripts/generate-modular-architecture-test-inventory.php	362-367 (NON_MANIFEST_TEST_OWNERS)	count	loud	COUNT FORM. 'Reporting/HtmlTemplate' => ['rows' => 10]. A hardcoded row count asserted over a generated artifact, exactly the first of the two spellings CLAUDE.md says a path-and-name sweep is blind to. Enforced at :1502 — `if ($allowed[$owner] !== $entry['rows']) { $mismatches[] = ... }` then fail(). Move the tree out of the scan scope and the count goes 10 -> 0, so composer architecture:check refuses by name. This is the single control that turns the silent scan-scope literal loud.
6-generator	scripts/generate-modular-architecture-test-inventory.php	941 (classifyOwner)	literal-path	silent	str_starts_with($path,'src/Reporting/Template/tests/') plus in_array of package.json and vite.config.js -> 'Reporting/HtmlTemplate'. Stale after the move; classifies nothing and says nothing on its own. Caught only via the rows=>10 count.
6-generator	scripts/generate-modular-architecture-test-inventory.php	364 (reason text)	literal-path	silent	The exception's own reason string spells 'under src/Reporting/Template/'. Prose inside a constant; nothing reads it.
6-generator	scripts/generate-modular-architecture-test-inventory.php	targetPath() -> tests/Reporting/HtmlTemplate/Tests/	literal-path	silent	The prescribed relocation target written into test-ownership.tsv column 8. This root does not exist on disk today and nothing asserts that it does, so a move to a DIFFERENT destination leaves 10 rows prescribing a stale target, silently. Disputable whether it is in scope for this move — flagged below.
6-artifact	docs/internal/generated/modular-architecture/test-ownership.tsv	162-171 (10 rows)	literal-path	loud	Generated. `composer architecture:check` (php scripts/generate-modular-architecture.php --check) compares byte-for-byte against a fresh measurement, so the move reddens it once. Dual shape, as with every generated artifact here: LOUD on the stale diff, then SILENT after regeneration if the scan scope was not extended — the 10 rows simply vanish and no control re-derives them, except the rows=>10 count which is what keeps that half honest.
6-generator	scripts/generate-rename-enumeration.php	45-50 (surfaces()['src'])	config-key	silent	roots ['src'], excludeDirs ['node_modules','dist']. MEASURED, not assumed: of the 115 occurrences the `src` column records for health.overall, 92 come from non-dist Template files (dev.html 31, subtree.test.js 28, tree.test.js 6, main.js 5, color.test.js 5, hints.test.js 5, hints.js 4, color.js 3, subtree.js 2, detail.js 1, tree.js 1, metric-key-catalog.test.js 1). Move without adding a surface and that column drops ~80% — the 'a later move reads as a drop in a column nobody re-derives' row of the CLAUDE.md table, and it applies in full. Dual shape again: enumeration:renames:check refuses once on staleness (loud), then regeneration makes the loss permanent and silent.
6-generator	scripts/generate-rename-enumeration.php	49 (excludeFiles)	literal-path	silent	'src/Reporting/Template/package-lock.json' in the src surface's excludeFiles. Nothing asserts this literal resolves; after the move it excludes nothing and the lockfile either disappears from the surface or (if the new root is added without this entry) starts contributing noise.
6-artifact	finding-gate/enumeration-renames.tsv	220 (BOUNDARY OF THE SET)	literal-path	silent	Provenance header naming src/Reporting/Template/{node_modules,dist} as excluded noise. Regenerated from generate-rename-enumeration.php:1262, so it follows whatever surfaces() says; the prose goes stale with the config.
6-artifact	finding-gate/enumeration-renames.tsv	197-199 (ROW COUNTS)	count	no	Checked for the count form and it does NOT apply: these count channels (58), producers (54) and metric keys (82) from the container, not files or occurrences. The move changes the per-surface occurrence COLUMNS, not these row counts.
6-artifact	finding-gate/enumeration-js-metric-keys.tsv	2, 16-17 (header) + data rows	literal-path	silent	Generated from the Template's own collect-metric-keys.mjs; header spells src/Reporting/Template twice. MEASURED, and it contradicts finding-gate/README.md:52, which lists metric-key-catalog.test.js as this file's check: the test never reads the TSV. It calls loadCatalog(), which re-derives the catalog from three PHP sources, and asserts literals against that. No composer script regenerates or checks this TSV either — check:artifacts lists architecture, renames, runtime-channels, directives, suppression-snapshot, input-doors and two promise-effect entries, and this is not among them. So the file goes stale in silence, and the README overstates its coverage today, independently of the move.
6-generator	finding-gate/README.md	52	command-string	silent	`node src/Reporting/Template/scripts/collect-metric-keys.mjs` documented as the regeneration command, with the test path beside it. Nothing executes it (see the row above), so a stale command stays green.
6-manifest	docs/internal/modular-architecture-manifest.json	(whole file)	namespace	no	MEASURED: zero declarations for Template or HtmlTemplate. The only 'Template' hit is Analysis\Policy\Architecture\Layer\TemplateLayerDefinition, unrelated. The manifest holds PHP FQCNs with an owner; a JS island has no declaration, so the production manifest does not see this directory at all.
6-generator	scripts/generate-modular-architecture-production-inventory.php	documentationInventory ls-files scope	glob	no	Pathspec is AGENTS.md, CLAUDE.md, CHANGELOG.md, README.md, docs/**/*.md, website/docs/**/*.md, src/**/README.md. Template carries no README.md, so it contributes no row. The CLAUDE.md row about this script (the silent ban on src/ importing a development namespace) is a list of PHP namespace prefixes and is not applicable to a non-PHP tree.
6-selfcheck	qmx.yaml	(whole file)	config-key	no	MEASURED: no Template path, no suppress_paths/suppress_namespaces entry naming it. The `reporting` layer at :998+ lists PHP FQCNs only.
6-selfcheck	qmx-baseline.json	(whole file)	literal-path	no	MEASURED: 0 occurrences of Reporting/Template.
6-selfcheck	composer.json	164 (selfcheck:analysis)	command-string	no	`php bin/qmx check src/ ...` analyses PHP declarations only; the frontend contributes no finding today, so the ratchet is unaffected by its departure.
7-governance	scripts/phpunit-aggregate.py	SUITES tuple	config-key	no	CLAUDE.md table row. Not applicable: the JS tests run under vitest via composer test:js, never under a PHPUnit suite, so no SUITES entry exists to update. Same for its test-side copy in scripts/phpunit-aggregate/tests/test_phpunit_aggregate.py.
7-governance	phpunit.xml.dist	Governance <testsuite> registration	config-key	no	CLAUDE.md table row. Not applicable — this is not a test root; governance/DistributedPackage is already registered and stays put. Only its TREE constant moves.
7-governance	composer.json autoload-dev	(n/a)	config-key	no	CLAUDE.md table row. Not applicable: no PHP namespace lives under this tree, so nothing is autoloaded from it.
6-generator	scripts/generate-modular-architecture-test-inventory.php	1360-1373 (dispositionFor)	config-key	no	Opened for the CLAUDE.md row that names this function. It has NO Template branch: it dispatches on orphanCandidateReason(), kind === 'placeholder', then target === path. The 10 HtmlTemplate rows get the generic 'Move atomically with the named subject owner.' string, so the function needs no edit; what needs the edit is targetPath()/classifyOwner() and the scan scope.
6-artifact	.gitattributes	25, 27 (comment)	count	silent	COUNT FORM in prose: 'the dist package carried 33 entries under it, including the eight vitest files' and 'Measured with `git archive --worktree-attributes`: 33 -> 6'. Three pinned numbers over a measurable artifact, none of them asserted anywhere. After the move the 33 and the 6 describe a tree that no longer exists and nothing says so.
6-artifact	governance/DistributedPackage/HtmlReportShipsOnlyWhatItReadsTest.php	15-17 (docblock)	count	silent	COUNT FORM in prose: 'the dist package carried all 33 of its entries: the eight vitest files, the sources they test, the lockfile, the vite config.' Docblock only — the assertions derive their expectation from the formatter and from git archive, so the class stays correct while its narration goes stale.
8-dist-package	git archive / composer dist	exactly 4 files under the tree today	count	loud	MEASURED with `git archive --format=tar HEAD src/Reporting/Template | tar -tf - | grep -v '/$'`: report.css, report.html, dist/d3.min.js, dist/report.min.js — exactly the 4 the formatter reads, nothing else. (The '6' in .gitattributes' comment counts tar directory entries; the file count is 4.) Guarded loudly by HtmlReportShipsOnlyWhatItReadsTest in both directions — missing asset AND extra file. The move must keep these 4 inside the dist package and re-point all 7 export-ignore rows, or consumers get a broken --format=html or a 33-entry payload.
