row_id	verdict	evidence
R003	fixed	e16079d0 replaced itLocationIsReadonly, whose only assertion was assertInstanceOf on the object it had just built, with a write to $location->line expecting the Error; the edit it rejects is dropping readonly from Location, planted by the location-is-readonly control
R005	fixed	f9250016 rewrote the three cases named for a line boundary the subject-bound resolution never reads. itGetThresholdOverrideReturnsNullForUnknownFile asserted a match and is now itMatchesOnTheSubjectAndIgnoresTheMapKey; itGetThresholdOverrideRespectsLineScope (five identical calls) became itIgnoresAnOverrideRecordedForAnotherSubject; itGetThresholdOverrideWithNullEndLine (three identical calls) became itPrefersTheNarrowerControlScopeOverTheSmallerSpan, the precedence neither neighbouring case can separate
R065	fixed	d5a96f0c moved the roll-call to governance/Channel/ProjectScopedChannelRollCallTest.php, where it scans src/ for PROJECT_SCOPED_CHANNELS declarations instead of listing the same two capabilities the subject assembles; the unit file keeps channel names written out by hand. The edit both reject is dropping a capability from DeclaredChannelFileScope::create(), planted by the every-declaring-capability-is-asked control
R079	fixed	175825cb moved itIntegratesWithCollectorCorrectly, itProducesNoCollectorFindingsForCleanCode, itReturnsCollectorName and itProvidesExpectedMetricKeys out of IdenticalSubExpressionVisitorTest into IdenticalSubExpressionCollectorTest, with the borrowed CoversClass. RULING for the 14-file itDeliberatelyDoesNotProvideCallableMetrics group, which P3 applies to its 13 without re-reading them: the repeated statement of intent is LEGITIMATE and nothing in the group is deleted or folded into a shared helper. CallableMetricsProviderInterface is opt-in and is consumed by instanceof in Analysis\Run\Collection\FileProcessor and Analysis\Evidence\Measurement\FileMeasurement\DerivedCollectorRunner, so a collector that implements it is asked for callable metrics it does not produce. The expected side of the assertion is a hand-written FQCN and the production edit it rejects is adding "implements CallableMetricsProviderInterface" to that collector or to AbstractCollector, which would enrol all of them at once; by the refusal-proof table in other-adjudication.md that is a proof, not a tautology, and deleting it loses the only evidence the opt-out is deliberate. P3 closes its 13 rows wont-fix citing this row.
R090	fixed	e16079d0 replaced the constructor-assignment case with a write to $item->value expecting the Error; the edit it rejects is dropping readonly from DecompositionItem, planted by the decomposition-item-is-readonly control
R091	fixed	e16079d0 replaced the two constructor-assignment cases with the promise the docblock and ADR 0062 make — coverage has no default — read off the constructor by reflection, plus a readonly write; the edits they reject are giving $coverage a default and dropping readonly, planted by health-score-states-its-coverage and covered for the readonly half by the same shape as R090
R122	fixed	d5a96f0c replaced itIsEnabledWhenTheEnabledFlagIsTrue, which the default already answered, with itIsDisabledWhenTheEnabledFlagIsFalse; the edit it rejects is fromArray ignoring the enabled key, planted by the namespace-instability-reads-the-flag control
R126	fixed	e16079d0 replaced itDependencyIsReadonly with a write to $dependency->type expecting the Error; the edit it rejects is dropping readonly from Dependency, planted by the dependency-is-readonly control
R127	fixed	d5a96f0c replaced itMultipleCallsReturnConsistentResults and itDifferentInstancesReturnSameResults with itAnswersEveryMethodTheContractDeclaresWithNothing, which reads the method list off DependencyGraphInterface by reflection; the edit it rejects is a non-empty answer from any of them, planted by the empty-graph-answers-nothing control
R129	already-fixed	52eae218 gave itAliasesItsOwnTwoBoundariesOnly its #[Test] and #[DataProvider('dimensions')]; re-confirmed against the body today, where PHPUnit runs it as three data sets
R153	fixed	6b0f6aad replaced the pinned value list, which the enum carries verbatim, with a check on what the values are for: DerivedCollectorRunner and DeclarationControlBindings join them to a declaration path with ':' and "\0", and a value carrying either separator makes two declarations read as one. The edit it rejects is exactly that, planted by the callable-kind-values-stay-usable-as-keys control. Re-measured before deciding: the values reach no user-facing surface, so the R047 promise-not-a-pin exception does not apply and the row is repaired rather than dismissed
R155	fixed	e16079d0 replaced itSymbolInfoIsReadonly with a write to $symbolInfo->line expecting the Error; the edit it rejects is dropping readonly from SymbolInfo, planted by the symbol-info-is-readonly control
R156	fixed	e16079d0 collapsed the four constructor-assignment cases into the branch SymbolInfo actually has: a MetricSubject keeps its exact subject, a SymbolPath leaves it null. The edit it rejects is flattening that ternary, planted by the symbol-info-keeps-its-subject control. The two further line-value cases in the same file, itConstructorWithLineOne and itConstructorWithLargeLine, were the same defect outside the row's recorded span and went with them
R161	fixed	35524e3a made itUsesTheCacheDirFromTheConfigurationAtFirstCall read the directory back off the FileCache instead of repeating the assertInstanceOf of the case above it, and added itTakesTheCacheDirAsItWasAtTheFirstCall for the memoised half
R168	fixed	35524e3a replaced itReturnsFallbackWhenDetectionFails, whose body was its neighbour's and which never made detection fail, with itReadsTheProcessorCountFromTheWindowsEnvironmentVariable — the one branch a test can drive, restored in a finally. The detector takes no seam for the other three, so the fallback remains unreachable from a test and the name no longer claims otherwise
R169	fixed	35524e3a removed the five expectNotToPerformAssertions cases. What they named is asserted beside them: itUsesLoggerForDebugMessages and itLogsWarningWhenProjectRootNotSet check which fallback fired, which counting processor calls cannot. The edit that denies the threshold claim is planted by the the-parallel-fallback-says-which-one-it-took control, and itUsesLoggerForDebugMessages reddens under it. setCacheDir has no unit-observable effect either way and had none before
R170	fixed	35524e3a took the if (!isAvailable()) out of the body of itFallsBackToSequentialWhenParallelNotAvailableWithAllConditionsMet and made it a markTestSkipped at the top, so the claim is asserted unconditionally where it can run and loudly skipped where it cannot
R173	fixed	35524e3a replaced assertGreaterThanOrEqual(0, ...) under a name promising a maximum with three instances each raising the process peak by a megabyte: the maximum is a third of the root span's figure and the sum is all of it. Verified by planting max() -> + in Profiler::collectStats, which reddens the case
R176	fixed	f5f60b15 renamed the namespace to Qualimetrix\Tests\Infrastructure\Profiler\Unit, which is what the path supports and what the autoloader needs. The row that excused it in governance/TestSuiteHygiene/namespace-path-allow-list.php:75 is now stale and is left to the re-derivation ten other rows in that file already require
R179	fixed	4e4db337 removed itCreatesContainerWithDefaultConfiguration, whose two assertions are itCreatesCompiledContainer's and itHasAnalysisPipeline's
R180	fixed	4e4db337 removed itRegistersAllCollectorsViaCompilerPass (covered by itRegistersAllMetricCollectors) and gave itInjectsRulesIntoRuleExecution and itWiresGlobalContextCollectors the lists their names promise, read off RuleExecution and the aggregation service; the three had shared one body that got the pipeline and asserted it was a pipeline
R183	fixed	4e4db337 added itLetsTheConfigurationPipelineAddressAProducerNoRuleClassDeclares to ContainerFactoryTest, where the assembled container accepts rules: health.cohesion and refuses an invented name; 1c32d10e removed the unit file, whose two cases asserted that a constructor property survives a getter. The edit it rejects is deriving the vocabulary from rule classes again, planted by the known-rule-names-carry-the-classless-producers control
R184	fixed	1c32d10e replaced itInjectsIntoEveryRegisteredConsumerAtOnce, which asserted a Reference the case had planted itself on a service RuleCompilerPass::CONSUMERS does not name, with a case that reads CONSUMERS by reflection and checks a registered non-consumer comes out untouched; itCollectsTaggedRulesIntoRulesCommand, which made the same planted assertion under a name the pass does not support, went with it. The edit it rejects is injecting an empty list, planted by the rule-compiler-pass-injects-its-consumers control
R186	fixed	4e4db337 replaced itReadsTheNameConstantWithoutInstantiatingRules, which asserted nothing about non-instantiation and duplicated its neighbour, with a registry over LayerViolationRule, which takes a collaborator no test supplies. The edit it rejects is reaching for an instance to read the name, planted by the rule-registry-does-not-instantiate control
R187	fixed	f5f60b15 declared #[CoversClass(RuleRegistry::class)], the class the file's every case exercises. The row that excused it in governance/TestSuiteHygiene/subject-path-exceptions.php:97 is now stale and is left to the re-derivation sixteen other rows in that file already require
R188	fixed	35524e3a made the case register the channel it is about. It previously registered no channel at all, so the silence it asserted came from a rule that produced nothing; createCommand now expresses a channel declared with no judged metrics, and the case asserts the channel is listed and 'judges' is not
R203	already-fixed	7a89a3ad moved the file to tests/Infrastructure/DependencyInjection/Unit/CompilerPass/, the manifest owner of Infrastructure\DependencyInjection\CompilerPass; re-confirmed against the tree today
R206	already-fixed	7a89a3ad moved the file to tests/Infrastructure/Rule/Unit/, the manifest owner of Infrastructure\Rule; re-confirmed before 1c32d10e removed the file for R183
R207	already-fixed	7a89a3ad moved the file to tests/Infrastructure/Rule/Unit/, the manifest owner of Infrastructure\Rule; re-confirmed against the tree today
R208	already-fixed	7a89a3ad moved the file to tests/Infrastructure/Console/Unit/Command/, the manifest owner of Infrastructure\Console\Command; re-confirmed against the tree today
R239	fixed	4e4db337 removed itRegistersAllCollectorsViaCompilerPass, the first of the three byte-identical bodies; the claim it carried is asserted by itRegistersAllMetricCollectors, which reads the composite collector's list
R240	fixed	4e4db337 gave itInjectsRulesIntoRuleExecution the injected rule list, read off RuleExecution by reflection, so it no longer shares a body with anything
R241	fixed	4e4db337 gave itWiresGlobalContextCollectors the aggregation service's collector list, reached through the pipeline that consumes it, so it no longer shares a body with anything
R242	fixed	35524e3a rewrote the other member of the pair (itTypingNotAddedWhenNoDimensions) to assert about the typing key, so itHealthScoresEmptyWhenNoProjectHealthMetrics is no longer a duplicate of it; both bodies were read before either was touched
