rule	family	file	channels	shapes	acceptability	channel_owner	levels_in_options	literal_level_suffixes	uses_enum_value	option_classes	RuleCategory	group_equals_category
annotation.directive	annotation	Analysis/Policy/Inline/Directive/InlineDirectiveRule.php	annotation.unresolved-directive annotation.unsupported-threshold annotation.invalid-threshold annotation.unused-directive	Occurrence	config-error debt	pseudo	-	0	no	InlineDirectiveOptions	annotation	yes
architecture.circular-dependency	architecture	Analysis/Evidence/CircularDependency/CircularDependencyRule.php	architecture.circular-dependency	Magnitude	debt	own	-	0	no	CircularDependencyOptions	architecture	yes
architecture.layer-violation	architecture	Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php	architecture.layer-violation architecture.unassigned-class architecture.coverage architecture.unreachable-layer architecture.potential-shadow architecture.empty-template architecture.pending-layer-matched	Occurrence Magnitude	debt config-error	own pseudo	-	0	no	LayerViolationOptions	architecture	yes
code-smell.boolean-argument	code-smell	Analysis/Evidence/CodeSmell/BooleanArgumentRule.php	code-smell.boolean-argument	Occurrence	debt	own	-	0	no	BooleanArgumentOptions	code-smell	yes
code-smell.constructor-overinjection	code-smell	Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php	code-smell.constructor-overinjection	Magnitude	debt	own	-	0	no	ConstructorOverinjectionOptions	code-smell	yes
code-smell.count-in-loop	code-smell	Analysis/Evidence/CodeSmell/CountInLoopRule.php	code-smell.count-in-loop	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.debug-code	code-smell	Analysis/Evidence/CodeSmell/DebugCodeRule.php	code-smell.debug-code	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.empty-catch	code-smell	Analysis/Evidence/CodeSmell/EmptyCatchRule.php	code-smell.empty-catch	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.error-suppression	code-smell	Analysis/Evidence/CodeSmell/ErrorSuppressionRule.php	code-smell.error-suppression	Occurrence	debt	own	-	0	no	ErrorSuppressionOptions	code-smell	yes
code-smell.eval	code-smell	Analysis/Evidence/CodeSmell/EvalRule.php	code-smell.eval	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.exit	code-smell	Analysis/Evidence/CodeSmell/ExitRule.php	code-smell.exit	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.goto	code-smell	Analysis/Evidence/CodeSmell/GotoRule.php	code-smell.goto	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.identical-subexpression	code-smell	Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php	code-smell.identical-subexpression	Occurrence	debt	own	-	0	no	IdenticalSubExpressionOptions	code-smell	yes
code-smell.long-parameter-list	code-smell	Analysis/Evidence/CodeSmell/LongParameterListRule.php	code-smell.long-parameter-list	Magnitude	debt	own	-	0	no	LongParameterListOptions	code-smell	yes
code-smell.superglobals	code-smell	Analysis/Evidence/CodeSmell/SuperglobalsRule.php	code-smell.superglobals	Occurrence	debt	own	-	0	no	-	code-smell	yes
code-smell.unreachable-code	code-smell	Analysis/Evidence/CodeSmell/UnreachableCodeRule.php	code-smell.unreachable-code	Magnitude	debt	own	-	0	no	UnreachableCodeOptions	code-smell	yes
code-smell.unused-private	code-smell	Analysis/Evidence/CodeSmell/UnusedPrivateRule.php	code-smell.unused-private	Magnitude	debt	own	-	0	no	UnusedPrivateOptions	code-smell	yes
cohesion.lcom	cohesion	Analysis/Evidence/Cohesion/LcomRule.php	cohesion.lcom	Magnitude	debt	own	-	0	no	LcomOptions	cohesion	yes
complexity.cognitive	complexity	Analysis/Evidence/Complexity/CognitiveComplexityRule.php	complexity.cognitive.callable complexity.cognitive.class	Magnitude	debt	own	Callable Class_	4	no	ClassCognitiveComplexityOptions CognitiveComplexityOptions MethodCognitiveComplexityOptions	complexity	yes
complexity.cyclomatic	complexity	Analysis/Evidence/Complexity/ComplexityRule.php	complexity.cyclomatic.callable complexity.cyclomatic.class	Magnitude	debt	own	Callable Class_	4	no	ClassCognitiveComplexityOptions ClassComplexityOptions ClassNpathComplexityOptions CognitiveComplexityOptions ComplexityOptions MethodCognitiveComplexityOptions MethodComplexityOptions MethodNpathComplexityOptions NpathComplexityOptions WmcOptions	complexity	yes
complexity.npath	complexity	Analysis/Evidence/Complexity/NpathComplexityRule.php	complexity.npath.callable complexity.npath.class	Magnitude	debt	own	Callable Class_	4	no	ClassNpathComplexityOptions MethodNpathComplexityOptions NpathComplexityOptions	complexity	yes
