# Enumeration for the upcoming step: "RuleCategory is retired as a separate vocabulary; the display group is derived from the producer's family -- the first dot-separated segment of its name."
# Snapshot: branch rule-vocabulary-channel-levels, HEAD 1ce47801, taken 2026-08-26. Method: (a) mcp__serena__find_referencing_symbols (2 calls: on RuleCategory itself, on RuleMetadata); (b) git grep -P over src/ and tests/; (c) live product runs (bin/qmx rules, bin/qmx rules --group=..., bin/qmx check --format=<each of 11 formats>). Prior tables under docs/internal/plans/rule-vocabulary/*.tsv were NOT read, per instruction.
# Coverage / blind spots of this method, per channel -- state explicitly what each channel does NOT see:
#   string identifiers (raw '...RuleCategory::X' greps) -- covered: git grep -P over src/ and tests/, cross-checked against Serena's symbol-reference walk (232 == 113+119 matched exactly).
#   reflection reads (RuleOwnConstantReader, CliAliasReader, RuleDocsPageReader) -- covered for NAME/DOCS_PAGE/REMEDIATION_MINUTES because they gate every producer's registration and were read directly; RuleCategory itself is never read by reflection anywhere in src/ (confirmed: zero hits for a reflection-based category reader) -- so this channel is a true negative, not a blind spot.
#   PHPDoc / docblocks -- covered manually for the files carrying the ADR-grade rationale (RuleCategory.php, RuleDocsPageReader.php, RuleIdentifierLiteralGuardTest.php, Core/README.md); NOT exhaustively grepped across every docblock in the tree, so an unrelated docblock mentioning "category" in an unrelated sense elsewhere in src/ may exist unseen (spot-checked, none found beyond what's listed).
#   DI configuration / autoconfiguration by tag or interface -- NOT applicable: RuleCategory is a plain enum value carried on VOs (RuleMetadata, ProducerDeclaration), never a DI tag, never referenced from any *Configurator.php or compiler-pass tag definition except as a plain constructor argument (ChannelDeclarationCompilerPass.php:324) -- checked, confirmed absent elsewhere.
#   HTML report templates / JS bundle (src/Reporting/Template/) -- NOT separately grepped inside compiled JS/Vue assets; the PHP-side HtmlFormatter was checked and does not pass category into its payload (grep across src/Reporting/ for "RuleCategory" returned zero hits) -- treated as covered via the PHP boundary, but the JS source tree itself was not opened.
#   tests/ -- covered at file granularity (49 files, 119 occurrences, git grep -c cross-checked); NOT itemized per line inside per-rule unit tests (each such test's own line is a mechanical assertSame(RuleCategory::X, $rule->getCategory()) restating what its production rule class already declares in kind=producer; itemizing all 119 lines individually would duplicate the producer table without adding a new consumption mechanism -- deliberate rollup, not an omission; the handful of structurally distinct test consumers -- RulesCommandTest, RuleExecutorTest, ChannelDeclarationCompilerPassTest, ChannelPresentationViewTest, RuleRegistryCompilerPassTest, AbstractRuleSubjectControlTest, ConfigurationErrorClassificationTopologyTest, RuleIdentifierLiteralGuardTest -- are each still their own consumer row.
#   external consumers (outside this repository) -- out of scope by construction; nothing in this repo publishes RuleCategory as a stable wire format (no format serializes it, see kind=surface), so there is no evidence of an external contract on its values.
#
# kind=producer columns: producer_name, declared_category, first_segment, equal(yes|no), how_declared, source
# kind=consumer columns: file, line, what_it_does(declares|groups-for-display|filters|documents|asserts|other), observable(yes|no), note
# kind=surface columns: surface, verified_by, observed_output
# kind=derivation-risk columns: risk, verified_by, verdict
# kind=filter-domain columns: aspect, behavior, verified_by
kind	c1	c2	c3	c4	c5	c6
producer	architecture.circular-dependency	architecture	architecture	yes	rule class	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php:57-60 (NAME:35)
producer	architecture.layer-violation	architecture	architecture	yes	rule class	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php:79-82 (NAME:51)
producer	architecture.unassigned-class	architecture	architecture	yes	rule class	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassRule.php:69-72 (NAME:40)
producer	annotation.directive	annotation	annotation	yes	rule class	src/Analysis/Policy/Inline/Directive/UnusedDirectiveRule.php:59-62 (NAME:36)
producer	code-smell.boolean-argument	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/BooleanArgumentRule.php:24 (NAME)
producer	code-smell.count-in-loop	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/CountInLoopRule.php:15 (NAME)
producer	code-smell.debug-code	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/DebugCodeRule.php:16 (NAME)
producer	code-smell.empty-catch	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/EmptyCatchRule.php:17 (NAME)
producer	code-smell.error-suppression	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/ErrorSuppressionRule.php:20 (NAME)
producer	code-smell.eval	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/EvalRule.php:17 (NAME)
producer	code-smell.exit	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/ExitRule.php:15 (NAME)
producer	code-smell.goto	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/GotoRule.php:22 (NAME)
producer	code-smell.superglobals	code-smell	code-smell	yes	abstract predecessor (AbstractCodeSmellRule.php:73-75)	src/Analysis/Evidence/CodeSmell/SuperglobalsRule.php:15 (NAME)
producer	code-smell.constructor-overinjection	code-smell	code-smell	yes	rule class itself (extends AbstractRule directly, not AbstractCodeSmellRule)	src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php:47-50 (NAME:32)
producer	code-smell.identical-subexpression	code-smell	code-smell	yes	rule class itself (extends AbstractRule directly, not AbstractCodeSmellRule)	src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php:62-65 (NAME:33)
producer	code-smell.long-parameter-list	code-smell	code-smell	yes	rule class itself (extends AbstractRule directly, not AbstractCodeSmellRule)	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php:53-56 (NAME:38)
producer	code-smell.unreachable-code	code-smell	code-smell	yes	rule class itself (extends AbstractRule directly, not AbstractCodeSmellRule)	src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php:49-52 (NAME:34)
