# PRODUCT-SOURCE PROMISE FILE SET.
#
# HOW OBTAINED: scripts/promise-effect-p1-set.php (this file is its output;
#   run it without --write to have it re-measure and refuse a stale artefact).
#   Declared side: the live container's RuleExecutionInterface::allRules(), each
#   producer's options class asked for its own RuleOptionKeySet, both halves read
#   by reflection, plus levelOptionsClasses() for the hierarchical ones. Site side:
#   the rows of form-deciding-sites.tsv that are neither an exception candidate nor
#   already inside RuleOptionsFactory. Second witness for the class set: Serena
#   find_implementations over RuleOptionsInterface (38 in src/), LevelOptionsInterface
#   (10) and HierarchicalRuleOptionsInterface (5) — the container agrees name for name.
#
# UNITS: a site is (file, line); a declared pair is (producer rule name, key path)
#   summed over 54 producers. Neither is the other. They meet only after both are
#   projected onto FILES, a pair through the class declaring it. That projection is
#   this table.
#
# COLUMNS
#   file           product file entering the guarded set
#   role           contract | consumer | options-class | options-class (no subject
#                  site) | form-deciding, declares nothing
#   declared_pairs axis-A pairs this file declares (a class serving N rules counts N
#                  times, which is what makes the two 205s different numbers)
#   declared_paths distinct key paths declared here, slot-qualified inside levels
#   subject_sites  subject rows of form-deciding-sites.tsv carried by this file
#   frozen_lines   line-granular freezes this set must respect inside this file:
#                  flat_branch_line:N from hierarchical-options.tsv (a START line,
#                  not a range — the branch extent is not measured anywhere),
#                  promise-docblock:A-B from promise-ledger-frozen-ranges.tsv
#   why            why this row is in the set
#
# PARSING OWNERSHIP: ThresholdParser.php and RuleOptionsParser.php stay in
#   the set. They carry 8 of the 205 subject sites between them and declare no key of
#   their own, so neither is one of the options classes reached from declarations;
#   they belong because parsing consumes those declarations.
#
# EXPLICIT OWNERSHIP: RuleNamespaceExclusionProvider.php,
#   RulePathExclusionProvider.php and RuleOptionRefusalWording.php. The first is in no
#   other guarded set and is the throw site behind most malformed framework-key
#   observations; the second is its neighbour, which judged no form at all; the third is
#   the existing home of every rule-option refusal's words, so the sentence about a
#   value's form belongs there rather than beside the judgement. All three carry zero
#   subject sites, so they enter as named rows and not through the site projection.
#
# NOT CARRIED HERE: inline override and applier bodies are frozen by code unit, not by
#   line. Twenty-seven files in this set carry such a body, so that separate invariant
#   is deliberately absent as a column.
file	role	declared_pairs	declared_paths	subject_sites	frozen_lines	why
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	options-class	3	direct-as-error,enabled,max-cycle-size	3	-	declares 3 axis-A pairs over 3 key paths; carries 3 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	options-class	3	allowed-prefixes,enabled,flag-promoted-properties	7	-	declares 3 axis-A pairs over 3 key paths; carries 7 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/CodeSmellOptions.php	options-class	7	enabled	1	-	declares 7 axis-A pairs over 1 key paths; carries 1 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	options-class	4	enabled,error,threshold,warning	4	-	declares 4 axis-A pairs over 4 key paths; carries 4 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	options-class	2	allowed-functions,enabled	5	-	declares 2 axis-A pairs over 2 key paths; carries 5 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionOptions.php	options-class	1	enabled	1	-	declares 1 axis-A pairs over 1 key paths; carries 1 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	options-class	7	enabled,error,threshold,vo-error,vo-threshold,vo-warning,warning	8	-	declares 7 axis-A pairs over 7 key paths; carries 8 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	options-class	4	enabled,error,threshold,warning	4	-	declares 4 axis-A pairs over 4 key paths; carries 4 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/CodeSmell/UnusedPrivateOptions.php	options-class	1	enabled	1	-	declares 1 axis-A pairs over 1 key paths; carries 1 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/Cohesion/LcomOptions.php	options-class	7	enabled,error,exclude-methods,exclude-readonly,min-methods,threshold,warning	9	-	declares 7 axis-A pairs over 7 key paths; carries 9 subject sites of form-deciding-sites.tsv
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	options-class	4	class.enabled,class.max-error,class.max-warning,class.threshold	3	-	declares 4 axis-A pairs over 4 key paths; carries 3 subject sites of form-deciding-sites.tsv
