file	boundary	supports_override
src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	no-boundary	inherited
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php	publishes-boundary	true
src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php	no-boundary	inherited
src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	publishes-boundary	true
src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php	no-boundary	true
src/Analysis/Evidence/CodeSmell/UnusedPrivateRule.php	no-boundary	inherited
src/Analysis/Evidence/Cohesion/LcomRule.php	publishes-boundary	true
src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php	publishes-boundary	true
src/Analysis/Evidence/Complexity/ComplexityRule.php	publishes-boundary	true
src/Analysis/Evidence/Complexity/NpathComplexityRule.php	publishes-boundary	true
src/Analysis/Evidence/Complexity/WmcRule.php	publishes-boundary	true
src/Analysis/Evidence/Coupling/CboRule.php	publishes-boundary	true
src/Analysis/Evidence/Coupling/ClassRankRule.php	publishes-boundary	true
src/Analysis/Evidence/Coupling/DistanceRule.php	publishes-boundary	true
src/Analysis/Evidence/Coupling/InstabilityRule.php	publishes-boundary	true
src/Analysis/Evidence/Design/DataClass/DataClassRule.php	no-boundary	true
src/Analysis/Evidence/Design/GodClass/GodClassRule.php	no-boundary	true
src/Analysis/Evidence/Design/Inheritance/InheritanceRule.php	publishes-boundary	true
src/Analysis/Evidence/Design/Inheritance/NocRule.php	publishes-boundary	true
src/Analysis/Evidence/Design/TypeCoverage/AbstractTypeCoverageRule.php	publishes-boundary	inherited
src/Analysis/Evidence/Duplication/CodeDuplicationRule.php	no-boundary	true
src/Analysis/Evidence/Maintainability/MaintainabilityRule.php	publishes-boundary	true
src/Analysis/Evidence/Security/HardcodedCredentialsRule.php	no-boundary	inherited
src/Analysis/Evidence/Security/SensitiveParameterRule.php	no-boundary	inherited
src/Analysis/Evidence/Size/ClassCountRule.php	publishes-boundary	true
src/Analysis/Evidence/Size/MethodCountRule.php	publishes-boundary	true
src/Analysis/Evidence/Size/PropertyCountRule.php	publishes-boundary	true
