file	line	literal	meaning	cure	evidence
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php	19	cohesion.lcom	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:19 altKey inside const INPUTS, passed to the metric reader by src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:86-95 selectContributorMetrics(array $inputs, callable $readMetric). The key it stands beside on the same line (cohesion.lcom.avg, coupling.distance.avg) is an aggregate metric key naming no channel, so both halves of the pair live in the metric universe. MetricName::COHESION_LCOM carries this exact spelling.
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php	24	coupling.distance	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:24 altKey inside const INPUTS, passed to the metric reader by src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:86-95 selectContributorMetrics(array $inputs, callable $readMetric). The key it stands beside on the same line (cohesion.lcom.avg, coupling.distance.avg) is an aggregate metric key naming no channel, so both halves of the pair live in the metric universe. MetricName::COUPLING_DISTANCE carries this exact spelling.
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php	130	size.method-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:130 element of notableClassMetrics(), read against MetricRepositoryInterface by src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/WorstClassDrillDown.php:47-52. Its neighbours in the same list (complexity.ccn.avg, cohesion.tcc, maintainability.mi.avg, size.loc) name no channel. MetricName::SIZE_METHOD_COUNT carries this exact spelling.
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php	130	size.property-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:130 element of notableClassMetrics(), read against MetricRepositoryInterface by src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/WorstClassDrillDown.php:47-52. Its neighbours in the same list (complexity.ccn.avg, cohesion.tcc, maintainability.mi.avg, size.loc) name no channel. MetricName::SIZE_PROPERTY_COUNT carries this exact spelling.
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php	130	coupling.cbo	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:130 element of notableClassMetrics(), read against MetricRepositoryInterface by src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/WorstClassDrillDown.php:47-52. Its neighbours in the same list (complexity.ccn.avg, cohesion.tcc, maintainability.mi.avg, size.loc) name no channel. MetricName::COUPLING_CBO carries this exact spelling.
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php	130	complexity.wmc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDimensionCatalog.php:130 element of notableClassMetrics(), read against MetricRepositoryInterface by src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/WorstClassDrillDown.php:47-52. Its neighbours in the same list (complexity.ccn.avg, cohesion.tcc, maintainability.mi.avg, size.loc) name no channel. MetricName::COMPLEXITY_WMC carries this exact spelling.
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	35	complexity.cognitive	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:35 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_COGNITIVE carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	49	complexity.npath	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:49 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_NPATH carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	70	cohesion.lcom	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:70 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COHESION_LCOM carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	77	complexity.wmc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:77 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_WMC carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
