# Axis D: how a path with a placeholder is actually written, and what has to
# stand around it for the document to be about that path at all.
#
# The ledger names 68 rows outside `rules:`; sixteen of them carry a `<name>`,
# a `<layer>` or a `[*]`. A placeholder is not writable, so each one is given
# ONE concrete instantiation here, by hand, and the round's claim is about that
# instantiation and no other. `base` is the smallest document that makes the
# written path meaningful — without a layer's `name` an `architecture` document
# is refused for a reason that has nothing to do with the probed leaf, and the
# probe would measure the envelope.
#
# THE INSTANTIATION MUST BE ONE THE PRODUCT ACCEPTS. `computed_metrics.<name>`
# was written as `probe_metric` until the review of this round: that name
# violates `ComputedMetricDefinition::NAME_TEMPLATE` (`health.` or `computed.`
# then kebab segments), so the resolver refused the NAME before any leaf could
# show an effect, and eleven rows reported the name error as a verdict on the
# leaf. The classifier now refuses such a cell on its own — a refusal the
# omitted probe already carried word for word is the envelope's — but the
# envelope itself is fixed too, because a row that can only read NOT OBSERVABLE
# measures nothing. The frozen half of the pair keeps the old spelling by
# construction: `promise-effect/README.md` names the cells that costs.
#
# `\.` IN A WRITE PATH is a dot inside a KEY, not a step down the document.
# A computed metric is named `computed.<something>` by the product's own
# template, so this is the one place where a key legitimately carries a dot and
# a naive split would build a document two levels deep that nobody asked about.
#
# `cache_owned=yes` marks the three units that own the cache directory itself.
# The isolation protocol of 02 §4 injects an explicit unique cache directory
# into every other probe; it cannot inject one here without overwriting the
# very value being probed. Those probes instead get a fresh unique run
# directory and no injection, and the appearance of the default `.qmx-cache`
# is recorded rather than failing the probe.
#
# THE SIX `architecture.layers[*].exclude.*` ROWS (S10 02-stand.md) used to
# instantiate `exclude:` with the probed leaf as its ONLY key. Writing `~` at
# that leaf then left `exclude:` with every criterion empty, and
# `ExcludeBlockValidator` refuses that shape regardless of which leaf is
# empty ("must declare at least one of patterns/suffix/attributes/implements/
# extends") — a refusal of the ENVELOPE, worded differently from the omitted
# probe's own refusal, so the classifier could not fold it away as one.
#
# The base for each of the five criterion rows now fills the OTHER four —
# never its own leaf. Filling all five uniformly was tried first and is
# wrong: `omitted` (no write at all) would then already carry a real value at
# the very leaf being tested, so writing `~` there removes a criterion
# `omitted` still has, and the two compare unequal for a reason that has
# nothing to do with whether `~` behaves as an absent key. Each row's base
# must leave EXACTLY the criterion it tests absent, so `omitted` and a `~`
# write differ in nothing else. `match` is not one of the five criteria the
# emptiness check reads, so its base carries all five safely.
#
# The layer name is also lowercased to `domain`:
# `LayerDefinition::NAME_REGEX` refuses an uppercase static-layer name
# unconditionally, so the un-lowered "Domain" this file's OTHER rows still
# use would have let `~` pass exclude validation only to be refused one step
# later for a reason that is, once again, not about the probed leaf — still a
# correct-but-uninformative NOT OBSERVABLE rather than the wrong REFUSES
# defect, but not the "valid layer" this repair asks for. Measured: with both
# changes, all six `exclude.*: ~` writes produce byte-identical output to
# omitting the key entirely (`bin/qmx check`, and `Stand::axisD()` reads all
# six as `OK` — "`~` behaved as an omitted key"). The other
# `architecture.layers[*].*` rows above keep their original `"Domain"` base
# unchanged — they are not named by this repair, and
# `.patterns`/`.suffix`/`.attributes`/`.implements`/`.extends` still carry an
# analogous "at least one criterion" gap of their own at the LAYER level (not
# the exclude level), left for a future round to name.
ledger_path	write_path	base	cache_owned
architecture.layers[*].name	architecture.layers.0.name	{"architecture":{"layers":[{"patterns":["Probe\\Domain\\*"]}]}}	no
architecture.layers[*].patterns	architecture.layers.0.patterns	{"architecture":{"layers":[{"name":"Domain"}]}}	no
architecture.layers[*].suffix	architecture.layers.0.suffix	{"architecture":{"layers":[{"name":"Domain"}]}}	no
architecture.layers[*].attributes	architecture.layers.0.attributes	{"architecture":{"layers":[{"name":"Domain"}]}}	no
architecture.layers[*].implements	architecture.layers.0.implements	{"architecture":{"layers":[{"name":"Domain"}]}}	no
architecture.layers[*].extends	architecture.layers.0.extends	{"architecture":{"layers":[{"name":"Domain"}]}}	no
architecture.layers[*].match	architecture.layers.0.match	{"architecture":{"layers":[{"name":"Domain","patterns":["Probe\\Domain\\*"],"suffix":["Order"]}]}}	no
architecture.layers[*].exclude	architecture.layers.0.exclude	{"architecture":{"layers":[{"name":"Domain","patterns":["Probe\\Domain\\*"]}]}}	no
architecture.layers[*].pending	architecture.layers.0.pending	{"architecture":{"layers":[{"name":"Domain","patterns":["Probe\\Domain\\*"]}]}}	no
architecture.layers[*].exclude.patterns	architecture.layers.0.exclude.patterns	{"architecture":{"layers":[{"name":"domain","patterns":["Probe\\Domain\\*"],"exclude":{"suffix":["ExcludedOther"],"attributes":["Probe\\ExcludedAttribute"],"implements":["Probe\\ExcludedInterface"],"extends":["Probe\\ExcludedBase"]}}]}}	no
architecture.layers[*].exclude.suffix	architecture.layers.0.exclude.suffix	{"architecture":{"layers":[{"name":"domain","patterns":["Probe\\Domain\\*"],"exclude":{"patterns":["Probe\\ExcludedOther\\*"],"attributes":["Probe\\ExcludedAttribute"],"implements":["Probe\\ExcludedInterface"],"extends":["Probe\\ExcludedBase"]}}]}}	no
architecture.layers[*].exclude.attributes	architecture.layers.0.exclude.attributes	{"architecture":{"layers":[{"name":"domain","patterns":["Probe\\Domain\\*"],"exclude":{"patterns":["Probe\\ExcludedOther\\*"],"suffix":["ExcludedOther"],"implements":["Probe\\ExcludedInterface"],"extends":["Probe\\ExcludedBase"]}}]}}	no
architecture.layers[*].exclude.implements	architecture.layers.0.exclude.implements	{"architecture":{"layers":[{"name":"domain","patterns":["Probe\\Domain\\*"],"exclude":{"patterns":["Probe\\ExcludedOther\\*"],"suffix":["ExcludedOther"],"attributes":["Probe\\ExcludedAttribute"],"extends":["Probe\\ExcludedBase"]}}]}}	no
architecture.layers[*].exclude.extends	architecture.layers.0.exclude.extends	{"architecture":{"layers":[{"name":"domain","patterns":["Probe\\Domain\\*"],"exclude":{"patterns":["Probe\\ExcludedOther\\*"],"suffix":["ExcludedOther"],"attributes":["Probe\\ExcludedAttribute"],"implements":["Probe\\ExcludedInterface"]}}]}}	no
architecture.layers[*].exclude.match	architecture.layers.0.exclude.match	{"architecture":{"layers":[{"name":"domain","patterns":["Probe\\Domain\\*"],"exclude":{"patterns":["Probe\\ExcludedOther\\*"],"suffix":["ExcludedOther"],"attributes":["Probe\\ExcludedAttribute"],"implements":["Probe\\ExcludedInterface"],"extends":["Probe\\ExcludedBase"]}}]}}	no
