channel	observed_levels	multi_level	sets_level_field	corpus	witnesses
annotation.invalid-threshold#annotation.invalid-threshold	file	no	no	C3	both
annotation.unresolved-directive#annotation.unresolved-directive	file	no	no	C3	both
annotation.unsupported-threshold#annotation.unsupported-threshold	file	no	no	C3	both
annotation.unused-directive#annotation.unused-directive	file	no	no	C3	both
architecture.circular-dependency#architecture.circular-dependency	project	no	no	C5	both
architecture.coverage#architecture.coverage	project	no	no	C4	both
architecture.empty-template#architecture.empty-template	project	no	no	C4	both
architecture.layer-violation#architecture.layer-violation	class	no	no	C4	both
architecture.pending-layer-matched#architecture.pending-layer-matched	project	no	no	C4	both
architecture.potential-shadow#architecture.potential-shadow	project	no	no	C4	both
architecture.unassigned-class#architecture.unassigned-class	project	no	no	C4	both
architecture.unreachable-layer#architecture.unreachable-layer	project	no	no	C4	both
code-smell.boolean-argument#code-smell.boolean-argument	callable	no	no	C1	both
code-smell.constructor-overinjection#code-smell.constructor-overinjection	callable	no	no	C1	both
code-smell.count-in-loop#code-smell.count-in-loop	callable	no	no	C2	both
code-smell.debug-code#code-smell.debug-code	callable	no	no	C2	both
code-smell.empty-catch#code-smell.empty-catch	callable	no	no	C2	both
code-smell.error-suppression#code-smell.error-suppression	callable	no	no	C1	both
code-smell.eval#code-smell.eval	callable	no	no	C2	both
code-smell.exit#code-smell.exit	callable	no	no	C2	both
code-smell.goto#code-smell.goto	callable	no	no	C2	both
code-smell.identical-subexpression#code-smell.identical-subexpression	callable	no	no	C2	both
code-smell.long-parameter-list#code-smell.long-parameter-list	callable	no	no	C1 C2	both
code-smell.superglobals#code-smell.superglobals	callable	no	no	C2	both
code-smell.unreachable-code#code-smell.unreachable-code	callable	no	no	C1 C2	both
code-smell.unused-private#code-smell.unused-private	class	no	no	C2 C4	both
cohesion.lcom#cohesion.lcom	class	no	no	C1 C2	both
complexity.cognitive#complexity.cognitive.callable	callable	no	yes	C1 C2	both
complexity.cognitive#complexity.cognitive.class	class	no	yes	C1 C2	both
complexity.cyclomatic#complexity.cyclomatic.callable	callable	no	yes	C1 C2	both
complexity.cyclomatic#complexity.cyclomatic.class	class	no	yes	C1 C2	both
complexity.npath#complexity.npath.callable	callable	no	yes	C1 C2	both
complexity.npath#complexity.npath.class	class	no	yes	C1	both
complexity.wmc#complexity.wmc	class	no	no	C1 C2	both
computed.health#health.cohesion	class namespace project	YES	no	C1 C2 C6	both
computed.health#health.complexity	class namespace project	YES	no	C6	both
computed.health#health.coupling	class namespace project	YES	no	C6	both
computed.health#health.maintainability	class namespace project	YES	no	C6	both
computed.health#health.overall	class namespace project	YES	no	C6	both
computed.health#health.typing	class namespace project	YES	no	C2 C6	both
coupling.cbo#coupling.cbo.class	class	no	yes	C1 C2	both
coupling.cbo#coupling.cbo.namespace	namespace	no	yes	C1 C2	both
coupling.class-rank#coupling.class-rank	class	no	no	C1 C2 C3 C4	both
coupling.distance#coupling.distance	namespace	no	no	C1	both
coupling.instability#coupling.instability.class	class	no	yes	C1 C2	both
coupling.instability#coupling.instability.namespace	namespace	no	yes	C1	both
design.data-class#design.data-class	class	no	no	C1 C2	both
design.god-class#design.god-class	class	no	no	C1 C2	both
design.inheritance#design.inheritance	class	no	no	C1 C2	both
design.noc#design.noc	class	no	no	C2	both
design.type-coverage#design.type-coverage.param	class	no	no	C2	both
design.type-coverage#design.type-coverage.property	class	no	no	C2	both
design.type-coverage#design.type-coverage.return	class	no	no	C2	both
duplication.code-duplication#duplication.code-duplication	project	no	no	C1	both
maintainability.index#maintainability.index	callable	no	no	C1 C2	both
security.command-injection#security.command-injection	callable	no	no	C2	both
security.hardcoded-credentials#security.hardcoded-credentials	class	no	no	C2	both
security.sensitive-parameter#security.sensitive-parameter	callable	no	no	C2	both
security.sql-injection#security.sql-injection	callable	no	no	C2	both
security.xss#security.xss	callable	no	no	C2	both
size.class-count#size.class-count	namespace	no	no	C1 C2	both
size.method-count#size.method-count	class	no	no	C1 C2	both
size.property-count#size.property-count	class	no	no	C1 C2	both
#
# 63 of 63 channels. The channel set is not hand-listed: it is the 57 lines of
# tests/Analysis/Finding/Fixtures/Channels/declared.txt (a fixture the container
# guards in both directions) plus the 6 cases of HealthDimension.
#
# HOW OBTAINED: every row is an OBSERVATION of a real run, never a reading of a
# rule class. Two independent witnesses, agreeing on all 63 rows (column
# `witnesses` = `both` everywhere):
#   W1  `bin/qmx check --format=json`, grouping each emitted finding by its
#       `channel` and by the kind prefix of its `subject`.
#   W2  a temporary probe in the `Violation` constructor, appending
#       `channel<TAB>subject-level<TAB>$level` for every finding ever
#       constructed. It sits BEFORE suppression, exclusion, baseline and
#       report-scope filtering, so it sees findings W1 cannot. Reverted after
#       measurement; it is not in the tree.
#
# Reading the rule class remains a failed method — see
# enumeration-magnitude-levels.tsv. 23 of 31 magnitude channels build their
# subject outside the rule class.
#
# CORPORA. `bin/qmx check` reports nothing until a threshold is breached, so
# every corpus is paired with a configuration that makes the channel fire. All
# runs used `--workers=0`, an explicit `-c` pointing at a config with no
# exclusions (so the project's own `qmx.yaml` cannot hide a channel) and
