phase	participant	typed_inputs	typed_outputs_or_state	state_owner	actual_dependency	source
configuration	"5 ConfigurationStageInterface implementations"	ConfigurationContext	?ConfigurationLayer	Analysis.Configuration	"priority 0,10,15,20,30; sequential merge"	src/Analysis/Configuration/Pipeline/Stage
"runtime setup"	ArchitecturePolicyConfiguratorInterface	ConfigurationDocument	"configured policy state and warnings"	Analysis.Policy.Architecture	"Console configures after its logger is available"	src/Analysis/Policy/Architecture/Contract/ArchitecturePolicyConfiguratorInterface.php
discovery	"FileDiscoveryInterface implementation"	AbsolutePath|list<AbsolutePath>	iterable<AbsolutePath,SplFileInfo>	Analysis.Run	"first run phase; generated filter follows"	src/Analysis/Run/Contract/Discovery/FileDiscoveryInterface.php
collection	CollectionOrchestratorInterface	"list<SplFileInfo>, MetricRepositoryInterface, AbsolutePath"	CollectionPhaseOutput	Analysis.Run	"after discovery"	src/Analysis/Run/Contract/Collection/CollectionOrchestratorInterface.php
"per-file measurement"	"21 MetricCollectorInterface implementations plus DependencyTraversalParticipantInterface"	"SplFileInfo, Node[]"	"MetricBag, typed projections and list<Dependency>"	"Measurement and DependencyModel"	"one AST traversal; reset per file"	src/Analysis/Evidence/Measurement/Contract/MetricCollectorInterface.php
"per-file derivation"	TypeCoveragePercentCollector	MetricBag	MetricBag(typeCoveragePct)	Analysis.Evidence.Design	"requires collector id type-coverage"	src/Analysis/Evidence/Design/TypeCoveragePercentCollector.php
"per-file derivation"	MaintainabilityIndexCollector	MetricBag	MetricBag(maintainabilityIndex)	Analysis.Evidence.Maintainability	"requires halstead, cyclomatic-complexity, method-statement-count"	src/Analysis/Evidence/Maintainability/MaintainabilityIndexCollector.php
"dependency graph"	DependencyGraphBuilder	"list<Dependency>, list<LogicalClassPath>"	DependencyGraphInterface	Analysis.Evidence.DependencyModel	"consumes raw collection dependencies"	src/Analysis/Evidence/DependencyModel/DependencyGraphBuilder.php
"architecture preparation"	LayerPolicyPreparationInterface	"DependencyGraphInterface, ClassSet, enabled"	"leaf-owned prepared ArchitectureConfiguration"	Analysis.Policy.Architecture	"Run selects it by rule state; disabled preparation clears state without expansion work"	src/Analysis/Policy/Architecture/Contract/LayerPolicyPreparationInterface.php
aggregation	"4 AggregationPhaseInterface implementations"	"MetricRepositoryInterface, list<MetricDefinition>"	"repository enrichment and NamespaceTree"	Analysis.Evidence.Measurement	"callable -> class -> namespace tree -> project"	src/Analysis/Evidence/Measurement/Aggregation
"global derivation"	CouplingCollector	"DependencyGraphInterface, MetricRepositoryInterface"	"CA, CE, CBO, instability"	Analysis.Evidence.Coupling	"no global predecessor"	src/Analysis/Evidence/Coupling/CouplingCollector.php
"global derivation"	AbstractnessCollector	"DependencyGraphInterface, MetricRepositoryInterface"	abstractness	Analysis.Evidence.Coupling	"requires aggregated size type counts"	src/Analysis/Evidence/Coupling/AbstractnessCollector.php
"global derivation"	ClassRankCollector	"DependencyGraphInterface, MetricRepositoryInterface"	classRank	Analysis.Evidence.Coupling	"requires CA and CE"	src/Analysis/Evidence/Coupling/ClassRankCollector.php
"global derivation"	DistanceCollector	"DependencyGraphInterface, MetricRepositoryInterface"	distance	Analysis.Evidence.Coupling	"requires instability and abstractness"	src/Analysis/Evidence/Coupling/DistanceCollector.php
"global derivation"	DitGlobalCollector	"DependencyGraphInterface, MetricRepositoryInterface"	DIT	Analysis.Evidence.Design	"no global predecessor; overwrites per-file DIT"	src/Analysis/Evidence/Design/DitGlobalCollector.php
"global derivation"	NocCollector	"DependencyGraphInterface, MetricRepositoryInterface"	NOC	Analysis.Evidence.Design	"no global predecessor"	src/Analysis/Evidence/Design/NocCollector.php
"global reaggregation"	MeasurementAggregationService	"MetricRepositoryInterface, NamespaceTree"	"namespace/project aggregates"	Analysis.Evidence.Measurement	"after all global collectors"	src/Analysis/Evidence/Measurement/Aggregation/MeasurementAggregationService.php
"computed derivation"	Contract\Evaluation\ComputedMetricEvaluator	"MetricRepositoryInterface, files analyzed; one catalog snapshot"	"configured computed metrics"	Analysis.Evidence.ComputedMetrics	"definition DAG; instance-owned catalog; skipped without files/definitions"	src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricEvaluator.php
"graph inspection"	CircularDependencyPreparationInterface	"DependencyGraphInterface, enabled"	"leaf-owned list<Cycle>"	Analysis.Evidence.CircularDependency	"Run invokes it after graph construction; disabled preparation clears state without SCC work"	src/Analysis/Evidence/CircularDependency/Contract/CircularDependencyPreparationInterface.php
"file-set inspection"	"FileSetInspectionParticipantInterface implementations"	list<SplFileInfo>	"capability-owned run state"	"owning evidence capabilities"	"producer-rule selection gated; lexical participant order"	src/Analysis/Run/Contract/FileSetInspectionParticipantInterface.php
"rule execution"	"Analysis\Finding\RuleExecution + 41 RuleInterface implementations"	AnalysisContext	"list<Finding> and last RuleExclusionStats"	"Analysis.Finding and feature rules"	"producer selection then per-rule exclusions and channel selection"	src/Analysis/Finding/RuleExecution.php
"finding projection"	FindingProjector	"list<Finding>, suppressions, FindingProjectionOptions"	FindingProjectionResult	Reporting	"annotation suppression -> path -> namespace -> baseline -> annotation rejoin -> git"	src/Reporting/FindingProjection/FindingProjector.php
"report enrichment"	SummaryEnricher	Report	"health/debt/impact summary"	"mixed ComputedMetrics/Prioritization/Reporting seam"	"cross-capability orchestration before formatters"	src/Reporting/Health/SummaryEnricher.php
"report projection"	"11 FormatterInterface implementations"	"Report, FormatterContext"	string	Reporting	"selected after filtering/enrichment"	src/Reporting/Formatter/FormatterInterface.php
