current_path	subject_owner	disposition
AGENTS.md	Architecture.Governance	"Move or update atomically with the named subject owner."
CHANGELOG.md	Architecture.Governance	"Move or update atomically with the named subject owner."
CLAUDE.md	Architecture.Governance	"Repository-wide governance documentation; review with the manifest and generated topology."
README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/ARCHITECTURE.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0001-computed-metrics.md	Analysis.Evidence.ComputedMetrics	"Move or update atomically with the named subject owner."
docs/adr/0002-html-report.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0003-reporting-ux-redesign.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0006-architecture-rules-declaration-order.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0008-architecture-processor-service.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0009-yaml-loader-normalization-model.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0010-architecture-vertical-slice.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0012-hybrid-architectural-direction.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0013-threshold-override-validators.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0014-deptrac-retirement.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0015-relative-path-vo.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0016-subject-cohesion.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0017-baseline-ceiling.md	Analysis.Policy.Baseline	"Move or update atomically with the named subject owner."
docs/adr/0018-analysis-coverage-verdict-and-output-projection.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0019-namespace-metric-ownership-and-attribution.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0020-method-size-and-npath-semantics.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0021-declaration-scoped-callable-identity-and-dependency-projections.md	Analysis.Evidence.DependencyModel	"Move or update atomically with the named subject owner."
docs/adr/0022-capability-oriented-modular-monolith.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0023-p8-context-locality-and-composition-bindings.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0024-channel-identity-and-selector-semantics.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0026-assigned-declaration-ordinal.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0027-weight-of-class-measures-accessors-not-visibility.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
docs/adr/0029-channel-presentation-join.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0030-one-rule-per-type-coverage-dimension.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
docs/adr/0031-channel-shape-is-a-producer-property.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0032-computed-metric-producer-split.md	Analysis.Evidence.ComputedMetrics	"Move or update atomically with the named subject owner."
docs/adr/0033-display-family-is-derived-from-the-producer-name.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0034-the-level-is-a-coordinate-of-a-symbol.md	Core.Symbol	"Move or update atomically with the named subject owner."
docs/adr/0035-a-metric-key-names-its-family-in-kebab.md	Analysis.Evidence.Measurement	"Move or update atomically with the named subject owner."
docs/adr/0036-a-formula-addresses-a-metric-by-its-key.md	Analysis.Evidence.ComputedMetrics	"Move or update atomically with the named subject owner."
docs/adr/0037-suppressed-format-and-produced-findings.md	Reporting	"Move or update atomically with the named subject owner."
docs/adr/0038-an-options-class-names-its-own-warning-boundary.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0039-directive-audit-command-and-contract.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0040-narrow-directive-sweep.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0041-no-directive-may-silence-the-unused-directive-channel.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0043-late-assembled-findings-and-channel-selection.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0044-identifier-keyed-configuration-options.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0045-one-owner-for-the-error-stream.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0046-a-channel-declares-the-metric-it-judges.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0047-suppression-is-not-exclusion.md	Reporting	"Move or update atomically with the named subject owner."
docs/adr/0049-rule-option-key-recognition.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0050-configuration-refusal-carrier.md	Analysis.Configuration	"Move or update atomically with the named subject owner."
docs/adr/0051-refusal-is-not-routed-by-command.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0055-a-rule-option-declares-the-shape-of-its-value.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0056-source-composition-is-measured-and-left-alone.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0058-a-layers-value-survives-the-layers-above-it.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0059-declared-layer-policy-and-architecture-governance.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0060-published-vocabulary-and-name-ownership.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0061-configuration-miss-and-refusal-semantics.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0062-health-scores-measure-what-they-cover.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0063-one-declaration-answers-about-a-rules-options.md	Analysis.Finding	"Move or update atomically with the named subject owner."
docs/adr/0064-the-html-viewer-lives-outside-the-psr-4-root.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0065-the-manifest-records-ownership-not-a-migration-schedule.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0066-the-phar-is-built-by-a-tool-outside-the-graph-it-builds.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/adr/0067-every-test-shaped-directory-is-scanned.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0068-the-pre-commit-hook-is-generated-not-shipped.md	Infrastructure.Console	"Move or update atomically with the named subject owner."
docs/adr/0069-a-metric-is-declared-by-the-collector-that-writes-it.md	Analysis.Evidence.Measurement	"Move or update atomically with the named subject owner."
docs/adr/0070-subprocess-read-discipline.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0071-an-anonymous-classs-declaration-edge-is-flagged-not-retyped.md	Analysis.Evidence.DependencyModel	"Move or update atomically with the named subject owner."
docs/adr/0072-commit-subject-authority.md	Architecture.Governance	"Move or update atomically with the named subject owner."
docs/adr/0073-a-depth-belongs-to-a-declaration-a-child-count-to-a-name.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
docs/adr/0074-dit-reads-the-ancestors-it-measures.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
docs/adr/0075-the-builtin-class-list-is-compared-never-generated.md	Core.Symbol	"Move or update atomically with the named subject owner."
docs/adr/README.md	Architecture.Governance	"Repository-wide governance documentation; review with the manifest and generated topology."
docs/internal/CLI_CONVENTIONS.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/internal/COMPETITOR_COMPARISON.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/internal/MODULE_README_TEMPLATE.md	Architecture.Governance	"Repository-wide governance documentation; review with the manifest and generated topology."
docs/internal/PRODUCT_ROADMAP.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/internal/PRODUCT_VISION.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
docs/migration/v0.26-rename-map.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
src/Analysis/Configuration/README.md	Analysis.Configuration	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/CircularDependency/README.md	Analysis.Evidence.CircularDependency	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/CodeSmell/README.md	Analysis.Evidence.CodeSmell	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Cohesion/README.md	Analysis.Evidence.Cohesion	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Complexity/README.md	Analysis.Evidence.Complexity	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/ComputedMetrics/README.md	Analysis.Evidence.ComputedMetrics	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Coupling/README.md	Analysis.Evidence.Coupling	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/DependencyModel/README.md	Analysis.Evidence.DependencyModel	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Design/README.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Duplication/README.md	Analysis.Evidence.Duplication	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Maintainability/README.md	Analysis.Evidence.Maintainability	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Measurement/README.md	Analysis.Evidence.Measurement	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Prioritization/README.md	Analysis.Evidence.Prioritization	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Security/README.md	Analysis.Evidence.Security	"Move or update atomically with the named subject owner."
src/Analysis/Evidence/Size/README.md	Analysis.Evidence.Size	"Move or update atomically with the named subject owner."
src/Analysis/Finding/README.md	Analysis.Finding	"Move or update atomically with the named subject owner."
src/Analysis/Policy/Architecture/README.md	Analysis.Policy.Architecture	"Move or update atomically with the named subject owner."
src/Analysis/Policy/Baseline/README.md	Analysis.Policy.Baseline	"Move or update atomically with the named subject owner."
src/Analysis/Policy/Inline/README.md	Analysis.Policy.Inline	"Move or update atomically with the named subject owner."
src/Analysis/README.md	Analysis.Run	"Move or update atomically with the named subject owner."
src/Analysis/Run/README.md	Analysis.Run	"Move or update atomically with the named subject owner."
src/Core/Path/README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
src/Core/Profiler/README.md	Core.Profiler	"Move or update atomically with the named subject owner."
src/Core/README.md	Architecture.Governance	"Move or update atomically with the named subject owner."
src/Core/Symbol/README.md	Core.Symbol	"Move or update atomically with the named subject owner."
src/Infrastructure/Ast/README.md	Infrastructure.Ast	"Move or update atomically with the named subject owner."
