# INTERACTING RULE-OPTION KEY PAIRS
# The counting unit is producer rule name, not options class, because one class may serve several rules and threshold groups are keyed by rule name. Pairs are unordered and deduplicated within producer and kind.
# Keys come from the live rule registry and both halves of RuleOptionKeySet; hierarchical level slots are included. Interaction kind records explicit groups, heuristic threshold groups, flat-versus-level conflicts, and framework-owned relationships.
# The inventory contains 465 rows across 54 producers. It records key interaction, not runtime reachability or value precedence.
# Columns: kind, rule, options class, path or slot, key A, key B, interaction, source.
#
rule	options_class	path	key_a	key_b	kind	interaction	evidence
code-smell.constructor-overinjection	Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.constructor-overinjection","") group#0
code-smell.constructor-overinjection	Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.constructor-overinjection","") group#0
code-smell.constructor-overinjection	Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.constructor-overinjection","") group#0
code-smell.long-parameter-list	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.long-parameter-list","") group#0
code-smell.long-parameter-list	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.long-parameter-list","") group#0
code-smell.long-parameter-list	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.long-parameter-list","") group#0
code-smell.long-parameter-list	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	(top)	vo-error	vo-threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.long-parameter-list","") group#1
code-smell.long-parameter-list	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	(top)	vo-error	vo-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.long-parameter-list","") group#1
code-smell.long-parameter-list	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	(top)	vo-threshold	vo-warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.long-parameter-list","") group#1
code-smell.unreachable-code	Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.unreachable-code","") group#0
code-smell.unreachable-code	Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.unreachable-code","") group#0
code-smell.unreachable-code	Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("code-smell.unreachable-code","") group#0
cohesion.lcom	Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("cohesion.lcom","") group#0
cohesion.lcom	Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("cohesion.lcom","") group#0
cohesion.lcom	Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("cohesion.lcom","") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	callable	callable.error	callable.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.ccn","callable") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	callable	callable.error	callable.warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.ccn","callable") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	callable	callable.threshold	callable.warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.ccn","callable") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	class	class.max-error	class.max-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.ccn","class") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	class	class.max-error	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.ccn","class") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	class	class.max-warning	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.ccn","class") group#0
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	callable	callable.error	callable.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.cognitive","callable") group#0
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	callable	callable.error	callable.warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.cognitive","callable") group#0
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	callable	callable.threshold	callable.warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.cognitive","callable") group#0
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	class	class.max-error	class.max-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.cognitive","class") group#0
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	class	class.max-error	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.cognitive","class") group#0
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	class	class.max-warning	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.cognitive","class") group#0
complexity.npath	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	callable	callable.error	callable.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.npath","callable") group#0
complexity.npath	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	callable	callable.error	callable.warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.npath","callable") group#0
complexity.npath	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	callable	callable.threshold	callable.warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.npath","callable") group#0
complexity.npath	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	class	class.max-error	class.max-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.npath","class") group#0
complexity.npath	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	class	class.max-error	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.npath","class") group#0
complexity.npath	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	class	class.max-warning	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.npath","class") group#0
complexity.wmc	Qualimetrix\Analysis\Evidence\Complexity\WmcOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.wmc","") group#0
complexity.wmc	Qualimetrix\Analysis\Evidence\Complexity\WmcOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.wmc","") group#0
complexity.wmc	Qualimetrix\Analysis\Evidence\Complexity\WmcOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("complexity.wmc","") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	class	class.error	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","class") group#0
