# EVERY CLASS A BOUNDARY-DECLARING OBLIGATION COULD LAND ON: every concrete
# implementor of `RuleOptionsInterface` or `LevelOptionsInterface` under `src/`
# and `tests/`, with the two facts that decide which interface should carry the
# obligation — whether the class is a hierarchical parent, and whether it is
# already `ThresholdAwareOptionsInterface`.
#
# Regenerate with:
#   php docs/internal/plans/rule-vocabulary/enumeration-boundary-contract-implementors.php
#
# WHY THIS FILE EXISTS SEPARATELY FROM THE POPULATION TABLE. The population
# table enumerates the (channel, level) PATHS the consumer walks; this one
# enumerates CLASSES. The difference is not empty, and the plan's first draft
# reasoned about classes from the path table and missed six of them: the five
# hierarchical parents (`CboOptions`, `CognitiveComplexityOptions`,
# `ComplexityOptions`, `InstabilityOptions`, `NpathComplexityOptions`), which
# the walk never resolves to because it calls `forLevel()` first, and
# `ComputedMetricRuleOptions`, whose rule declares no channel statically.
#
# COUNTS: 55 concrete implementors — 45 in `src/`, 10 test doubles.
# 28 of them are `ThresholdAwareOptionsInterface`: the 27 production classes
# already enumerated by `enumeration-threshold-decision-shapes.tsv`, plus one
# test double (`SubjectControlOptions`). No hierarchical parent is among them,
# and neither is `ComputedMetricRuleOptions`.
#
# WHAT THIS DECIDES. Cross-checked against the population table: every row that
# resolves to a number is `threshold_aware=yes`, and no `threshold_aware=no` row
# holds a warning-named member. Putting the obligation on
# `ThresholdAwareOptionsInterface` therefore reaches every holder of a boundary
# while leaving 27 classes untouched — including all five parents, for which no
# honest answer exists, and the ~17 occurrence detectors, which would otherwise
# gain a constant-returning method that touches no field.
#
# WHAT THIS METHOD DOES NOT SEE
# - Classes are found by loading every `*.php` under `src/` and `tests/` and
#   asking reflection. A class declared in a file whose namespace or class name
#   the loader's two regexes miss (multiple classes per file are read; classes
#   built by `eval` or by a string-keyed factory are not) is absent.
# - Anonymous classes implementing either interface inside a test method are not
#   reachable by reflection over declared classes, so they are absent from the
#   rows below. They were counted separately by grep
#   (`grep -rn 'new class' tests --include='*.php' -A3`): SIX of them, in
#   `TypeCoverageRuleTest`, `LongParameterListRuleTest`,
#   `ConstructorOverinjectionRuleTest`, `UnreachableCodeRuleTest`,
#   `ClassCountRuleTest` and `MethodCountRuleTest`. All six implement
#   `RuleOptionsInterface` only, so an obligation on
#   `ThresholdAwareOptionsInterface` leaves all six untouched and an obligation
#   on `RuleOptionsInterface` breaks all six.
# - Classes outside this repository. The project has no external rule authors by
#   policy, so this is a stated non-coverage rather than a measured zero.
file	class	rule_options	level_options	hierarchical	threshold_aware
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	rule	-	-	-
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	rule	-	-	-
src/Analysis/Evidence/CodeSmell/CodeSmellOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	rule	-	-	-
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	rule	-	-	threshold-aware
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	rule	-	-	-
src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	rule	-	-	-
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	rule	-	-	threshold-aware
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions	rule	-	-	threshold-aware
src/Analysis/Evidence/CodeSmell/UnusedPrivateOptions.php	Qualimetrix\Analysis\Evidence\CodeSmell\UnusedPrivateOptions	rule	-	-	-
src/Analysis/Evidence/Cohesion/LcomOptions.php	Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions	rule	-	-	threshold-aware
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	Qualimetrix\Analysis\Evidence\Complexity\ClassCognitiveComplexityOptions	-	level	-	threshold-aware
src/Analysis/Evidence/Complexity/ClassComplexityOptions.php	Qualimetrix\Analysis\Evidence\Complexity\ClassComplexityOptions	-	level	-	threshold-aware
src/Analysis/Evidence/Complexity/ClassNpathComplexityOptions.php	Qualimetrix\Analysis\Evidence\Complexity\ClassNpathComplexityOptions	-	level	-	threshold-aware
src/Analysis/Evidence/Complexity/CognitiveComplexityOptions.php	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	rule	-	hierarchical	-
src/Analysis/Evidence/Complexity/ComplexityOptions.php	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	rule	-	hierarchical	-
