level_class	owning_options_class	slot	declared	declared_from	read_unguarded	read_branch_guarded	read_not_declared	declared_not_read	blind_spots
Qualimetrix\Analysis\Evidence\Complexity\MethodCognitiveComplexityOptions	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	callable	enabled,error,warning	enabled:constructor,error:constructor,warning:constructor	enabled,error,threshold,warning	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Complexity\ClassCognitiveComplexityOptions	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	class	enabled,maxError,maxWarning	enabled:constructor,maxError:constructor,maxWarning:constructor	enabled,maxError,maxWarning,threshold	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Complexity\MethodComplexityOptions	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	callable	enabled,error,warning	enabled:constructor,error:constructor,warning:constructor	enabled,error,threshold,warning	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Complexity\ClassComplexityOptions	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	class	enabled,maxError,maxWarning	enabled:constructor,maxError:constructor,maxWarning:constructor	enabled,maxError,maxWarning,threshold	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Complexity\MethodNpathComplexityOptions	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	callable	enabled,error,warning	enabled:constructor,error:constructor,warning:constructor	enabled,error,threshold,warning	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Complexity\ClassNpathComplexityOptions	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	class	enabled,maxError,maxWarning	enabled:constructor,maxError:constructor,maxWarning:constructor	enabled,maxError,maxWarning,threshold	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Coupling\ClassCboOptions	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	class	enabled,error,scope,warning	enabled:constructor,error:constructor,scope:constructor,warning:constructor	enabled,error,scope,threshold,warning	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Coupling\NamespaceCboOptions	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	namespace	enabled,error,minClassCount,warning	enabled:constructor,error:constructor,minClassCount:constructor,warning:constructor	enabled,error,minClassCount,threshold,warning	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Coupling\ClassInstabilityOptions	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	class	enabled,maxError,maxWarning,minAfferent	enabled:constructor,maxError:constructor,maxWarning:constructor,minAfferent:constructor	enabled,maxError,maxWarning,minAfferent,threshold	-	threshold	-	-
Qualimetrix\Analysis\Evidence\Coupling\NamespaceInstabilityOptions	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	namespace	enabled,maxError,maxWarning,minAfferent,minClassCount	enabled:constructor,maxError:constructor,maxWarning:constructor,minAfferent:constructor,minClassCount:constructor	enabled,maxError,maxWarning,minAfferent,minClassCount,threshold	-	threshold	-	-
