source_path	result_key	root_type	scalar_type
paths	paths	list	
exclude	excludes	list	
format	format	scalar	
rules	rules	mixed	
disabledRules	disabled_rules	list	
onlyRules	only_rules	list	
suppressPaths	suppress_paths	list	
suppressNamespaces	suppress_namespaces	list	
failOn	fail_on	scalar	
cache.dir	cache.dir	(section-subkey)	
cache.enabled	cache.enabled	(section-subkey)	boolean
parallel.workers	parallel.workers	(section-subkey)	integer
coupling.frameworkNamespaces	coupling.framework_namespaces	(section-subkey)	
includeGenerated	include_generated	scalar	boolean
memoryLimit	memory_limit	scalar	string
architecture	architecture	mixed	
