surface	universe	current_language	target	owner	principal_code	public
suppress_paths and --suppress-path	project-relative files	implicit path subtree or fnmatch glob	explicit exact/subtree/regex selector	Reporting.FindingProjection and Finding	src/Core/Pattern/PathMatcher.php; src/Reporting/FindingProjection/FindingProjector.php	yes
suppress_namespaces and --suppress-namespace	namespaces and finding subjects	implicit namespace subtree or fnmatch glob	explicit exact/subtree/regex selector	Reporting.FindingProjection and Finding	src/Core/Pattern/NamespaceMatcher.php; src/Reporting/FindingProjection/FindingProjector.php	yes
rules.<producer>.suppress_paths	finding file paths	implicit path subtree or fnmatch glob	explicit exact/subtree/regex selector	Analysis.Finding	src/Analysis/Finding/Exclusion/RulePathExclusionProvider.php	yes
rules.<producer>.suppress_namespaces	finding namespaces	implicit namespace subtree or fnmatch glob	explicit exact/subtree/regex selector	Analysis.Finding	src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php	yes
suppress_namespace_channels values	namespace findings under a ChannelLevelSelector key	ChannelLevelSelector plus implicit namespace subtree or fnmatch glob	keep exact/X.* plus optional-level key grammar; migrate values to explicit exact/subtree/regex selectors	Analysis.Finding	src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php	yes
check and directives --namespace	namespaces, findings, health aggregates, offenders, and ranked issues	implicit namespace subtree or fnmatch glob plus private prefix mirrors	explicit exact/subtree/regex selector	Reporting.DrillDown, Reporting formatters, and ComputedMetrics Health	src/Infrastructure/Console/FormatterContextFactory.php; src/Infrastructure/Console/ResultPresenter.php; src/Reporting/FormatterContext.php; src/Reporting/DrillDown/FindingFilter.php; src/Reporting/DrillDown/DrillDownBinding.php; src/Reporting/Health/HealthScoreResolver.php; src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/HealthScoreDrillDown.php; src/Analysis/Evidence/ComputedMetrics/Health/Contract/DrillDown/WorstClassDrillDown.php; src/Analysis/Evidence/ComputedMetrics/Health/Offender/WorstOffenderBuilder.php; src/Reporting/Formatter/Summary/OffenderListRenderer.php; src/Reporting/Formatter/Json/JsonOffenderSection.php; src/Reporting/Formatter/Json/JsonHealthSection.php; src/Reporting/Formatter/Summary/TopIssuesRenderer.php; src/Reporting/Formatter/Json/JsonFormatter.php; src/Reporting/Formatter/Summary/HealthBarRenderer.php	yes
check and directives --class	class FQCN	exact identifier	keep exact	Reporting.DrillDown	src/Reporting/DrillDown/FindingFilter.php	yes
graph:export --namespace and --exclude-namespace	class namespaces	private exact or namespace-boundary prefix	explicit exact/subtree/regex selector	Reporting.GraphProjection	src/Reporting/GraphProjection/NamespaceFilter.php	yes
exclude and --exclude	project-relative directories	Symfony Finder basename or segment-sequence selector	explicit exact/subtree/regex selector with Run-owned pruning	Analysis.Run	src/Analysis/Run/Discovery/FinderFileDiscovery.php; src/Analysis/Run/ExcludeBinding/ExcludeBindingProbe.php	yes
paths and positional paths	analysis roots	exact filesystem paths	keep exact	Analysis.Run	src/Analysis/Run/Configuration/RunConfigurationResolver.php	yes
coupling.framework_namespaces	class FQCNs	exact or namespace-boundary prefix	explicit exact/subtree/regex selector	Analysis.Evidence.Coupling	src/Analysis/Evidence/Coupling/CouplingAnalysis.php	yes
coupling.distance include_namespaces	namespace metrics	implicit namespace subtree or fnmatch glob	explicit exact/subtree/regex selector	Analysis.Evidence.Coupling	src/Analysis/Evidence/Coupling/DistanceRule.php	yes
architecture.layers.patterns	class FQCNs	implicit namespace subtree or FQN glob; optional capture template	keep Architecture capture DSL; repair contradictions	Analysis.Policy.Architecture	src/Analysis/Policy/Architecture/Layer/LayerCriteriaMatcher.php; src/Analysis/Policy/Architecture/Layer/CapturePattern.php	yes
