code	producer	owner_capability	shape	declared_direction	levels	requires_list	judged_metric_key	judged_metric_source	code_equals_judged_key	threshold_option_keys	notes
annotation.invalid-threshold	annotation.directive	Inline	occurrence	NULL	file	NONE	NONE	src/Analysis/Policy/Inline/Directive/InlineDirectiveValidator.php:212-216 (no metricValue set)	NA	NONE	NONE
annotation.unresolved-directive	annotation.directive	Inline	occurrence	NULL	file	NONE	NONE	src/Analysis/Policy/Inline/Directive/InlineDirectiveValidator.php:255-259 (no metricValue set)	NA	NONE	NONE
annotation.unsupported-threshold	annotation.directive	Inline	occurrence	NULL	file	NONE	NONE	src/Analysis/Policy/Inline/Directive/InlineDirectiveValidator.php:182-186 (no metricValue set)	NA	NONE	NONE
annotation.unused-directive	annotation.directive	Inline	occurrence	NULL	file	NONE	NONE	src/Analysis/Policy/Inline/Directive/Audit/StaleDirectiveFinding.php:48-52 (no metricValue set)	NA	NONE	NONE
architecture.circular-dependency	architecture.circular-dependency	CircularDependency	magnitude	higher	project	NONE	NONE	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php:114 (metricValue: $size, the cycle member count from the dependency graph — not a MetricName catalog key)	NA	maxCycleSize,directAsError	Per task instruction architecture.* is written NONE (this channel code is architecture.circular-dependency); note the raw cycle size is a real magnitude judged, just not sourced from MetricName
architecture.coverage	architecture.layer-violation	Architecture	occurrence	NULL	project	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php (classless-producer-adjacent configuration-error channel; no metricValue)	NA	NONE	configurationError=true: reports a mistake in the layer declaration itself, not code debt
architecture.empty-template	architecture.layer-violation	Architecture	occurrence	NULL	project	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php (configuration-error channel; no metricValue)	NA	NONE	configurationError=true
architecture.layer-violation	architecture.layer-violation	Architecture	occurrence	NULL	class	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php:97 (docblock: "passes no metricValue: at all"; occurrence shape)	NA	NONE (policy configuration, no numeric threshold)	NONE
architecture.pending-layer-matched	architecture.layer-violation	Architecture	occurrence	NULL	project	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php (configuration-error channel; no metricValue)	NA	NONE	configurationError=true
architecture.potential-shadow	architecture.layer-violation	Architecture	occurrence	NULL	project	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php (configuration-error channel; no metricValue)	NA	NONE	configurationError=true
architecture.unassigned-class	architecture.unassigned-class	Architecture	magnitude	higher	project	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassSummary.php:99 (metricValue: $count, the raw unassigned-declaration count — not a MetricName catalog key)	NA	NONE (mode: warn/error, no numeric threshold)	Per task instruction architecture.* is written NONE; note the raw count is a real magnitude judged, just not sourced from MetricName
architecture.unreachable-layer	architecture.layer-violation	Architecture	occurrence	NULL	project	NONE	NONE	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php (configuration-error channel; no metricValue)	NA	NONE	configurationError=true
code-smell.boolean-argument	code-smell.boolean-argument	CodeSmell	occurrence	NULL	callable	codeSmell.boolean_argument	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (analyze(): entries("codeSmell.{type}"), no metricValue set; occurrence shape)	NA	NONE (enabled-only)	Occurrence marker only; requires() literal "codeSmell.boolean_argument" is a collector-context key, not a MetricName constant
code-smell.constructor-overinjection	code-smell.constructor-overinjection	CodeSmell	magnitude	higher	callable	code-smell.parameter-count	code-smell.parameter-count	src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php:119,151 ($parameterCount = $metrics->get(MetricName::CODE_SMELL_PARAMETER_COUNT); metricValue: $parameterCountValue)	N	warning,error	Same MetricName as code-smell.long-parameter-list; two channels judge the same metric key with different Options thresholds
code-smell.count-in-loop	code-smell.count-in-loop	CodeSmell	occurrence	NULL	callable	codeSmell.count_in_loop	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.debug-code	code-smell.debug-code	CodeSmell	occurrence	NULL	callable	codeSmell.debug_code	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.empty-catch	code-smell.empty-catch	CodeSmell	occurrence	NULL	callable	codeSmell.empty_catch	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.error-suppression	code-smell.error-suppression	CodeSmell	occurrence	NULL	callable	codeSmell.error_suppression	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.eval	code-smell.eval	CodeSmell	occurrence	NULL	callable	codeSmell.eval	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.exit	code-smell.exit	CodeSmell	occurrence	NULL	callable	codeSmell.exit	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.goto	code-smell.goto	CodeSmell	occurrence	NULL	callable	codeSmell.goto	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.identical-subexpression	code-smell.identical-subexpression	CodeSmell	occurrence	NULL	callable	identicalSubExpression.identical_operands,identicalSubExpression.duplicate_condition,identicalSubExpression.identical_ternary,identicalSubExpression.duplicate_match_arm,identicalSubExpression.duplicate_switch_case	NONE	src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php:95-110 (entries("identicalSubExpression.{type}"), metricValue: 1.0 fixed marker)	NA	NONE (enabled-only)	Occurrence marker (1.0), not a judged magnitude; requires() literal keys are collector-context keys, not MetricName constants
code-smell.long-parameter-list	code-smell.long-parameter-list	CodeSmell	magnitude	higher	callable	code-smell.parameter-count,code-smell.is-vo-constructor	code-smell.parameter-count	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php:124,170 ($parameterCount = $metrics->get(MetricName::CODE_SMELL_PARAMETER_COUNT); metricValue: $parameterCountValue)	N	warning,error,voWarning,voError	Same MetricName as code-smell.constructor-overinjection; a second VO-specific finding at line 203 reuses the same $parameterCount as metricValue under the same channel code
code-smell.superglobals	code-smell.superglobals	CodeSmell	occurrence	NULL	callable	codeSmell.superglobals	NONE	src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:120-136 (inherited analyze(), no override)	NA	NONE (enabled-only)	Occurrence marker only
code-smell.unreachable-code	code-smell.unreachable-code	CodeSmell	magnitude	higher	callable	code-smell.unreachable-code	code-smell.unreachable-code	src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php:109,146 ($unreachableCount = $metrics->get(MetricName::CODE_SMELL_UNREACHABLE_CODE); metricValue: $unreachableCountValue)	Y	warning,error	One of the few channels whose code literally equals its MetricName value
code-smell.unused-private	code-smell.unused-private	CodeSmell	magnitude	higher	class	code-smell.unused-private.total	code-smell.unused-private.total	src/Analysis/Evidence/CodeSmell/UnusedPrivateRule.php:92,110 ($total = $metrics->get(MetricName::CODE_SMELL_UNUSED_PRIVATE_TOTAL); metricValue: $total)	N	NONE (enabled-only, ceiling via @qmx-threshold)	Matches seed hint; per-kind breakdown (method/property/constant) is presentation only, not judged separately
cohesion.lcom	cohesion.lcom	Cohesion	magnitude	higher	class	cohesion.lcom,size.method-count,design.is-readonly	cohesion.lcom	src/Analysis/Evidence/Cohesion/LcomRule.php:136,121 ($lcom = $metrics->get(MetricName::COHESION_LCOM); metricValue: $lcomValue)	Y	warning,error,minMethods	NONE
complexity.cognitive	complexity.cognitive	Complexity	magnitude	higher	callable,class	complexity.cognitive	complexity.cognitive	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php:150,174 (callable level) and :200,240 (class level, agg(...,Max))	Y	warning,error (per level: callable./class.)	NONE
complexity.cyclomatic	complexity.cyclomatic	Complexity	magnitude	higher	callable,class	complexity.ccn,complexity.cognitive	complexity.ccn	src/Analysis/Evidence/Complexity/ComplexityRule.php:158,187 (callable level) and :234,279 (class level, agg(...,Max))	N	warning,error,maxWarning,maxError (per level: callable./class.)	Matches seed hint
