# How obtained: two greps over src/, each followed by reading the single production call
# site the grep converges on, to confirm the constant actually reaches OccurrenceKey::semantic
# rather than merely existing on the class.
#
#   1. `grep -rln "extends AbstractCodeSmellRule" src/Analysis/Evidence/CodeSmell/` — 9 hits.
#      Read `AbstractCodeSmellRule::analyze()` (the one call site, line ~134): it reads
#      `static::SMELL_TYPE` via late static binding and passes it into
#      `CodeSmellFinding::fromEntry(...)->toFinding(..., static::SMELL_TYPE, ...)`, which builds
#      `OccurrenceKey::semantic($smellType, [...])`. Every one of the 9 subclasses inherits this
#      unchanged `analyze()` (none override it), so all 9 feed occurrence through SMELL_TYPE.
#   2. `grep -rln "extends AbstractSecurityPatternRule" src/Analysis/Evidence/Security/` — 3 hits.
#      Same shape: `AbstractSecurityPatternRule::analyze()` reads `static::PATTERN_TYPE` and passes
#      it into `SecurityPatternFinding::fromEntry(...)->toFinding(..., $type, ...)`, which builds
#      `OccurrenceKey::semantic($patternType, [...])`. All 3 subclasses inherit this unchanged.
#
# Corroboration: `grep -rn "protected const string SMELL_TYPE\|protected const string PATTERN_TYPE" src/`
# returns exactly these 9+3 declarations plus the two empty placeholders on the abstract bases
# themselves (which are never read directly — `static::` resolves to the concrete subclass) —
# no eleventh or fourth declaration exists anywhere in src/. A second grep for
# `CodeSmellFinding::fromEntry|SecurityPatternFinding::fromEntry` confirms each Finding VO has
# exactly one production call site (the matching abstract rule's `analyze()`), so no concrete
# rule bypasses the base class to construct these findings a second way.
#
# What this method does NOT see:
#   - A future rule that constructs CodeSmellFinding/SecurityPatternFinding directly (bypassing
#     the abstract base's analyze()) would not show up in the "extends Abstract*Rule" grep; the
#     fromEntry() grep is the cross-check for that, but it is only as good as today's tree — it
#     proves the current absence, not a standing invariant. Nothing enforces "every consumer of
#     these two Finding VOs must go through the shared analyze()".
#   - Rules extending AbstractRule directly that read/write a `codeSmell.*` or `security.*` metric
#     key under the same family name (e.g. HardcodedCredentialsRule, SensitiveParameterRule,
#     IdenticalSubExpressionRule, ConstructorOverinjectionRule, LongParameterListRule,
#     UnreachableCodeRule, UnusedPrivateRule) are deliberately excluded here: they do not go
#     through CodeSmellFinding/SecurityPatternFinding at all (own Finding construction, own
#     OccurrenceKey call or a magnitude shape), so a SMELL_TYPE/PATTERN_TYPE-shaped pin does not
#     apply to them. HardcodedCredentialsRule and SensitiveParameterRule already carry their own
#     occurrence pin from Package A; the other five are magnitude-shaped or already covered by
#     Package A's six frozen families and out of this task's scope by its own text.
#   - This is a static-grep enumeration, not a runtime trace: it cannot see a rule that computes
#     its SMELL_TYPE/PATTERN_TYPE dynamically instead of via a class constant. None currently do
#     (confirmed by reading all 12 declarations above — every one is a literal `string` constant).
#
# rule_class	family	discriminator_const	discriminator_value	rule_name_const	existing_pin_before_this_package	pin_status
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentRule	code-smell	SMELL_TYPE	boolean_argument	code-smell.boolean-argument	yes (smellDetectedProducesFinding, literal-valued)	verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\EvalRule	code-smell	SMELL_TYPE	eval	code-smell.eval	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\DebugCodeRule	code-smell	SMELL_TYPE	debug_code	code-smell.debug-code	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\CountInLoopRule	code-smell	SMELL_TYPE	count_in_loop	code-smell.count-in-loop	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\GotoRule	code-smell	SMELL_TYPE	goto	code-smell.goto	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\EmptyCatchRule	code-smell	SMELL_TYPE	empty_catch	code-smell.empty-catch	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionRule	code-smell	SMELL_TYPE	error_suppression	code-smell.error-suppression	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\ExitRule	code-smell	SMELL_TYPE	exit	code-smell.exit	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\CodeSmell\SuperglobalsRule	code-smell	SMELL_TYPE	superglobals	code-smell.superglobals	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\Security\CommandInjectionRule	security-pattern	PATTERN_TYPE	command_injection	security.command-injection	yes (itCreatesFindingForSingleFinding, literal-valued)	verified-by-mutation
Qualimetrix\Analysis\Evidence\Security\XssRule	security-pattern	PATTERN_TYPE	xss	security.xss	no	added+verified-by-mutation
Qualimetrix\Analysis\Evidence\Security\SqlInjectionRule	security-pattern	PATTERN_TYPE	sql_injection	security.sql-injection	no	added+verified-by-mutation
