old	new	reason
abstractClassCount	size.abstract-class-count	Ш5e3 renames this metric-key
abstractness	coupling.abstractness	Ш5e3 renames this metric-key
ca	coupling.ca	Ш5e3 renames this metric-key
cbo	coupling.cbo	Ш5e3 renames this metric-key
cbo_app	coupling.cbo-app	Ш5e3 renames this metric-key
ccn	complexity.ccn	Ш5e3 renames this metric-key
ce	coupling.ce	Ш5e3 renames this metric-key
ce_framework	coupling.ce-framework	Ш5e3 renames this metric-key
ce_packages	coupling.ce-packages	Ш5e3 renames this metric-key
classCount	size.class-count	Ш5e3 renames this metric-key
classLoc	size.class-loc	Ш5e3 renames this metric-key
classRank	coupling.class-rank	Ш5e3 renames this metric-key
cloc	size.cloc	Ш5e3 renames this metric-key
cognitive	complexity.cognitive	Ш5e3 renames this metric-key
distance	coupling.distance	Ш5e3 renames this metric-key
dit	design.dit	Ш5e3 renames this metric-key
enumCount	size.enum-count	Ш5e3 renames this metric-key
functionCount	size.function-count	Ш5e3 renames this metric-key
getterCount	size.getter-count	Ш5e3 renames this metric-key
halstead.bugs	maintainability.halstead.bugs	Ш5e3 renames this metric-key
halstead.difficulty	maintainability.halstead.difficulty	Ш5e3 renames this metric-key
halstead.effort	maintainability.halstead.effort	Ш5e3 renames this metric-key
halstead.time	maintainability.halstead.time	Ш5e3 renames this metric-key
halstead.volume	maintainability.halstead.volume	Ш5e3 renames this metric-key
implementingEnumCount	size.implementing-enum-count	Ш5e3 renames this metric-key
instability	coupling.instability	Ш5e3 renames this metric-key
interfaceCount	size.interface-count	Ш5e3 renames this metric-key
isAbstract	design.is-abstract	Ш5e3 renames this metric-key
isDataClass	design.is-data-class	Ш5e3 renames this metric-key
isException	design.is-exception	Ш5e3 renames this metric-key
isInterface	design.is-interface	Ш5e3 renames this metric-key
isPromotedPropertiesOnly	design.is-promoted-properties-only	Ш5e3 renames this metric-key
isReadonly	design.is-readonly	Ш5e3 renames this metric-key
isVoConstructor	code-smell.is-vo-constructor	Ш5e3 renames this metric-key
lcc	cohesion.lcc	Ш5e3 renames this metric-key
lcom	cohesion.lcom	Ш5e3 renames this metric-key
lloc	size.lloc	Ш5e3 renames this metric-key
loc	size.loc	Ш5e3 renames this metric-key
methodCount	size.method-count	Ш5e3 renames this metric-key
methodCountPrivate	size.method-count.private	Ш5e3 renames this metric-key
methodCountProtected	size.method-count.protected	Ш5e3 renames this metric-key
methodCountPublic	size.method-count.public	Ш5e3 renames this metric-key
methodCountTotal	size.method-count.total	Ш5e3 renames this metric-key
methodStatementCount	size.method-statement-count	Ш5e3 renames this metric-key
mi	maintainability.mi	Ш5e3 renames this metric-key
noc	design.noc	Ш5e3 renames this metric-key
npath	complexity.npath	Ш5e3 renames this metric-key
parameterCount	code-smell.parameter-count	Ш5e3 renames this metric-key
promotedPropertyCount	size.promoted-property-count	Ш5e3 renames this metric-key
propertyCount	size.property-count	Ш5e3 renames this metric-key
propertyCountPrivate	size.property-count.private	Ш5e3 renames this metric-key
propertyCountProtected	size.property-count.protected	Ш5e3 renames this metric-key
propertyCountPublic	size.property-count.public	Ш5e3 renames this metric-key
pureMethodCount_cohesion	cohesion.pure-method-count	Ш5e3 renames this metric-key
rfc	coupling.rfc	Ш5e3 renames this metric-key
rfc_external	coupling.rfc-external	Ш5e3 renames this metric-key
rfc_own	coupling.rfc-own	Ш5e3 renames this metric-key
setterCount	size.setter-count	Ш5e3 renames this metric-key
symbolClassCount	size.symbol-class-count	Ш5e3 renames this metric-key
symbolMethodCount	size.symbol-method-count	Ш5e3 renames this metric-key
tcc	cohesion.tcc	Ш5e3 renames this metric-key
traitCount	size.trait-count	Ш5e3 renames this metric-key
typeCoverage.param	design.type-coverage.param	Ш5e3 renames this metric-key
typeCoverage.paramTotal	design.type-coverage.param.total	Ш5e3 renames this metric-key
typeCoverage.paramTyped	design.type-coverage.param.typed	Ш5e3 renames this metric-key
typeCoverage.pct	design.type-coverage.pct	Ш5e3 renames this metric-key
typeCoverage.property	design.type-coverage.property	Ш5e3 renames this metric-key
typeCoverage.propertyTotal	design.type-coverage.property.total	Ш5e3 renames this metric-key
typeCoverage.propertyTyped	design.type-coverage.property.typed	Ш5e3 renames this metric-key
typeCoverage.return	design.type-coverage.return	Ш5e3 renames this metric-key
typeCoverage.returnTotal	design.type-coverage.return.total	Ш5e3 renames this metric-key
typeCoverage.returnTyped	design.type-coverage.return.typed	Ш5e3 renames this metric-key
unreachableCode	code-smell.unreachable-code	Ш5e3 renames this metric-key
unreachableCode.firstLine	code-smell.unreachable-code.first-line	Ш5e3 renames this metric-key
unusedPrivate.total	code-smell.unused-private.total	Ш5e3 renames this metric-key
wmc	complexity.wmc	Ш5e3 renames this metric-key
woc	design.woc	Ш5e3 renames this metric-key
