# Every `violation` spelling the product still carries after Ш5a, measured — not
# narrated. Replaces the prose claim "two names / two families keep the old
# spelling": the measured residue is larger, and three of its rows belong to no
# sub-step of the plan.
#
# Unit of a row: one maximal token of `[A-Za-z0-9_.$-]` containing `violation`
# or `Violation`, case kept, with a leading receiver segment (`node.`, `$a->`)
# stripped. Scope: `src/`, `tests/`, `qmx.yaml`. The generated bundle
# `src/Reporting/Template/dist/` is excluded — it mirrors
# `src/Reporting/Template/src/`. The gate (`finding-gate/`,
# `scripts/finding-gate*/`) is excluded too: it pins product spellings
# deliberately and its own freshness checks own those rows.
#
# Regenerate the measured columns (spelling, occurrences):
#
#   git grep -hoIE '[A-Za-z0-9_.$-]*[Vv]iolation[A-Za-z0-9_]*' -- src tests qmx.yaml ':!src/Reporting/Template/dist' \
#     | sed -E 's/^[.$-]+//; s/[.-]+$//' \
#     | sed -E ':r; s/^[A-Za-z_][A-Za-z0-9_]*\.([A-Za-z0-9_.]*[Vv]iolation[A-Za-z0-9_]*)$/\1/; tr' \
#     | sort | uniq -c | awk -v OFS='\t' '{print $2, $1}' | sort
#
# Check this file against a fresh measurement — empty output means fresh:
#
#   diff <(<the command above>) \
#        <(grep -v '^#' docs/internal/plans/rule-vocabulary/enumeration-kept-spellings.tsv | tail -n +2 | cut -f1,2)
#
# `kind`, `disposition` and `note` are judgement, not measurement. A spelling the
# measurement produces and this file does not classify is `residual:unclassified`
# by construction, so a new one is loud rather than absorbed.
#
# Dispositions:
#   kept:layer-violation-subject  the LayerViolation subject and its rule name `architecture.layer-violation`
#   kept:metric-key               `violationCount`, `violationCountTotal`, `violationDensity` and names derived from them
#   kept:output-word              the English word a report prints ("1 violation")
#   kept:test-fixture-name        a golden-fixture file name
#   substep:Ш5b                   the `rule#code` pair vocabulary
#   substep:Ш5g                   HTML payload keys and the HTML report's own JS/CSS
#   orphan:published-json-key     a published JSON key no sub-step of Ш5 claims
#   orphan:cli-option             `--format-opt=violations`, its internal mirror and its tests — no sub-step claims it
#   orphan:internal-name          an internal name the rename left half-translated
#   orphan:string-literal         a literal printed to a user or a developer that still says "Violation"
#
spelling	occurrences	kind	disposition	note
ArchitectureViolationProjector	5	layer-violation subject	kept:layer-violation-subject	-
ArchitectureViolationSmokeTest	1	layer-violation subject	kept:layer-violation-subject	-
InlineSuppressionLayerViolationIntegrationTest	1	layer-violation subject	kept:layer-violation-subject	-
Layer-violation	2	layer-violation subject	kept:layer-violation-subject	-
LayerViolation	139	layer-violation subject	kept:layer-violation-subject	-
LayerViolationFinding	14	layer-violation subject	kept:layer-violation-subject	-
LayerViolationIntegrationTest	4	layer-violation subject	kept:layer-violation-subject	-
LayerViolationOptions	94	layer-violation subject	kept:layer-violation-subject	-
LayerViolationOptionsTest	1	layer-violation subject	kept:layer-violation-subject	-
LayerViolationRule	154	layer-violation subject	kept:layer-violation-subject	-
LayerViolationRuleTest	1	layer-violation subject	kept:layer-violation-subject	-
Violation	32	string-literal	orphan:string-literal	compiler-pass error text plus test messages and fixtures
ViolationDensityTest	1	test-class	kept:metric-key	-
Violations	10	string-literal	orphan:string-literal	SummaryFormatter section heading
allFlagSetsViolationsOptionToAll	1	cli-option mirror	orphan:cli-option	names --format-opt=violations
allFlagWithFormatOptViolationsAllDoesNotConflict	1	cli-option mirror	orphan:cli-option	names --format-opt=violations
allFlagWithNumericViolationsThrowsException	1	cli-option mirror	orphan:cli-option	names --format-opt=violations
architecture.layer-violation	162	layer-violation subject	kept:layer-violation-subject	-
computeViolationDensity	2	php-method	kept:metric-key	computes violationDensity
emptyArchitecturePolicyProducesZeroLayerViolations	1	layer-violation subject	kept:layer-violation-subject	-
everyDeclaredRuleNameHalfNamesARealRuleOrALayerViolationDiagnostic	1	layer-violation subject	kept:layer-violation-subject	-
expected-violations	1	golden-fixture-name	kept:test-fixture-name	-
expectedViolationCount	8	test-local	kept:metric-key	-
filterLayerViolations	2	layer-violation subject	kept:layer-violation-subject	-
formatOptViolationsAllWithoutAllFlagStillWorks	1	cli-option mirror	orphan:cli-option	names --format-opt=violations
getViolationCountBySeverity	3	php-public-method	orphan:internal-name	AnalysisResult method over list<Finding>
getViolationLimit	2	cli-option mirror	orphan:cli-option	names --format-opt=violations
has-violations	2	html-css-class	substep:Ш5g	-
