# All src/ positions found where the product reads (a) a LIST whose elements it interprets, or
# (b) a MAP whose keys it interprets. Built by: grep for RuleOptionShape::listOf/mapOf usages,
# ConfigSchema::ENTRIES root types (list/mixed), grep for each ConfigSchema constant's readers
# outside ConfigSchema.php itself, and reading LayerCriterionNormalizer / ExcludeBlockValidator /
# LayersValidator / LongFormAllowEntryNormalizer / ComputedMetricEntryKeyRecognition directly.
# Rows marked "(known-24)" already appear in known-24.tsv with an OUT-OF-SCOPE verdict; every
# other row is new material this pass adds (not previously classified by axis A/D).
#
# columns: config_path  cli_form  container  reader_file:line  expects  on_wrong_form  known24
config_path	cli_form	container	reader_file_line	expects	on_wrong_form	known24
paths (positional args / yaml `paths:`)	cli-root/yaml	list	src/Analysis/Run/Configuration/RunConfigurationResolver.php:26 (lastStringList)	each element a filesystem path/glob string	non-string element: coerced/rejected by lastStringList's own string cast path (needs live repro; not in known-24)	no
exclude / yaml `exclude:`	cli-root(--exclude)/yaml	list	src/Analysis/Run/Configuration/RunConfigurationResolver.php:35	each element a path-exclusion glob string	same family as paths; not measured by known-24	no
disabledRules / yaml `disabled_rules:` / CLI `--disable-rule`	cli-root/yaml	list	src/Analysis/Finding/Configuration/FindingConfigurationResolver.php:28 (accumulatedStrings)	each element a rule-slug string, later matched against RuleNameReader::read() slugs	unknown slug: silently matches nothing (no rule shares that slug) unless a separate "no match" finding fires (see MEMORY note "Say something when a filter matches nothing", #61) -- element FORM (int vs string) not measured here	no
onlyRules / yaml `only_rules:` / CLI `--only-rule`	cli-root/yaml	list	src/Analysis/Finding/Configuration/FindingConfigurationResolver.php:27 (lastStringList)	each element a rule-slug string	same as disabledRules	no
suppressPaths / yaml `suppress_paths:`	cli-root/yaml	list	src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php:35-38	each element a path/glob string (acceptedString)	non-string element: acceptedString's own refusal path (not in known-24, never measured for element form)	no
suppressNamespaces / yaml `suppress_namespaces:`	cli-root/yaml	list	src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php:55-56	each element a namespace-prefix string	same as suppressPaths	no
rules.*.suppress-paths (per-rule framework key)	rule-opt/yaml	list	src/Analysis/Finding/RuleConfiguration/RuleOptionKeyRecognition.php:99-101 (frameworkKeyShapes)	each element a non-empty path string (RuleOptionShape::listOf(nonEmptyText()))	non-empty-text element form violation refused via RuleOptionShape::matches() -- distinct declared shape, not yet in known-24 population	no
rules.cohesion.lcom.exclude-methods	rule-opt/yaml	list (or scalar shorthand)	src/Analysis/Evidence/Cohesion/LcomOptions.php:120	each element a non-empty method-name string	int element refused; this exact cell is known-24 row 89	yes (row 89)
rules.code-smell.error-suppression.allowed-functions	rule-opt/yaml	list (or scalar shorthand)	src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php:73	each element a non-empty function-name string	int element refused; known-24 row 86	yes (row 86)
rules.code-smell.boolean-argument.allowed-prefixes	rule-opt/yaml	list (or scalar shorthand)	src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php:121	each element a non-empty prefix string	int element refused; known-24 row 83	yes (row 83)
