field	source
file	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
line	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
subject	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
symbol	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
channel	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
occurrence	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
edge	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
namespace	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
rule	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
code	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
severity	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
message	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
recommendation	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
metricValue	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
threshold	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
techDebtMinutes	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
acceptedLevel	src/Reporting/Formatter/Json/JsonFindingSection.php::formatFinding
