# Known OUT-OF-SCOPE rows that a "container form x content form" axis F must contain.
# Source of the 24: docs/internal/plans/source-composition/measurement/axis-ad-remainder.tsv,
# lines with class == OUT-OF-SCOPE, counted by:
#   awk -F'\t' '$4=="OUT-OF-SCOPE"' axis-ad-remainder.tsv | wc -l  ->  24
# 12 of these 24 (the architecture.layers[*] rows) are ALSO documented, with richer live-repro
# evidence, in docs/internal/plans/source-composition/measurement/layer-forms.tsv (rows 105-122,
# its own 12 OUT-OF-SCOPE subset out of an 18/22-row body) -- same (kind,door,path,form) identity,
# not a second population. layer-forms.tsv additionally carries 4 STAND rows (139-142) that are
# NOT OUT-OF-SCOPE and are correctly excluded from this list.
#
# subkind: ELEMENT = container is `list`, the row is about the FORM of a list element (int vs
#          non-empty string). KEY = container is `map`, the row is about a map KEY not naming a
#          section/layer/level (e.g. `{a: 7331}`).
#
# columns: source_file  source_line  config_path  container_form  subkind  also_in_layer_forms  note
source_file	source_line	config_path	container_form	subkind	also_in_layer_forms	note
axis-ad-remainder.tsv	49	architecture.allow	map	KEY	no	`{a: 7331}` -- a not a target/relations/allow_cross_instance key
axis-ad-remainder.tsv	51	architecture.layers[*].attributes	list	ELEMENT	yes(105)	[7331] int where non-empty FQN string expected
axis-ad-remainder.tsv	52	architecture.layers[*].exclude.attributes	list	ELEMENT	yes(106)	same, inside exclude block
axis-ad-remainder.tsv	53	architecture.layers[*].exclude.extends	list	ELEMENT	yes(107)	same
axis-ad-remainder.tsv	54	architecture.layers[*].exclude.implements	list	ELEMENT	yes(108)	same
axis-ad-remainder.tsv	55	architecture.layers[*].exclude.patterns	list	ELEMENT	yes(110)	same
axis-ad-remainder.tsv	56	architecture.layers[*].exclude.suffix	list	ELEMENT	yes(113)	same
axis-ad-remainder.tsv	57	architecture.layers[*].exclude	map	KEY	yes(116)	`{a: 7331}` -- a not one of patterns/suffix/attributes/implements/extends/match
axis-ad-remainder.tsv	58	architecture.layers[*].extends	list	ELEMENT	yes(117)	int where non-empty FQN string expected
axis-ad-remainder.tsv	59	architecture.layers[*].implements	list	ELEMENT	yes(118)	same
axis-ad-remainder.tsv	60	architecture.layers[*].patterns	list	ELEMENT	yes(120)	same
axis-ad-remainder.tsv	63	architecture.layers[*].suffix	list	ELEMENT	yes(121)	same
axis-ad-remainder.tsv	66	architecture.layers	list	ELEMENT	yes(122)	int where a layer-entry map expected (one level up: element of the top list, not a criterion list)
axis-ad-remainder.tsv	67	architecture	map	KEY	no	`{a: 7331}` -- a not layers/allow/coverage-gap (or another declared architecture sub-key)
axis-ad-remainder.tsv	69	cache	map	KEY	no	`{a: 7331}` -- a not dir/enabled
axis-ad-remainder.tsv	70	computed_metrics.<name>.formulas	map	KEY	no	`{a: 7331}` -- a not a declared metric level (ComputedMetricEntryKeyRecognition.php:76-92)
axis-ad-remainder.tsv	73	computed_metrics.<name>.levels	list	ELEMENT	no	int where non-empty level-name string expected (ComputedMetricEntryKeys.php:63)
axis-ad-remainder.tsv	74	computed_metrics	map	KEY	no	`{a: 7331}` -- a not a well-formed metric-name identifier
axis-ad-remainder.tsv	75	coupling	map	KEY	no	`{a: 7331}` -- a not frameworkNamespaces (or another declared coupling sub-key)
axis-ad-remainder.tsv	79	parallel	map	KEY	no	`{a: 7331}` -- a not workers
axis-ad-remainder.tsv	83	rules.code-smell.boolean-argument.allowed-prefixes	list	ELEMENT	no	int where non-empty prefix string expected (BooleanArgumentOptions.php:121)
axis-ad-remainder.tsv	86	rules.code-smell.error-suppression.allowed-functions	list	ELEMENT	no	int where non-empty function-name string expected (ErrorSuppressionOptions.php:73)
axis-ad-remainder.tsv	89	rules.cohesion.lcom.exclude-methods	list	ELEMENT	no	int where non-empty method-name string expected (LcomOptions.php:120)
axis-ad-remainder.tsv	92	rules.coupling.distance.include-namespaces	list	ELEMENT	no	int where non-empty namespace string expected (DistanceOptions.php:80)

# TOTALS
# ELEMENT (list) rows: 16  (51,52,53,54,55,56,58,59,60,63,66,73,83,86,89,92)
# KEY (map) rows:        8  (49,57,67,69,70,74,75,79)
# 16 + 8 = 24 == the brief's count and == the file's own OUT-OF-SCOPE count. No discrepancy found
# between the brief's "16 element / 8 key" split and axis-ad-remainder.tsv itself.
# 12 of the 24 (all architecture.layers[*].* rows) are literally the same (kind,door,path,form)
# identity as 12 of layer-forms.tsv's 12 OUT-OF-SCOPE rows -- i.e. layer-forms.tsv adds evidence
# depth for 12 of the 24, not 12 new rows. layer-forms.tsv's 4 STAND rows are a different class
# entirely (envelope defect, not element/key-form) and are correctly NOT part of the 24.
