# Х9 пакет F — хвост Х6: CPU/wall-clock под `bin/qmx check src/ --format=json`
# Машина: Apple M4 Pro, hw.perflevel0.physicalcpu=10 (P), hw.perflevel1.physicalcpu=4 (E), hw.ncpu=14
# Фон до серии (top -l 1, единственное окно — параллельно ничего не бежало):
#   Load Avg: 2.29, 2.49, 3.39; CPU usage: 3.44% user, 8.34% sys, 88.20% idle
#   Processes: 867 total, 3 running, 864 sleeping, 5206 threads
# Кэш AST: прогрет одним неучитываемым прогоном (--workers=4) до серии; между точками и повторами НЕ чистился —
#   один и тот же тёплый кэш для всех 12 замеров, выбор одинаков для всех точек.
# Метод: /usr/bin/time -l bin/qmx check src/ --workers=N --format=json, 3 повтора на точку.
# real = wall-clock (time -l "real"); cpu_total = user+sys (time -l "user"+"sys"), секунды.
# Все 12 прогонов: filesAnalyzed=900, exit code=2 (warnings) — одинаково по всем точкам.
workers	rep	real_s	user_s	sys_s	cpu_total_s
0	1	18.93	18.60	0.31	18.91
0	2	18.38	18.09	0.28	18.37
0	3	18.89	18.57	0.31	18.88
0	MEDIAN	18.89	18.57	0.31	18.88
2	1	12.57	19.14	0.37	19.51
2	2	12.39	18.92	0.40	19.32
2	3	12.46	19.05	0.36	19.41
2	MEDIAN	12.46	19.05	0.36	19.41
4	1	9.17	19.45	0.43	19.88
4	2	9.22	19.52	0.42	19.94
4	3	9.18	19.54	0.42	19.96
4	MEDIAN	9.18	19.52	0.42	19.94
8	1	7.54	20.04	0.58	20.62
8	2	7.65	20.53	0.66	21.19
8	3	7.65	20.29	0.66	20.95
8	MEDIAN	7.65	20.29	0.66	20.95
