input	name form	example	reaches the late channel	behaviour today	how it refuses
cli-disable [exact channel]	exact channel	annotation.unused-directive	no (silently inert)	inert, silently: finding still published	does not refuse
cli-only [exact channel]	exact channel	annotation.unused-directive	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
yaml disabled_rules [exact channel]	exact channel	annotation.unused-directive	no (silently inert)	inert, silently: finding still published	does not refuse
yaml only_rules [exact channel]	exact channel	annotation.unused-directive	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
preset file disabledRules [exact channel]	exact channel	annotation.unused-directive	no (silently inert)	inert, silently: finding still published	does not refuse
cli-disable [producer rule name]	producer rule name	annotation.directive	yes	late-channel finding gone from the report	does not refuse
cli-only [producer rule name]	producer rule name	annotation.directive	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
yaml disabled_rules [producer rule name]	producer rule name	annotation.directive	yes	late-channel finding gone from the report	does not refuse
yaml only_rules [producer rule name]	producer rule name	annotation.directive	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
preset file disabledRules [producer rule name]	producer rule name	annotation.directive	yes	late-channel finding gone from the report	does not refuse
cli-disable [group X.*]	group X.*	annotation.*	yes	late-channel finding gone from the report	does not refuse
cli-only [group X.*]	group X.*	annotation.*	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
yaml disabled_rules [group X.*]	group X.*	annotation.*	yes	late-channel finding gone from the report	does not refuse
yaml only_rules [group X.*]	group X.*	annotation.*	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
preset file disabledRules [group X.*]	group X.*	annotation.*	yes	late-channel finding gone from the report	does not refuse
cli-disable [channel:level]	channel:level	annotation.unused-directive:file	no (silently inert)	inert, silently: finding still published	does not refuse
cli-only [channel:level]	channel:level	annotation.unused-directive:file	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
yaml disabled_rules [channel:level]	channel:level	annotation.unused-directive:file	no (silently inert)	inert, silently: finding still published	does not refuse
yaml only_rules [channel:level]	channel:level	annotation.unused-directive:file	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
preset file disabledRules [channel:level]	channel:level	annotation.unused-directive:file	no (silently inert)	inert, silently: finding still published	does not refuse
cli-disable [producer:level]	producer:level	annotation.directive:file	refuses	refused: Rule selector "annotation.directive:file" addresses no channel, so it cannot address one at level "file".	exit 3 at preflight (RuleInputValidator)
cli-only [producer:level]	producer:level	annotation.directive:file	refuses	refused: Rule selector "annotation.directive:file" addresses no channel, so it cannot address one at level "file".	exit 3 at preflight (RuleInputValidator)
yaml disabled_rules [producer:level]	producer:level	annotation.directive:file	refuses	refused: Rule selector "annotation.directive:file" addresses no channel, so it cannot address one at level "file".	exit 3 at preflight (RuleInputValidator)
yaml only_rules [producer:level]	producer:level	annotation.directive:file	refuses	refused: Rule selector "annotation.directive:file" addresses no channel, so it cannot address one at level "file".	exit 3 at preflight (RuleInputValidator)
preset file disabledRules [producer:level]	producer:level	annotation.directive:file	refuses	refused: Rule selector "annotation.directive:file" addresses no channel, so it cannot address one at level "file".	exit 3 at preflight (RuleInputValidator)
cli-disable [group:level]	group:level	annotation.*:file	yes	late-channel finding gone from the report	does not refuse
cli-only [group:level]	group:level	annotation.*:file	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
yaml disabled_rules [group:level]	group:level	annotation.*:file	yes	late-channel finding gone from the report	does not refuse
yaml only_rules [group:level]	group:level	annotation.*:file	yes	empty report, exit 0 - but because every other rule is off, so the directive is unmeasurable and no verdict is reached; not a channel filter	does not refuse
preset file disabledRules [group:level]	group:level	annotation.*:file	yes	late-channel finding gone from the report	does not refuse
cli-disable [retired pair]	retired pair	annotation.directive#unused-directive	refuses	refused: Rule selector "annotation.directive#unused-directive" is written in the retired channel-pair form. The "ruleNa	exit 3 at preflight (RuleInputValidator)
cli-only [retired pair]	retired pair	annotation.directive#unused-directive	refuses	refused: Rule selector "annotation.directive#unused-directive" is written in the retired channel-pair form. The "ruleNa	exit 3 at preflight (RuleInputValidator)
yaml disabled_rules [retired pair]	retired pair	annotation.directive#unused-directive	refuses	refused: Rule selector "annotation.directive#unused-directive" is written in the retired channel-pair form. The "ruleNa	exit 3 at preflight (RuleInputValidator)
