axis	row	probe	point	verdict	defect	ledger_status	decided_by
A	form|cli-alias|rules.architecture.circular-dependency.enabled|bool	bool	optionsObject	NOT OBSERVABLE	no	DECIDED	omitted == equivalent; lost at optionsObject
A	form|cli-alias|rules.architecture.circular-dependency.enabled|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.enabled|int	int	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.enabled|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.enabled|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.enabled|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.enabled|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.enabled|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|bool	bool	optionsObject	NOT OBSERVABLE	no	DECIDED	omitted == equivalent; lost at optionsObject
A	form|cli-alias|rules.architecture.layer-violation.enabled|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|int	int	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.enabled|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|int	int	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|string-nonnumber	string-nonnumber	optionsObject	REFUSES	yes	DECIDED	refused a form it promised; lost at nowhere
A	form|cli-alias|rules.architecture.layer-violation.severity|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|int	int	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|string-nonnumber	string-nonnumber	optionsObject	REFUSES	yes	DECIDED	refused a form it promised; lost at nowhere
A	form|cli-alias|rules.architecture.unassigned-class.mode|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.code-smell.unreachable-code.warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|int	int	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|null	null	optionsObject	NOT OBSERVABLE	no	DECIDED	the ledger promises nothing about `~` here; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|string-nonnumber	string-nonnumber	optionsObject	COLLAPSED	yes	DECIDED	accepted an unpromised form, target unnamed; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|bool	bool	optionsObject	NOT OBSERVABLE	no	DECIDED	omitted == equivalent; lost at optionsObject
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|int	int	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.excludeReadonly|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.minMethods|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.cohesion.lcom.warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
