# ЗАМОРОЖЕННЫЕ ДИАПАЗОНЫ НОСИТЕЛЕЙ — спутник promise-ledger.tsv (этап 01, пакет L; перевывод L2).
# Дерево 4ecd3ee1a06ce9a03ae85e55b5ec4eec2cdfe3dd. Дата: 2026-09-11.
#
# ЗАЧЕМ: единица непересечения с пакетом P1 — не файл, а ДИАПАЗОН СТРОК (01-promise.md §«Как
# проверяется непересечение, не убивая носителей»). Здесь перечислен каждый диапазон, который
# процитирован хотя бы одной строкой реестра, с sha256 его текста.
#
# ЧЕМ ПОЛУЧЕНО: scripts/promise-ledger-freeze.py — собирает все ссылки вида `путь:строка[-строка]`
#   из тела promise-ledger.tsv (включая шапку и колонку note), читает ровно эти строки файла на
#   текущем дереве и считает sha256 (первые 16 знаков) от строк, склеенных через \n БЕЗ
#   завершающего перевода строки. Колонка owner_package выведена из пути: src/** — P1, website/** — P6.
#
# ПОЧЕМУ СКРИПТ ВООБЩЕ ЕСТЬ. Прошлый снимок делал одноразовый скрипт, который не сохранили, и его
#   прогон пропустил ровно один процитированный диапазон — configuration.md:749-750, тот самый,
#   который пакет документации потом и переписал. Сторож, не видящий носителя, молчит именно там,
#   где нужен. Поэтому `--check` проверяет ПОКРЫТИЕ В ОБЕ СТОРОНЫ (каждая цитата заморожена, каждая
#   заморозка ещё цитируется), а не только совпадение sha.
#
# ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ: он проверяет ТЕКСТ диапазона, а не его смысл. Правка соседней
#   строки, меняющая смысл абзаца, sha диапазона не тронет; и наоборот, сдвиг нумерации
#   (вставка строки выше) покрасит диапазон, ничего в нём не изменив, — это осознанно
#   консервативная сторона.
#
# ПРОВЕРКА DoD-2, в доступной пакету части. Пересечение «замороженные диапазоны × файлы набора P1»
#   ВЫЧИСЛЯЕТСЯ здесь из p1-file-set.tsv при каждом выводе и сверяется при `--check`; строка ниже —
#   не утверждение автора, а результат:
#   P1 ∩ frozen: src/Analysis/Finding/Contract/Rule/LevelOptionsInterface.php:33-39, src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php:23-27, src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php:28-34
#   Рукописная часть, проверенная ОДИН раз и на ОДНОМ дереве, названном явно: на `2682106a` все
#   пересечённые диапазоны — докблоки вне сигнатур и тел, P1 изменил RuleOptionKeySet.php, но не
#   эти строки, и их sha совпали с прежним снимком побайтно. Дерево здесь зафиксировано нарочно:
#   подстановка текущего HEAD делала бы однажды проверенное утверждение вечно свежим.
#   Остальные диапазоны лежат в website/docs/**, который принадлежит P6, а не P1.
#   Ни один класс опций (динамическая половина набора P1) носителем не является: реестр их не читал.
#
# ОЖИДАЕМЫЙ СЛУЧАЙ, А НЕ ПРОВАЛ (03-cure.md §P1.7): пакет меняет контракт или страницу, и носитель
#   после него либо лжёт, либо правится. Порядок — возврат к оркестратору, перевывод затронутых
#   строк реестра, обновление этого файла. Провал — МОЛЧАЛИВАЯ правка.
file	first_line	last_line	sha256_16	owner_package	first_line_text
src/Analysis/Finding/Contract/Rule/LevelOptionsInterface.php	33	39	f84132545b7f7be1	P1 (03-cure.md ownership table)	/**
src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php	23	27	517d0ff3436edc4c	P1 (03-cure.md ownership table)	* - **answered by the class** — recognised only so that `fromArray()` 
src/Analysis/Finding/Contract/Rule/RuleOptionKeySet.php	28	34	fe5921582c172eb5	P1 (03-cure.md ownership table)	* - **unknown** — everything else.
website/docs/getting-started/configuration.md	26	26	6a61c178688f5f0d	P6 (website)	paths:
website/docs/getting-started/configuration.md	38	38	a7bd3458213029dc	P6 (website)	exclude:
website/docs/getting-started/configuration.md	58	58	3122d60e43f70b33	P6 (website)	suppress_paths:
website/docs/getting-started/configuration.md	94	94	c5ae903c48ee35a7	P6 (website)	suppress_namespaces:
website/docs/getting-started/configuration.md	130	136	1f06a8606ddabfbc	P6 (website)	**Disable a rule entirely:**
website/docs/getting-started/configuration.md	135	135	cd9df7cc053779ca	P6 (website)	enabled: false
website/docs/getting-started/configuration.md	138	151	c843f97c2c4ab04b	P6 (website)	**Override thresholds:**
website/docs/getting-started/configuration.md	152	166	b8e3c8ed35502ce5	P6 (website)	**Threshold shorthand:**
website/docs/getting-started/configuration.md	160	160	01bb931b4cab2d6e	P6 (website)	threshold: 15    # warning=15, error=15 → all violations are errors
website/docs/getting-started/configuration.md	163	163	320a9e8e028367ad	P6 (website)	threshold: 25      # same as warning: 25, error: 25
website/docs/getting-started/configuration.md	170	170	8f8e0b1e2de94ab6	P6 (website)	```yaml
website/docs/getting-started/configuration.md	174	174	0fbe325e0d8565b3	P6 (website)	warning: 10
website/docs/getting-started/configuration.md	175	175	8f93652565892666	P6 (website)	error: 20
website/docs/getting-started/configuration.md	180	180	93936a5c342ee0d9	P6 (website)	bin/qmx check src/ --rule-opt=size.method-count:threshold=25
website/docs/getting-started/configuration.md	185	217	554a85c5d68b0f7c	P6 (website)	**A bare `threshold` at a hierarchical rule's own top level replaces t
website/docs/getting-started/configuration.md	214	214	42c9a43b585590d8	P6 (website)	threshold: 15   # class AND namespace: warning=error=15
website/docs/getting-started/configuration.md	225	225	80dd174243a87feb	P6 (website)	threshold: 90
website/docs/getting-started/configuration.md	227	227	80dd174243a87feb	P6 (website)	threshold: 90
website/docs/getting-started/configuration.md	229	229	2d62953745155abb	P6 (website)	threshold: 80
website/docs/getting-started/configuration.md	232	235	788fa29872f76f5b	P6 (website)	**Option key spellings are interchangeable, option keys themselves are
website/docs/getting-started/configuration.md	242	263	2d9ab50fe5b1ccbf	P6 (website)	**Suppress namespaces for a rule:**
website/docs/getting-started/configuration.md	265	284	9836dfde9397650f	P6 (website)	**Suppress selected namespace-aggregate channels for a rule:**
website/docs/getting-started/configuration.md	327	335	a03f4c0b8fc83ef3	P6 (website)	!!! info "Works for every rule, including the architecture rules"
website/docs/getting-started/configuration.md	337	346	fc9a231ca95ba9dd	P6 (website)	**Suppress paths for a rule:**
