row_id	file	line	class	counterpart	severity	source_report	note
R001	tests/Analysis/Finding/Unit/ChannelDeclarationCompilerPassTest.php		misplaced		low	01-finding,01b-groupB	the only *CompilerPassTest outside tests/Infrastructure; the owning SUT is Infrastructure\DependencyInjection\CompilerPass
R002	tests/Analysis/Finding/Unit/FindingTest.php	28	dupe	tests/Analysis/Finding/Unit/FindingTest.php	medium	01-finding,01b-groupB	five itGetFingerprintFor* tests (28-123) guard one fact: getFingerprint() does not read symbolPath at all
R003	tests/Analysis/Finding/Unit/LocationTest.php		tautology		high	01-finding,01b-groupB	itLocationIsReadonly does not check immutability — the test's own comment admits this
R004	tests/Analysis/Finding/Unit/LocationNullFileTest.php		dupe	tests/Analysis/Finding/Unit/LocationTest.php	medium	01-finding,01b-groupB	itLocationNoneCarriesNullFile almost fully coincides with LocationTest::itNoneCreatesLocationWithoutFile
R005	tests/Analysis/Finding/Unit/AnalysisContextThresholdTest.php	78	name-lies		high	01-finding,01b-groupB	three tests (78-192) are named after a line-number boundary, but every call uses the same subject without a line number — the boundary never varies
R006	tests/Analysis/Finding/Unit/RuleExclusionStatsTest.php		other		low	01-finding,01a-groupA	namespace Tests\Unit\Analysis\RuleExecution does not match the physical path — a trace of the old layout
R007	tests/Analysis/Finding/Unit/RuleNamespaceExclusionProviderTest.php		other		low	01-finding,01a-groupA	the first two tests check RuleOptionsRegistry, not the SUT declared in CoversClass
R008	tests/Analysis/Finding/Unit/RuleOptionWordSetDeclarationAgreementTest.php		stale-doc		low	01-finding,01a-groupA	the docblock promises every declaration in the tree, but the provider is a hand-written list of three pairs
R009	tests/Analysis/Finding/Unit/RuleExecutorTest.php		other		low	01-finding,01a-groupA	the test class name does not follow the SUT name (RuleExecution)
R010	tests/Analysis/Finding/Unit/RuleThresholdKeyGroupRegistryCompletenessTest.php		dupe	tests/Analysis/Finding/Unit/RuleThresholdKeyGroupRegistryDriftTest.php	medium	01-finding,01a-groupA	both run the AST parser over all of src/ for the same registry; run cost is doubled
