surface	universe	owner	language	ingress	matcher	consumer	exception
configuration.suppress_paths	project-relative paths	Reporting.FindingProjection	explicit-selector	src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php	src/Core/Pattern/PathMatcher.php	src/Reporting/FindingProjection/FindingProjector.php	-
configuration.suppress_namespaces	PHP namespaces	Reporting.FindingProjection	explicit-selector	src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php	src/Core/Pattern/NamespaceMatcher.php	src/Reporting/FindingProjection/FindingProjector.php	-
configuration.rules.*.suppress_paths	finding file paths	Analysis.Finding	explicit-selector	src/Analysis/Finding/RuleConfiguration/RuleOptionsFactory.php	src/Core/Pattern/PathMatcher.php	src/Analysis/Finding/Exclusion/RulePathExclusionProvider.php	-
configuration.rules.*.suppress_namespaces	finding namespaces	Analysis.Finding	explicit-selector	src/Analysis/Finding/RuleConfiguration/RuleOptionsFactory.php	src/Core/Pattern/NamespaceMatcher.php	src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php	-
configuration.rules.*.suppress_namespace_channels.*	finding namespaces	Analysis.Finding	explicit-selector	src/Analysis/Finding/RuleConfiguration/RuleOptionsFactory.php	src/Core/Pattern/NamespaceMatcher.php	src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php	channel keys use closed-identity
cli.--suppress-path	project-relative paths	Infrastructure.Console	explicit-selector	src/Infrastructure/Console/CliSelectorDecoder.php	src/Core/Pattern/PathMatcher.php	src/Infrastructure/Console/FindingFilterOrchestrator.php	-
cli.--suppress-namespace	PHP namespaces	Infrastructure.Console	explicit-selector	src/Infrastructure/Console/CliSelectorDecoder.php	src/Core/Pattern/NamespaceMatcher.php	src/Infrastructure/Console/FindingFilterOrchestrator.php	-
cli.--namespace	PHP namespaces	Reporting.DrillDown	explicit-selector	src/Infrastructure/Console/FormatterContextFactory.php	src/Core/Pattern/NamespaceMatcher.php	src/Reporting/DrillDown/FindingFilter.php	--class remains exact
cli.graph-export.--namespace	PHP namespaces	Reporting.GraphProjection	explicit-selector	src/Infrastructure/Console/Command/GraphExportCommand.php	src/Core/Pattern/NamespaceMatcher.php	src/Reporting/GraphProjection/NamespaceFilter.php	-
cli.graph-export.--exclude-namespace	PHP namespaces	Reporting.GraphProjection	explicit-selector	src/Infrastructure/Console/Command/GraphExportCommand.php	src/Core/Pattern/NamespaceMatcher.php	src/Reporting/GraphProjection/NamespaceFilter.php	-
configuration.exclude	project-relative directories	Analysis.Run	explicit-selector	src/Analysis/Run/Configuration/RunConfigurationResolver.php	src/Core/Pattern/PathMatcher.php	src/Analysis/Run/Discovery/DirectoryPruner.php	analysis roots remain exact paths
cli.--exclude	project-relative directories	Analysis.Run	explicit-selector	src/Infrastructure/Console/ConfigurationInputAdapter.php	src/Core/Pattern/PathMatcher.php	src/Analysis/Run/Discovery/DirectoryPruner.php	analysis roots remain exact paths
configuration.coupling.framework_namespaces	class FQCNs	Analysis.Evidence.Coupling	explicit-selector	src/Analysis/Evidence/Coupling/CouplingAnalysis.php	src/Core/Pattern/NamespaceMatcher.php	src/Analysis/Evidence/Coupling/CouplingAnalysis.php	Composer auto-detection is not authored selector input
configuration.rules.coupling.distance.include_namespaces	namespace metrics	Analysis.Evidence.Coupling	explicit-selector	src/Analysis/Evidence/Coupling/DistanceOptions.php	src/Core/Pattern/NamespaceMatcher.php	src/Analysis/Evidence/Coupling/DistanceRule.php	-
configuration.architecture.layers.*.patterns	class FQCNs	Analysis.Policy.Architecture	architecture-binding-dsl	src/Analysis/Policy/Architecture/Configuration/LayersValidator.php	src/Analysis/Policy/Architecture/Layer/CapturePattern.php	src/Analysis/Policy/Architecture/Layer/LayerCriteriaMatcher.php	binding DSL is not a boolean Core selector
configuration.architecture.layers.*.exclude.patterns	class FQCNs	Analysis.Policy.Architecture	architecture-binding-dsl	src/Analysis/Policy/Architecture/Configuration/ExcludeBlockValidator.php	src/Analysis/Policy/Architecture/Layer/CapturePattern.php	src/Analysis/Policy/Architecture/Layer/Expansion/TupleExtractor.php	binding DSL is not a boolean Core selector
configuration.architecture.allow.*	layer names	Analysis.Policy.Architecture	architecture-binding-dsl	src/Analysis/Policy/Architecture/Configuration/Allow/LayerSelectorParser.php	src/Analysis/Policy/Architecture/Configuration/Allow/LayerSelector.php	src/Analysis/Policy/Architecture/Configuration/Allow/LayerSelector.php	binding DSL is not a boolean Core selector
configuration.only_rules-disabled_rules	rule and channel identities	Analysis.Finding	closed-identity	src/Analysis/Finding/Contract/Rule/NameSelector.php	src/Analysis/Finding/Contract/Rule/NameSelector.php	src/Analysis/Finding/RuleExecution.php	exact identity or strict-descendant X.* only
inline.qmx-ignore	channel identities	Analysis.Policy.Inline	closed-identity	src/Analysis/Policy/Inline/Contract/SuppressionExtractor.php	src/Analysis/Finding/Contract/Rule/NameSelector.php	src/Analysis/Policy/Inline/Contract/SuppressionExtractor.php	exact identity or strict-descendant X.* only
inline.qmx-threshold	producer identities	Analysis.Policy.Inline	closed-identity	src/Analysis/Policy/Inline/Contract/ThresholdOverrideExtractor.php	src/Analysis/Finding/Contract/Rule/ProducerName.php	src/Analysis/Policy/Inline/Contract/ThresholdOverrideExtractor.php	exact identity only
configuration.exclude_health	health dimensions	Analysis.Evidence.ComputedMetrics	closed-identity	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	closed vocabulary
configuration.rule-specific-allow-lists	rule-owned semantic names	Analysis.Evidence	closed-identity	src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	rule-owned exact or semantic-prefix contracts
cli.baseline-cleanup.--remove	baseline entry handles	Analysis.Policy.Baseline	closed-identity	src/Analysis/Policy/Baseline/EntrySelector.php	src/Analysis/Policy/Baseline/EntrySelector.php	src/Infrastructure/Console/Command/BaselineCleanupCommand.php	exact 12-hex handle
cli.baseline-explain.--channel	channel identities	Infrastructure.Console	closed-identity	src/Infrastructure/Console/Command/BaselineExplainCommand.php	src/Analysis/Finding/Contract/Rule/NameSelector.php	src/Infrastructure/Console/Command/BaselineExplainCommand.php	exact channel identity
cli.rules.--group	display groups	Infrastructure.Console	closed-identity	src/Infrastructure/Console/Command/RulesCommand.php	src/Infrastructure/Console/Command/RulesCommand.php	src/Infrastructure/Console/Command/RulesCommand.php	closed vocabulary
cli.debug-layer-assignment.class	class FQCN	Infrastructure.Console	closed-identity	src/Infrastructure/Console/Command/Debug/LayerAssignmentCommand.php	src/Infrastructure/Console/Command/Debug/LayerAssignmentCommand.php	src/Infrastructure/Console/Command/Debug/LayerAssignmentCommand.php	exact analyzed class
