13	OPEN	A step that renames an aggregation strategy has no shape to declare it	Nothing needs it yet; the plan renames keys, not strategies.	a declaration whose unit is the strategy rather than the key, applied to the suffix of every expanded spelling
27	OPEN	The overlap check cannot see a reference-only key shaped like an aggregation	Re-measure then, and this entry goes away rather than being restated.	re-measure once Ш5e3's eleven literals become constants; until then a reference-only key shaped like an aggregation of a declared key can be silently absorbed
47	CLOSED	The corpus no longer proves a user formula that reads a metric key	Closed by Ш6, package П1 (2026-08-29).
69	CLOSED	The type-coverage tie is out of the corpus for one step	Closed by Ш6, package П1 (2026-08-29).
90	OPEN	The metric key and the channel it checks are one string, and one guard pays	What would close it: nothing textual can. It needs a reference a literal cannot fake -- a channel code carried as a value object rather than a string at the sites that copy it.	need a channel-code value object at copying sites so the ownership guard covers names that are also metric keys
108	OPEN	Words, not spellings: `ccn` / `cyclomatic`, `mi` / `index`, `dit` / `inheritance`	Neither follows from a decision already taken, so the step that closes this measures the radius of both and picks one.	decide and measure whether to rename the metric words or the three channel names (ccn/cyclomatic, mi/index, dit/inheritance)
129	OPEN	`AnalysisResult` glues three unrelated subjects into one VO	Not attempted here: Ш6's contract names AnalysisResult as a pass-through carrier, not as the layout to fix, and fixing it would touch Reporting and Console call sites that are П4's and П5's territory, not П2's.	split AnalysisResult into three VOs (measured facts, controls-in-force, rule verdict) instead of flattening them into one
169	CLOSED	The suppressed composition is outside the equivalence gate for one step	Closed by package Х3-B1 (2026-09-02).
190	OPEN	`contract_surface` cannot express a chain through another owner's carrier	What would close it: either extending the relation to a carrier chain with every link checked, or revisiting the same-owner requirement while naming what is checked instead.	extend contract_surface to multi-link carrier chains, or revise the same-owner carrier rule
222	OPEN	Путь парсера покрывает 6 из 27 классов `ThresholdAware` (измерено в П1)	Решение о том, доводить ли путь парсера до всех 27, принимает владелец: цена -- 21 сквозной кейс, выгода -- закрытие того класса дефектов, который однажды уже доехал до релиза.	owner decision pending on extending parser-path coverage from 6 to all 27 ThresholdAware classes
256	CLOSED	Прямой `vendor/bin/phpunit` без `--no-coverage` не исполняет ни одного теста	Закрыто пакетом Х3-A2 (2026-09-02).
284	OPEN	Порядок регистрации каналов наблюдаем через подсказку «closest to it»	Решение владельца, 2026-08-23: не делать этого в Ш3, потому что шаг с объявленной дельтой перестал бы доказываться пустыми картами гейта.	total ordering of hint candidates by (distance, name) so registration order stops leaking into finding text
314	OPEN	Одно явление -- два разных инструмента принятия: ратчет у П1, точечные пороги у П3	Решение владельца 2026-08-31: правило в AGENTS.md сейчас не пишется... Поправка к ложному правилу остаётся здесь и действует как поправка.	decide whether to codify the subject-level selection rule (declaration carrier -> pointed threshold; namespace -> ratchet) in AGENTS.md
366	OPEN	Слово `exclude` покрывает три механизма, из которых два -- подавление	Что закроет: отдельный шаг словарного захода, решающий заодно, остаются ли два разных подавления двумя ключами или сливаются в один с уровнем применения.	separate vocabulary-pass step to rename exclude/suppress config keys
394	CLOSED	Ни наше дерево, ни корпус гейта не подают вход, на котором правка видна	Закрыто пакетом Х3-B2 (2026-09-02).
430	CLOSED	Коммит исполнения переписал собственный отревьюенный план	Правило на дальше, действует с П2: правка плана -- отдельный коммит перед кодом, с причиной в теле.
448	OPEN	Второй вход пайплайна стоил классу перехода warning → error по связности	Что закроет: разделение пайплайна на подготовку прогона и его потребителей -- работа своего масштаба, не хвост пакета.	split AnalysisPipeline into run-preparation and its consumers
461	CLOSED	Вердикты молчат, когда выключен сам продюсер директив	Закрыто в П4: подготовкой директив независимо от enablement правила.
482	PARTIAL	`Overrun` не различает направления границы	Разделение вердикта надвое остаётся открытым и возможно только после того, как понятие направления появится у слоя правил.	splitting the Overrun verdict into two (tightened vs raised) needs a "direction" concept in the rule layer
502	CLOSED	Семь команд консоли стоят ровно на когезии 40, и все -- в ратчете	Закрыто пакетом Х3-C2, гигиена ратчета (2026-09-03).
525	OPEN	Отчёт команды печатает пути относительно корня проекта, и только их	Что закроет: печать корня прогона в шапке рядом с охватом -- работа на одну строку, но она меняет обе проекции и потому не хвост чужого пакета.	print the run root next to scope in the report header
536	CLOSED	Прогресс идёт в тот же поток, что и полезная нагрузка	Закрыто пакетом Х3-G (2026-09-03).
576	PARTIAL	Диагностика идёт мимо кадра прогресса, и её фолбэки не сведены	Остаётся: предупреждение WorkerBootstrap пишется в STDERR дочернего процесса (см. запись Х5 ниже) -- этот шов новым владельцем не покрыт, потому что он в другом процессе.	WorkerBootstrap's stderr warning in the worker child process is not covered by the new stream owner
622	CLOSED	`check` и `directives` расходятся о подавлении позднего канала	Закрыто заходом Х4, пакет 2 (2026-09-03).
