# HOW THIS WAS PRODUCED
#
# Read: finding-gate/README.md; scripts/finding-gate/RenameMaps.php (full docblock
# and SURFACES/FILES constants); scripts/finding-gate/MetricVocabulary.php;
# docs/adr/0024-channel-identity-and-selector-semantics.md;
# docs/adr/0025-channel-selectors-in-configuration-keys.md;
# src/Infrastructure/Console/Command/BaselineRenameChannelsCommand.php;
# src/Analysis/Policy/Baseline/ChannelRenameMap.php;
# src/Analysis/Policy/Baseline/BaselineGenerator.php,
# src/Analysis/Policy/Baseline/BaselineUpdater.php (what a baseline entry stores);
# src/Analysis/Policy/Baseline/InertEntryReason.php;
# src/Infrastructure/Console/FindingFilterOrchestrator.php;
# src/Analysis/Configuration/ConfigSchema.php (ENTRIES, ARCHITECTURE PRESERVE_SUBTREE,
# identifierKeyedOptions);
# src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php;
# src/Infrastructure/Console/ChannelExclusionKeyValidator.php;
# src/Analysis/Configuration/Pipeline/RuleNameValidator.php;
# src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php;
# src/Analysis/Policy/Inline/Directive/DirectiveAddressability.php;
# src/Reporting/Formatter/Sarif/SarifFormatter.php,
# src/Reporting/Formatter/Sarif/SarifRuleCollector.php;
# src/Reporting/Formatter/GitLabCodeQualityFormatter.php;
# src/Reporting/Formatter/CheckstyleFormatter.php;
# src/Reporting/Formatter/Json/JsonFindingSection.php;
# src/Infrastructure/Cache/CacheKeyGenerator.php.
#
# Measured on a scratch corpus under
# /private/tmp/claude-501/.../scratchpad/x11-measure (one fixture class per
# surface, `bin/qmx check`/`directives`/`baseline:generate` run from the repo
# root against that scratch tree). "Renaming a channel/metric key" was
# simulated the way the plan's own steps make it real: a name the product does
# NOT declare was written where the OLD (pre-rename) name would sit after the
# real rename lands — the observable effect is identical either way, because
# in both cases the consuming surface holds a spelling the running binary does
# not recognise. Each row's notes says "measured" (this technique was applied
# and the output is quoted/summarized above the row) or "read-only" (code was
# read, not exercised).
#
# WHAT THIS METHOD DOES NOT SEE
#
# - Any consumer-side automation OUTSIDE this repository: a CI job's own grep
#   over checkstyle `source=`, a saved SARIF baseline used for suppression in a
#   code-scanning UI, a GitLab "resolved" issue tracked by fingerprint, a
#   dashboard keyed by JSON `channel`/`code`. Their existence is inferred from
#   what the formatters publish (file:line below), not observed running.
# - Config surfaces not yet reachable from a scratch qmx.yaml this session had
#   time to build (e.g. every `architecture.yaml` layer-selector shape, every
#   preset field). The open list in the brief was covered breadth-first, not
#   exhaustively fuzzed.
# - Anything a future step could add between X11 and the actual rename step;
#   this is a snapshot of `claude/x11-final-vocabulary` at 2026-09-07.
# - Whether an as-yet-unwritten consumer integration (e.g. a hypothetical
#   IDE plugin) reads any of these strings; only the product's own formatters
#   were inspected.
#
surface	where_it_lives	what_names_appear	effect_after_rename	detected_by	migratable_by_shipped_command	notes
baseline file "channel" field	consumer	channel	BaselineChannelRenamer rewrites ONLY the "channel" field of each baseline entry (src/Infrastructure/Console/Command/BaselineRenameChannelsCommand.php:17-30, doc: "Rewrite the channel names ... nothing else: subject keys, occurrence, count, magnitudes, mode and edge are carried through untouched"). No other baseline field carries a metric key: an entry has {channel, occurrence, count[, magnitude/mode/edge]} only (src/Analysis/Policy/Baseline/BaselineGenerator.php:131, BaselineUpdater.php:271 — magnitude is a bare number). An un-migrated old channel makes the entry inert: FindingFilterOrchestrator.php:179 prints "N baseline entries could not be applied and are not suppressing anything", InertEntryReason.php:60 names the reason UndeclaredChannel, and the finding that would have been suppressed is reported at its own severity instead.	exit code 2 (findings), explicit stderr block naming the inert entries and the reason; not silent	yes	measured: generated a real baseline, hand-edited one entry's "channel" to an unknown string, ran `check --baseline=...`. Output quoted above. Because the baseline schema carries no metric-key field at all, the shipped command's declared scope ("rewrites the channel field") is coextensive with the baseline file's entire name surface — nothing is left out BY CONSTRUCTION of this one surface.
qmx.yaml `rules:` top-level key (rule name)	consumer	both (rule name is also usually the channel prefix)	RuleNameValidator refuses the whole config at load time: "Unknown rule "<name>" in <file>" (src/Analysis/Configuration/Pipeline/RuleNameValidator.php:72), exit 3, before any file is analysed.	config-load refusal (exit 3), not an annotation.directive channel	no	measured: `rules: {code-smell.nonexistent-rule: {threshold: 1}}` -> exit 3, message quoted above. Distinct file from the baseline; `baseline:rename-channels` never touches qmx.yaml.
qmx.yaml `rules.<rule>.suppress_namespace_channels` keys (ADR 0024/0025 channel selector, incl. `#` pair form)	consumer	channel	RuleNamespaceExclusionProvider validates every key against the ADR 0024 grammar and against the owning rule's declared channels; an unresolvable key ends the run with a config error naming the rule's real channels (src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php:84-135; docs/adr/0025-channel-selectors-in-configuration-keys.md Decision 4). The CLI path additionally runs ChannelExclusionKeyValidator before analysis starts (src/Infrastructure/Console/ChannelExclusionKeyValidator.php); a caller reaching the provider directly instead gets silent no-op per that same ADR's "Consequences" section.	config-load refusal (exit 3) via CLI; silent no-op if a hypothetical direct caller bypassed the CLI validator (ADR 0025, no such caller exists today per the ADR text)	no	measured: `suppress_namespace_channels: {code-smell.nonexistent-channel: [Corpus]}` under `code-smell.boolean-argument` -> exit 3, message: 'Option "suppress_namespace_channels" for rule "code-smell.boolean-argument" is keyed by "code-smell.nonexistent-channel", which addresses no channel...'.
qmx.yaml / user preset YAML `only_rules` and `disabled_rules` (also `--only-rules`/`--disable-rule` CLI)	consumer	both (name is matched against producer, group, or channel — RuleSelector one-part branch, ADR 0024 Decision 2)	RuleSelector rejects an unresolvable selector before analysis: "Rule selector "<name>" does not match any registered producer, group, or channel." Same code path for the CLI flag and the `only_rules`/`disabled_rules` config keys.	config-load / CLI-arg refusal (exit 3), not a finding	no	measured both the CLI flag (`--disable-rule=code-smell.nonexistent-rule`) and the config key (`only_rules: [code-smell.nonexistent-rule]`); both exit 3 with the same message text.
CLI `--rule-opt RULE:option=value` (RULE half)	consumer	both	RuleOptionsRegistry/CLI validator rejects an unresolvable owner: "Rule option owner "<name>" does not match any registered producer rule." Distinct message from the selector one above, so a stale name here is diagnosed as an option-owner problem, not a selector problem.	CLI-arg refusal (exit 3)	no	measured: `--rule-opt=code-smell.nonexistent-rule:threshold=1` -> exit 3, message quoted above. Known trap (project memory `rule_opt_syntax_trap.md`): the flag requires the colon form `rule:option=value`; a dotted form is silently ignored rather than refused — a DIFFERENT hazard from a stale rule name, not re-measured here.
CLI `--fail-on`	consumer	neither	Value domain is a severity level (`error`/`warning`/`none`), never a channel or metric-key name — confirmed by CheckCommand.php help text ("--fail-on=warning" is a severity, not a name). Not a migration surface.	n/a	n/a (not applicable)	read-only: grepped `CheckCommand.php` for FAIL_ON usage; no name-carrying value found.
qmx.yaml `computed_metrics.<name>.formula` (`m["<metric-key>"]` grammar)	consumer	metric-key	ComputedMetricFormulaValidator resolves every `m["..."]` reference against the closed metric-key vocabulary at config-load time and refuses the whole run on the first unknown one: "Computed metric "<name>" references unknown metric key "<key>" in formula: <formula>" (src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php:240).	config-load refusal (exit 3)	no	measured: a `computed.branch-load` formula reading `m["complexity.nonexistent-key.avg"]` -> exit 3, message quoted above (note this exercises the SAME `<key>.<strategy>` suffixed spelling the FOLLOWUPS aggregation-suffix question is about — see file 2's header answer).
qmx.yaml `architecture.*` layer selectors / `exclude`/`relations` (PRESERVE_SUBTREE section)	consumer	neither directly (architecture layer names are user-defined, not product channel/metric names) — the FOUR layer-policy diagnostic CHANNELS (`architecture.coverage`, `architecture.unreachable-layer`, `architecture.potential-shadow`, `architecture.empty-template`, per ADR 0024) are addressable the same way as any other channel through `disabled_rules`/`only_rules`/`suppress_paths`/inline directives, already covered by those rows.	n/a for the section itself; channel selectors inside it fall under the rows above	n/a	no separate mechanism found; treated as already covered rather than double-counted	read-only: docs/adr/0024 Context section names the four layer-policy channels explicitly; ConfigSchema.php:242-244 PRESERVE_SUBTREE policy for `architecture` was read but not separately exercised, since it governs user-defined layer names, not product vocabulary.
`@qmx-ignore <channel>` inline directive (source of the consumer being analysed)	consumer	channel	Resolved per-file by DirectiveAddressability against the live channel universe. An unresolvable old name is NOT silently dropped and does NOT stop the run: it is surfaced as its own finding, `annotation.unresolved-directive`, message 'Suppression "<name>" addresses no channel. No declared name is close to it.' (src/Analysis/Policy/Inline/Directive/DirectiveAddressability.php:133). The finding it was meant to suppress is reported normally alongside it.	a finding in the normal report (own severity, typically ERROR), plus `bin/qmx directives` classifies it "unmeasured"	no (nothing rewrites source comments)	measured via both `bin/qmx check --detail` and `bin/qmx directives`; both outputs quoted above.
`@qmx-threshold <rule> ...` inline directive	consumer	both (addresses a rule, per ADR 0024 Decision 2, no wildcard)	Same DirectiveAddressability mechanism, same finding channel `annotation.unresolved-directive`, message '@qmx-threshold "<name>" names no rule. No declared name is close to it.'	a finding in the normal report	no	measured: quoted above (first attempt used bad override syntax and instead hit `annotation.invalid-threshold`, a DIFFERENT diagnostic for a malformed value — re-measured with correct syntax to isolate the name-resolution failure).
