row_id	verdict	evidence
R060	fixed	0b754a17 moved CoverageProjectionFormatterTest from tests/Reporting/Functional/ to tests/Reporting/Integration/ (builds the DI container directly, does not run the CLI)
R061	fixed	0b754a17 moved JsonShapePreservationTest from tests/Reporting/Functional/Formatter/ to tests/Reporting/Unit/Formatter/ (CoversNothing, wires four formatters in memory, no I/O or container)
R062	fixed	3b7980c0 moved ConfigurationErrorProjectionTest from tests/Reporting/Unit/FindingProjection/ to tests/Reporting/Integration/FindingProjection/ (createEmptyGitScope() runs a real `git init` via Symfony Process against a real temp directory)
R063	fixed	3b7980c0 moved FindingProjectorTest from tests/Reporting/Unit/FindingProjection/ to tests/Reporting/Integration/FindingProjection/ (some of its 36 methods use createGitScope(), which runs real git subprocesses against a real temp directory)
R064	fixed	3b7980c0 moved ProjectScopedChannelProjectionTest from tests/Reporting/Unit/FindingProjection/ to tests/Reporting/Integration/FindingProjection/ (createEmptyGitScope() runs a real `git init` via Symfony Process against a real temp directory)
R066	fixed	02cbae2a removed the three assertions FindingExclusionShapeRefusalTest duplicated from its counterpart ConfiguredFindingExclusionsResolverTest (same SUT: bare number accepted as a path, bare number refused as a namespace, suppress_paths refused as a map); kept the cases with no counterpart
R067	wont-fix	re-read the body: no #[CoversClass]/#[CoversNothing] attribute at all, and the file is entry 'tests/Reporting/Unit/FindingExclusionShapeRefusalTest.php' in governance/TestSuiteHygiene/subject-path-exceptions.php's declares_no_coverage list ("declares no coverage attribute") — stage 04's invariant permits this path; the row is a question about that invariant, not a misfiling
R068	wont-fix	re-read the body: no #[CoversClass]/#[CoversNothing] attribute, and the file is entry 'tests/Reporting/Unit/OutputFormatRefusesUnexecutableValuesTest.php' in governance/TestSuiteHygiene/subject-path-exceptions.php's declares_no_coverage list ("declares no coverage attribute") — permitted by stage 04's invariant, not a misfiling
R069	wont-fix	re-read the body: no #[CoversClass]/#[CoversNothing] attribute, and the file is entry 'tests/Reporting/Unit/OutputFormatResolverTest.php' in governance/TestSuiteHygiene/subject-path-exceptions.php's declares_no_coverage list ("declares no coverage attribute") — permitted by stage 04's invariant, not a misfiling
R070	wont-fix	re-read the body: ArchitectureViolationSmokeTest wires ~10 real formatters directly in memory (no ContainerFactory, no Symfony Process, no real filesystem I/O) — the same shape R061 (JsonShapePreservationTest) confirms as correct for Unit/. category-wrong requires a subprocess, real I/O or a built DI container; none is present, so the row does not hold against the current body
R071	already-fixed	7a89a3ad ("Every test file sits at its manifest owner (#82)") renamed tests/Unit/Reporting/Formatter/HealthTextFormatterTest.php to tests/Reporting/Unit/Formatter/Health/HealthTextFormatterTest.php, next to its SUT src/Reporting/Formatter/Health/
R072	already-fixed	7a89a3ad renamed tests/Unit/Reporting/Formatter/HtmlFormatterTest.php to tests/Reporting/Unit/Formatter/Html/HtmlFormatterTest.php, next to its SUT src/Reporting/Formatter/Html/
R073	already-fixed	7a89a3ad renamed tests/Unit/Reporting/Formatter/JsonFormatterTest.php to tests/Reporting/Unit/Formatter/Json/JsonFormatterTest.php, next to its SUT src/Reporting/Formatter/Json/
R074	already-fixed	7a89a3ad renamed tests/Unit/Reporting/Formatter/SarifFormatterTest.php to tests/Reporting/Unit/Formatter/Sarif/SarifFormatterTest.php, next to its SUT src/Reporting/Formatter/Sarif/
R075	already-fixed	7a89a3ad renamed tests/Unit/Reporting/Formatter/SummaryFormatterTest.php to tests/Reporting/Unit/Formatter/Summary/SummaryFormatterTest.php, next to its SUT src/Reporting/Formatter/Summary/
R076	fixed	eb1055bf moved SarifRuleCollectorTest from tests/Reporting/Unit/Formatter/Sarif/ to tests/Reporting/Integration/Formatter/Sarif/ (setUp() builds the real DI container via ContainerFactory to obtain ChannelPresentationInterface)
R233	wont-fix	byte-identical body but a distinct SUT per file: this method's $this->formatter is a GitLabCodeQualityFormatter here and a SarifFormatter in the counterpart, each with its own format() producing a structurally different wire shape (GitLab Code Quality array vs SARIF 2.1.0). Same generic "produces valid JSON" smoke assertion exercised against a different SUT, not duplicate coverage — consistent with the Json/Sarif formatter slice's empty defect table after full body reads
R234	wont-fix	counterpart of R233, same ruling: SarifFormatter vs GitLabCodeQualityFormatter, distinct format() implementations behind an identical assertion body
R235	wont-fix	byte-identical body but a distinct SUT: this method's $this->formatter is a JsonFormatter here vs a SarifFormatter in the counterpart (tests/Reporting/Unit/Formatter/Sarif/SarifFormatterTest.php), each with its own format() producing a structurally different wire shape. Same ruling as R233/R234
