row_id	verdict	evidence
R001	fixed	1c32d10e moved ChannelDeclarationCompilerPassTest to tests/Infrastructure/DependencyInjection/Unit/CompilerPass/, the owner its only CoversClass names and where the nine sibling compiler-pass tests live
R002	fixed	f346979c replaced the five itGetFingerprintFor* cases with one provider case per symbol-path shape; the fact all five asserted is that getFingerprint() reads neither the symbol path nor the location, and every shape is still exercised
R004	fixed	f346979c deleted LocationNullFileTest::itLocationNoneCarriesNullFile; LocationTest::itNoneCreatesLocationWithoutFile asserts the same four facts and the line as well, so the deleted case was a strict subset. LocationTest belongs to P1 and was not touched
R006	fixed	1c32d10e renamed the namespace to Qualimetrix\Tests\Analysis\Finding\Unit so it follows the path; the namespace-path-allow-list row for the file is now stale and needs the orchestrator's derive
R007	fixed	f346979c declared CoversClass(RuleOptionsRegistry) beside the provider's: the two cases assert the registry's facade answers without provider access, which is a claim about the pair and belongs beside the provider, not moved into the registry's own file
R009	fixed	f346979c renamed RuleExecutorTest to RuleExecutionTest, the class its CoversClass declares and the only one that exists; the one class-plus-method literal naming it, in scripts/generate-modular-architecture-test-inventory.php, moved in the same commit
R011	fixed	f346979c deleted RuleOptionsFactoryTest::itResetsState, a strict subset of itResetsClearsAllState in the same file. Reading both SUT methods settled the direction: reset() and resetRuntimeState() have identical bodies, but RuleConfigurationIsolationTest is the only case asserting the selection and capture flags, so it stays
R012	fixed	1c32d10e rewrote the docblock to say why the file declares CoversNothing - every case runs a different capability's real rule and the subject is the resolution mechanism no one class owns - which is the stale-doc repair that keeps the attribute and the statement of intent
R018	wont-fix	the note's premise does not hold on the body: the file reads DirectiveNameHints::SUGGESTION_DISTANCE from the product and its docblock states why it computes levenshtein() itself rather than calling the hint builder. Its CoversClass is ChannelUniverseInterface, an Analysis.Finding subject, which is the directory it sits in; src/Analysis/Policy/Inline/Directive/DirectiveNameHints.php names its current FQCN
R021	already-fixed	7a89a3ad moved FindingFactory to tests/Analysis/Policy/Baseline/Support/, beside the eight consumers the row names
R022	fixed	1c32d10e repointed the docblock at Qualimetrix\Governance\Channel\ChannelDeclarationFixtureDriftTest; the cited namespace stopped existing at c49fc0b4
R023	fixed	1c32d10e renamed the file and class to AbstractRuleThresholdSeamTest and declared CoversClass(AbstractRule): the body is one ordinary unit case about getEffectiveSeverity() and the control genre the old name promised never arrived, so the name follows the body
R026	fixed	dfa67394 moved BaselineChannelRenamerTest to tests/Analysis/Policy/Baseline/Integration/; the body takes real flock handles, creates symlinks, writes temp trees and spawns a child process through proc_open to hold a lock from outside
R027	fixed	dfa67394 moved BaselineWriterTest to tests/Analysis/Policy/Baseline/Integration/; the body uses real flock, symlinks and a temp directory
R028	fixed	dfa67394 moved BaselineRoundTripVOTest to tests/Analysis/Policy/Baseline/Integration/; it drives BaselineWriter and BaselineLoader against a real temp directory and asserts what survives the round trip
R029	fixed	dfa67394 moved ConfigurationErrorChannelRejectionTest to tests/Analysis/Policy/Baseline/Integration/ and declared the five Baseline components it exercises; declaring only ChannelDeclaration is what put it on the covers_another_owner list, and that row is now stale
R033	fixed	dfa67394 moved ThresholdOverrideIntegrationTest to tests/Analysis/Policy/Inline/Integration/; its own name and docblock call it integration and it wires seventeen cooperating classes. Its covers_another_owner row is now stale
R035	fixed	1c32d10e rewrote the docblock line: buildPolicy() lists domain under controller, so Controller -> Domain is allowed by the allow-list, not forbidden by it
R036	wont-fix	both bodies and both subjects read: Phase1ConfigCompatibilityTest builds its configuration through the real ArchitectureConfigurationFactory from a Phase-1 YAML shape, LayerViolationIntegrationTest builds ArchitectureConfiguration programmatically through LayerRegistry and AllowListBuilder and never touches YAML. The same fixture and the same expected findings are the compatibility claim, not duplication; deleting either loses a guarantee the other never makes
R038	already-fixed	7a89a3ad moved the file from tests/Integration/Architecture to tests/Analysis/Policy/Architecture/Integration/
R133	fixed	6b703e8d moved ConfigSchemaCoverageTest to tests/Analysis/Configuration/Unit/; the body is one static call and one refusal, with no I/O, no container and no second participant. The target directory was already registered
R136	fixed	6b703e8d deleted DeadConfigurationKeysTest and added itRejectsTheRemovedAggregationRootRegardlessOfItsChildren to YamlConfigLoaderTest. Two of the four provider cases name the removed namespace root, which the counterpart already refuses twice with the message pinned; the other two name aggregation, a word the schema carries nowhere, and no generic unknown-key case would notice it being accepted again, so that half moved rather than went
R137	fixed	6b703e8d merged itReturnsNoContributionForAnAbsentOwnerKey into AnalysisConfigurationTest and deleted AnalysisConfigurationCacheDirResolutionTest; its other case restated the working directory and the contribution list that AnalysisConfigurationTest already asserts separately, and both files covered ConfigurationDocument
R141	fixed	5fce4131 rewrote the class docblock, which announced three live pipeline defects and said every case must fail until they are fixed; all three are fixed, every case is green, and the docblock now says what the file guards and why the cases are kept
R142	fixed	5fce4131 moved the source-text half to governance/ModularOwnership/DependencyGraphAnalyzerTraversalSeamTest.php, beside the other ownership controls, and left the reflection half in the unit file under a name that states its own claim. The new control was reddened by planting the banned segment into the analyzer and rolled back from a copy taken beforehand
R143	fixed	5fce4131 deleted itSkipsNonExistentAbsolutePath, which asserted the same empty result on the same scenario as FinderFileDiscoveryTest::itSkipsNonExistentPaths and said nothing about the AbsolutePath key this file exists to pin. The other overlaps are scenario-only: the counterpart asserts which files come back, this file asserts what the iterator keys them by, and neither of the counterpart's multi-path cases asserts deduplication
R152	wont-fix	the body does not meet the class: no I/O, no process, no container. It asserts a ratio between two fromString() calls whose failure value is fixed at ~1.0 by construction, not a wall-clock budget, and it has been that shape since before 585b7c72 - the note describes the nanosecond-budget generation the file's own docblock records as retired. No level directory exists that would change what it does
R154	fixed	2f315402 deleted itRepeatsTheSameAnswerForARepeatedQuestion; ordinalOf() registers the pair it is asked about, and itKeepsAnAlreadyAnsweredRankWhenALaterDeclarationArrives asks twice as well while additionally surviving a registration in between. The row's other half stays: itAnswersAnUnregisteredPairInsteadOfRejectingIt reaches ordinalOf() with nothing registered, which itRanksPositionsOfOneKeyInSourceOrder cannot do because it registers first
R178	fixed	6b703e8d deleted itRegistersThePresetStageInThePipeline; itRegistersAllStagesWithTheCorrectPriorities asserts the whole name and priority list, which contains preset at 15, so the first case was a strict subset of the second
R236	wont-fix	the three bodies are not identical: itSkipsInvalidSyntax feeds not-a-number, itSkipsWarningGreaterThanError feeds warning=25 error=10 and itReturnsEmptyForDocCommentWithoutAnnotation feeds a docblock with no tag. The body-hash pass erased the heredoc fixture before hashing, which is why three different inputs collide at 133 characters. Read against the SUT they take three branches: the value regex, the warning-above-error check, and PATTERN not matching at all
R237	wont-fix	the same group as R236: the warning-above-error branch is reached only by this case, and the shape identity is an artifact of the fixture being erased before hashing
R238	wont-fix	the same group as R236: this is the only case where ThresholdOverrideExtractor::PATTERN does not match at all
R258	wont-fix	the two bodies differ in their fixture: itReturnsEmptyWhenNoSuppressionTags feeds an ordinary docblock with @param and @return, itIgnoreNextLineExtraWordDoesNotMatch feeds @qmx-ignore-next-liner, which is what exercises the (?![\w-]) lookahead in both PATTERN_NEXT_LINE and PATTERN_SYMBOL. The 182-character identity is the hash pass erasing the heredoc
R259	wont-fix	the same group as R258: this case is the only one feeding a longer word than a real tag, and deleting it would leave the next-line lookahead unproven
R260	wont-fix	the two bodies differ in fixture and in mechanism: itFileLevelSuppressionReturnsEmptyWhenNotPresent feeds @qmx-ignore to extractFileLevelSuppressions, so MODE_FILE_ONLY must drop a symbol suppression, while itIgnoreFileSectionDoesNotMatchAsFileLevel feeds @qmx-ignore-file-section, which PATTERN_FILE's lookahead must refuse. Same empty result, different reason
R261	wont-fix	the same group as R260: the pattern lookahead and the mode filter are separate mechanisms and only one case reaches each
R262	wont-fix	the two bodies differ in the tag they escape: @qmx-ignore against PATTERN_SYMBOL and @qmx-ignore-next-line against PATTERN_NEXT_LINE. The file covers the escape once per documented tag - the same shape as the ignore-file cases beside them - and AGENTS.md rule 8 names the tags separately, so deleting one leaves that tag's escape unproven
R263	wont-fix	the same group as R262: the next-line tag is the one this case escapes and no other case does
R264	wont-fix	the two fixtures make different claims: warning=-5 error=10 carries one valid token and one invalid and proves the whole annotation is rejected rather than the valid half kept, while method.warning=15 method.error=25 proves a dotted per-level key is not a token at all. Both reach the same diagnostic, which is why the erased-fixture hash collided them
