command	name	type	accepts_value	is_array	required	default	description	shortcut
(global)	--help	option	no	no	no	false	Display help for the given command. When no command is given display help for the <info>list</info> command	h
(global)	--silent	option	no	no	no	false	Do not output any message	
(global)	--quiet	option	no	no	no	false	Only errors are displayed. All other output is suppressed	q
(global)	--verbose	option	no	no	no	false	Increase the verbosity of messages: 1 for normal output, 2 for more verbose output and 3 for debug	v|vv|vvv
(global)	--version	option	no	no	no	false	Display this application version	V
(global)	--ansi	option	no	no	no		Force (or disable --no-ansi) ANSI output	
(global)	--no-interaction	option	no	no	no	false	Do not ask any interactive question	n
(global)	--working-dir	option	yes	no	yes		Use the given directory as working directory	d
(global)	command	argument	yes	no	yes		The command to execute	
_complete	--shell	option	yes	no	yes		The shell type ("bash", "fish", "zsh")	s
_complete	--input	option	yes	yes	yes	[]	An array of input tokens (e.g. COMP_WORDS or argv)	i
_complete	--current	option	yes	no	yes		The index of the "input" array that the cursor is in (e.g. COMP_CWORD)	c
_complete	--api-version	option	yes	no	yes		The API version of the completion script	a
_complete	--symfony	option	yes	no	yes		deprecated	S
baseline:cleanup	--config	option	yes	no	yes		Path to configuration file	c
baseline:cleanup	--preset	option	yes	yes	yes	[]	Apply a named preset (strict, legacy, ci) or path to preset file (can be repeated or comma-separated)	
baseline:cleanup	--disable-rule	option	yes	yes	yes	[]	Disable a rule or group by prefix (e.g., complexity, size.class-count)	
baseline:cleanup	--only-rule	option	yes	yes	yes	[]	Run only specified rules or group by prefix (e.g., complexity, code-smell)	
baseline:cleanup	--rule-opt	option	yes	yes	yes	[]	Rule-specific option (format: rule-name:option=value)	
baseline:cleanup	--no-progress	option	no	no	no	false	Disable progress bar	
baseline:cleanup	--remove	option	yes	yes	yes	[]	Selector of an entry to remove (repeat for more than one)	
baseline:cleanup	--force	option	no	no	no	false	Write even when this run does not cover the scope the baseline records	
baseline:cleanup	baseline	argument	yes	no	yes		Path of the baseline file to inspect	
baseline:cleanup	paths	argument	yes	yes	no	[]	Paths to analyze [default: auto-detect from composer.json]	
baseline:explain	--config	option	yes	no	yes		Path to configuration file	c
baseline:explain	--preset	option	yes	yes	yes	[]	Apply a named preset (strict, legacy, ci) or path to preset file (can be repeated or comma-separated)	
baseline:explain	--disable-rule	option	yes	yes	yes	[]	Disable a rule or group by prefix (e.g., complexity, size.class-count)	
baseline:explain	--only-rule	option	yes	yes	yes	[]	Run only specified rules or group by prefix (e.g., complexity, code-smell)	
baseline:explain	--rule-opt	option	yes	yes	yes	[]	Rule-specific option (format: rule-name:option=value)	
baseline:explain	--no-progress	option	no	no	no	false	Disable progress bar	
baseline:explain	--baseline	option	yes	no	yes		Baseline file whose accepted levels should be taken into account	
baseline:explain	--channel	option	yes	no	yes		Restrict the answer to one channel, in "rule-name#violation-code" form	
baseline:explain	subject	argument	yes	no	yes		Canonical metric subject key, as printed in reports	
baseline:explain	paths	argument	yes	yes	no	[]	Paths to analyze [default: auto-detect from composer.json]	
baseline:generate	--config	option	yes	no	yes		Path to configuration file	c
baseline:generate	--preset	option	yes	yes	yes	[]	Apply a named preset (strict, legacy, ci) or path to preset file (can be repeated or comma-separated)	
baseline:generate	--disable-rule	option	yes	yes	yes	[]	Disable a rule or group by prefix (e.g., complexity, size.class-count)	
baseline:generate	--only-rule	option	yes	yes	yes	[]	Run only specified rules or group by prefix (e.g., complexity, code-smell)	
baseline:generate	--rule-opt	option	yes	yes	yes	[]	Rule-specific option (format: rule-name:option=value)	
baseline:generate	--no-progress	option	no	no	no	false	Disable progress bar	
baseline:generate	--mode	option	yes	no	yes	ratchet	How captured entries are judged later: ratchet (bound each group by what it reports now) or suppress (accept the identity whatever it reports)	
baseline:generate	--force	option	no	no	no	false	Overwrite an existing baseline file, discarding the acceptances it records	
baseline:generate	baseline	argument	yes	no	yes		Path of the baseline file to write	
baseline:generate	paths	argument	yes	yes	no	[]	Paths to analyze [default: auto-detect from composer.json]	
baseline:rename-channels	--format	option	yes	no	yes	text	Output format (text, json)	
baseline:rename-channels	baseline	argument	yes	no	yes		Path of the baseline file to carry	
baseline:rename-channels	map	argument	yes	no	yes		Path of the tab-separated rename map (columns: old, new, reason)	
baseline:update	--config	option	yes	no	yes		Path to configuration file	c
baseline:update	--preset	option	yes	yes	yes	[]	Apply a named preset (strict, legacy, ci) or path to preset file (can be repeated or comma-separated)	
baseline:update	--disable-rule	option	yes	yes	yes	[]	Disable a rule or group by prefix (e.g., complexity, size.class-count)	
baseline:update	--only-rule	option	yes	yes	yes	[]	Run only specified rules or group by prefix (e.g., complexity, code-smell)	
baseline:update	--rule-opt	option	yes	yes	yes	[]	Rule-specific option (format: rule-name:option=value)	
baseline:update	--no-progress	option	no	no	no	false	Disable progress bar	
baseline:update	--force	option	no	no	no	false	Write even when this run does not cover the scope the baseline records	
baseline:update	baseline	argument	yes	no	yes		Path of the baseline file to update in place	
baseline:update	paths	argument	yes	yes	no	[]	Paths to analyze [default: auto-detect from composer.json]	
check	--preset	option	yes	yes	yes	[]	Apply a named preset (strict, legacy, ci) or path to preset file (can be repeated or comma-separated)	
check	--exclude	option	yes	yes	yes	[]	Directories to exclude (can be repeated)	
check	--suppress-path	option	yes	yes	yes	[]	Suppress violations for files matching path prefix or glob pattern (can be repeated, e.g., src/Entity, src/Metrics/*Visitor.php)	
check	--suppress-namespace	option	yes	yes	yes	[]	Suppress violations for classes in namespace matching prefix or glob pattern (can be repeated, e.g., App\Entity, App\*Repository)	
check	--include-generated	option	no	no	no	false	Include files marked with @generated annotation (skipped by default)	
check	--config	option	yes	no	yes		Path to configuration file	c
check	--format	option	yes	no	yes		Output format (summary, text, json, checkstyle, sarif, gitlab, github, metrics, health, html, suppressed). Default: summary	f
check	--output	option	yes	no	yes		Write output to file instead of stdout (atomic write)	o
check	--fail-on	option	yes	no	yes		Minimum severity to trigger non-zero exit code (none, warning, error). Default: error. Exit codes: 0 = clean, 1 = warnings, 2 = errors, 3 = config/input error	
check	--namespace	option	yes	no	yes		Filter results by namespace pattern: boundary-aware prefix, or glob when it contains * ? [	
check	--class	option	yes	no	yes		Filter results by class FQCN (exact match)	
check	--no-cache	option	no	no	no	false	Disable caching	
check	--cache-dir	option	yes	no	yes		Cache directory	
check	--clear-cache	option	no	no	no	false	Clear cache before analysis	
check	--baseline	option	yes	no	yes		Path to baseline file for filtering known violations	
check	--show-resolved	option	no	no	no	false	Show count of baseline entries resolved since baseline	
check	--show-suppressed	option	no	no	no	false	Show suppressed violations as prose; --format=suppressed reports the same composition as machine-readable JSON	
check	--no-suppression-annotations	option	no	no	no	false	Report findings that `@qmx-ignore` annotations suppress (does not change what a baseline measures)	
check	--report	option	yes	no	yes		Scope of violations to report (e.g., git:main..HEAD)	
check	--report-strict	option	no	no	no	false	Only show violations exactly in changed files (exclude parent namespaces)	
check	--workers	option	yes	no	yes		Number of parallel workers (0 = disable parallel, default: auto-detect)	w
check	--log-file	option	yes	no	yes		Write debug log to file	
check	--log-level	option	yes	no	yes	info	Minimum log level (debug, info, warning, error)	
check	--no-progress	option	no	no	no	false	Disable progress bar	
check	--memory-limit	option	yes	no	yes		PHP memory limit (e.g., 512M, 1G, -1 for unlimited)	
check	--profile	option	yes	no	no	false	Enable profiling and export to file (or show summary if no file specified)	
check	--profile-format	option	yes	no	yes	json	Profile export format (json or chrome-tracing)	
check	--group-by	option	yes	no	yes		Group violations by: none, file, rule, severity, class, namespace (default: formatter-specific)	
check	--format-opt	option	yes	yes	yes	[]	Formatter-specific option (format: key=value)	
check	--detail	option	yes	no	no	false	Show detailed violations (default: 200, --detail=all for unlimited, --detail=N for custom limit)	
check	--top	option	yes	no	yes		Number of top impact issues to show (default 10, 0 to disable)	
check	--all	option	no	no	no	false	Show all violations without truncation (alias for --format-opt=violations=all --detail=all)	
check	--exclude-health	option	yes	yes	yes	[]	Exclude health dimension from scoring (complexity, cohesion, coupling, typing, maintainability)	
check	--disable-rule	option	yes	yes	yes	[]	Disable a rule or group by prefix (e.g., complexity, size.class-count). Disabling duplication.clone also skips the memory-intensive detection phase	
check	--only-rule	option	yes	yes	yes	[]	Run only specified rules or group by prefix (e.g., complexity, code-smell)	
check	--rule-opt	option	yes	yes	yes	[]	Rule-specific option (format: rule-name:option=value)	
check	paths	argument	yes	yes	no	[]	Paths to analyze [default: auto-detect from composer.json]	
completion	--debug	option	no	no	no	false	Tail the completion debug log	
completion	shell	argument	yes	no	no		The shell type (e.g. "bash"), the value of the "$SHELL" env var will be used if this is not given	
debug:layer-assignment	--config	option	yes	no	yes		Path to qmx.yaml (defaults to qmx.yaml in the current working directory)	c
debug:layer-assignment	--format	option	yes	no	yes	text	Output format: text or json	
debug:layer-assignment	--no-progress	option	no	no	no	false	Disable progress bar	
debug:layer-assignment	fqn	argument	yes	no	yes		Fully qualified class name to inspect (e.g. App\Service\Foo)	
directives	--config	option	yes	no	yes		Path to qmx.yaml (defaults to qmx.yaml in the current working directory)	c
directives	--format	option	yes	no	yes	text	Output format: text or json	
directives	--no-progress	option	no	no	no	false	Disable progress bar	
directives	--sweep	option	yes	no	yes	narrow	How much of the rule layer each counterfactual runs: narrow (default) or full	
directives	--preset	option	yes	yes	yes	[]	Apply a named preset (strict, legacy, ci) or path to preset file (can be repeated or comma-separated)	
directives	--disable-rule	option	yes	yes	yes	[]	Disable a rule or group by prefix (e.g., complexity, size.class-count)	
directives	--only-rule	option	yes	yes	yes	[]	Run only specified rules or group by prefix (e.g., complexity, code-smell)	
directives	--rule-opt	option	yes	yes	yes	[]	Rule-specific option (format: rule-name:option=value)	
directives	paths	argument	yes	yes	no	[]	Paths to analyse (defaults to the paths configured in qmx.yaml)	
graph:export	--output	option	yes	no	yes		Output file (default: stdout)	o
graph:export	--format	option	yes	no	yes	dot	Output format (dot, json)	f
graph:export	--direction	option	yes	no	yes	LR	Graph direction (LR, TB, RL, BT)	
graph:export	--no-clusters	option	no	no	no	false	Do not group by namespace	
graph:export	--namespace	option	yes	yes	yes	[]	Include only these namespaces	
graph:export	--exclude-namespace	option	yes	yes	yes	[]	Exclude these namespaces	
graph:export	paths	argument	yes	yes	yes	[]	Paths to analyze	
help	--format	option	yes	no	yes	txt	The output format (txt, xml, json, or md)	
help	--raw	option	no	no	no	false	To output raw command help	
help	command_name	argument	yes	no	no	help	The command name	
hook:install	--force	option	no	no	no	false	Overwrite existing hook	f
hook:uninstall	--restore-backup	option	no	no	no	false	Restore backup if it exists	r
list	--raw	option	no	no	no	false	To output raw command list	
list	--format	option	yes	no	yes	txt	The output format (txt, xml, json, or md)	
list	--short	option	no	no	no	false	To skip describing commands' arguments	
list	namespace	argument	yes	no	no		The namespace name	
rules	--group	option	yes	no	yes		Filter by rule group (e.g., complexity, coupling, code-smell)	g
