itAcceptsAPopulationCarryingEveryVerdictAndEveryRefusal	MISDECLARED	table-forgets-a-verdict	removing 'inert' from MeasuredEffects::TABLE makes VerdictReport::fromJson() throw on any 'inert' verdict (MeasuredEffects::requireNamed, called eagerly for every verdict), and the fixture this case reads is built to carry an 'inert' verdict precisely to exercise "every verdict of the vocabulary" — the same claim the probe denies	ran `php scripts/directive-audit-controls.php --only=table-forgets-a-verdict,...,verdict-ignores-the-measurement --jobs=4` (log controls-batch.log): table-forgets-a-verdict "as declared", case in its alsoReddens; reading scripts/directive-audit/MeasuredEffects.php:27-32 and scripts/directive-audit/VerdictReport.php:75-77
itAcceptsAnExplicitFullSweep	MISDECLARED	removal-removes-nothing	the case's second assertion (`effect === 'effective'`) is the exact fact removal-removes-nothing negates: with the removal filter kept as "remove nothing", the directive under test can no longer be measured as changing production, so it reports Inert instead of Effective regardless of --sweep	batch run (controls-batch.log): removal-removes-nothing "as declared", case listed in its alsoReddens; reading tests/Infrastructure/Console/Functional/DirectivesCommandTest.php:692-706 and scripts/directive-audit-controls/Probes.php:1071-1097
itCallsADirectiveEffectiveWhenItOnlyMovedTheSeverity	MISDECLARED	field-severity	the probe's own FIELD_CASCADES entry names this exact case: dropping `$finding->severity->value` from the fingerprint identity is precisely what makes a severity-only change invisible to the comparison, so the directive reads as Inert instead of Effective	batch run (controls-batch.log): field-severity "as declared", case in its alsoReddens; reading scripts/directive-audit-controls/Probes.php:93-128 and tests/Analysis/Policy/Inline/Integration/ThresholdDirectiveAuditTest.php:251-261
itComparesTheCounterfactualAgainstAReferenceTakenByTheSameNarrowing	MISDECLARED	verdict-ignores-the-measurement	the case asserts `DirectiveEffect::Inert`; the mutation hardcodes `$effect = DirectiveEffect::Effective` for every verdict, so the assertion fails on the exact field (`->effect`) the case reads, independent of the reference-narrowing scenario it is built around	batch run (controls-batch.log): verdict-ignores-the-measurement "as declared", case in its alsoReddens; reading scripts/directive-audit-controls/Probes.php:1302-1308 and tests/Analysis/Policy/Inline/Integration/ThresholdDirectiveAuditTest.php:576-607
itDefaultsToTheNarrowSweep	UNGUARDED	—	the case's only guard, report-forgets-the-run, empties AnalysisCoverage; that makes DirectivesCommand::execute() hit the unrelated "analysed no PHP files" refusal (analyzedFilesCount()===0 && isComplete()) before the sweep field is even printed — collateral of a generic short-circuit, not a denial of "no --sweep defaults to narrow"; no other probe among Probes::all() touches this case	batch run (controls-batch.log): report-forgets-the-run "as declared", case only in its alsoReddens, no other of the 113 probes declares or reddens it; reading src/Infrastructure/Console/Command/DirectivesCommand.php:228-241 and tests/Infrastructure/Console/Functional/DirectivesCommandTest.php:677-691
itDoesNotCallAProducerDisabledAtALevelItNeverReportsAt	MISDECLARED	verdict-ignores-the-measurement	the case asserts exit 2 and the text "inert: removing it changes nothing.", both derived from `effect === Inert`; forcing `$effect = Effective` directly flips that outcome	batch run (controls-batch.log): verdict-ignores-the-measurement "as declared", case in its alsoReddens; reading tests/Infrastructure/Console/Functional/DirectivesCommandTest.php:1017-1026 and src/Infrastructure/Console/Command/DirectivesCommand.php:265-276
itExitsCleanWhenADirectiveCouldNotBeMeasured	MISDECLARED	suppression-judges-every-channel	the case asserts `reason === 'addresses-every-channel'` for a `@qmx-ignore *` suppression; the mutation (`if ($target->appliesToEveryChannel())` -> `if (false)`) is exactly the check that decides that reason, so a no-rule-filter suppression is judged as if it named a rule and never reaches that reason (json-summary-by-hand is a second, independent match on the same case's `summary.unmeasured` assertion)	batch run (controls-batch.log): suppression-judges-every-channel and json-summary-by-hand both "as declared", case in both alsoReddens tails; reading scripts/directive-audit-controls/Probes.php:1456-1468 and tests/Infrastructure/Console/Functional/DirectivesCommandTest.php:112-133
itExitsCleanWhenEveryDirectiveStillDoesSomething	MISDECLARED	removal-removes-nothing	the case asserts exit SUCCESS and "effective: removing it changes what the rules produce."; with removal keeping the filter's "remove nothing" behaviour, the very directive under test can no longer be measured as load-bearing and reports Inert, denying exactly this text	batch run (controls-batch.log): removal-removes-nothing "as declared", case in its alsoReddens; reading tests/Infrastructure/Console/Functional/DirectivesCommandTest.php:67-76 and scripts/directive-audit-controls/Probes.php:1071-1097
itExitsCleanWhenTheOnlyFindingIsAnAppliedBoundaryThatMovedNothingElse	MISDECLARED	boundary-out-of-fingerprint	the case is the CLI-level restating of "only the boundary moved -> Overrun" (boundary-out-of-fingerprint's own dedicated unit sibling is itCallsADirectiveOverrunWhenOnlyTheBoundaryMoved); dropping the boundary from the fingerprint identity makes the before/after findings compare as identical, so the directive is no longer read as Overrun and the asserted "applied; nothing moved except the boundary it prints." text never appears — this case additionally checks CLI-rendered text the unit sibling does not, so it carries its own value rather than being redundant with it	batch run (controls-batch.log): boundary-out-of-fingerprint "as declared", case in its alsoReddens; reading scripts/directive-audit-controls/Probes.php:1120-1134 and tests/Infrastructure/Console/Functional/DirectivesCommandTest.php:97-107
itExitsFourWhenTheRunCouldNotParsePartOfTheTree	MISDECLARED	report-forgets-the-run	the case's own subject is coverage-driven exit-code branching (`!$report->coverage->isComplete()` -> exit 4); emptying coverage's failures array is exactly what that branch reads, it just now sees zero failures and zero analyzed files, so the earlier "analysed no PHP files" branch (also coverage-driven) fires instead and reports exit 3 with a different message — the mutation denies the very field (`coverage`) the case's assertion is about, not an unrelated shortcut	batch run (controls-batch.log): report-forgets-the-run "as declared", case in its alsoReddens; reading src/Infrastructure/Console/Command/DirectivesCommand.php:228-273 and src/Analysis/Run/Contract/Pipeline/AnalysisCoverage.php:70-91
