view	file	line	symbol	assumption_kind	closure_mechanism	observable_on_user_supplied_producer_name	reachable_by_user_input_today	evidence	evidence_detail
1	src/Analysis/Finding/ChannelPresentationView.php	78	ChannelPresentationView::presentationFor	throws-on-unknown	$docsPageByRule built by ChannelDeclarationCompilerPass over tagged rule classes only	throws LogicException; the whole report dies (SARIF/text/json alike) once a resolved producer is absent from the map	not-yet (today every resolved producer is a rule class; after R5 computed.<name> is not)	прогон+чтение	vendor/bin/phpunit --no-coverage --filter itFailsLoudWhenTheProducingRuleHasNoDeclaredDocsPage tests/Analysis/Finding/Unit/ChannelPresentationViewTest.php = OK (1 test); today's run over the health corpus resolves computed.branch_load through producer computed.health and does NOT throw
1	src/Analysis/Finding/ChannelPresentationView.php	62	ChannelPresentationView::presentationFor	null-on-unknown-code	ChannelIdentityInterface::producerOf; the computed half is answered from the live definition catalog	returns null for a code no channel carries - a legitimate answer, not a failure	yes	прогон	SARIF descriptor for computed.branch_load carried the producer's page (helpUri .../reference/health-scores/), so producerOf answered non-null for a user-defined name
1	src/Infrastructure/Rule/ComputedMetricChannelPresentation.php	32	ComputedMetricChannelPresentation::presentationFor	throws-on-unknown (inherited)	delegates to the inner view before overriding the description; no guard of its own	propagates the inner LogicException; the decorator that exists FOR user-defined metrics is the one that cannot survive their producer name	not-yet	чтение	src/Infrastructure/Rule/ComputedMetricChannelPresentation.php:32 calls inner->presentationFor unguarded
1	src/Reporting/Formatter/Sarif/SarifRuleCollector.php	74	SarifRuleCollector::collectRules	throws-on-unknown (inherited)	presentationFor per code; describeFrom/helpUriFrom only handle the null answer, not the throw	SARIF emission aborts; the documented fallback (humanised code + repository URL) is never reached	not-yet	прогон	bin/qmx check --format=sarif over the health corpus produced a descriptor for computed.branch_load - proof the code path is exercised by a user-defined name today
1	src/Reporting/Formatter/Sarif/SarifRuleCollector.php	119	SarifRuleCollector::getRuleDescription	throws-on-unknown (inherited)	same as :74	same as :74	not-yet	чтение	independent public entry point, separately resolving presentationFor
1	src/Reporting/Formatter/Sarif/SarifRuleCollector.php	143	SarifRuleCollector::getHelpUri	throws-on-unknown (inherited)	same as :74	same as :74	not-yet	чтение	independent public entry point, separately resolving presentationFor
1	src/Reporting/Formatter/Sarif/SarifRuleCollector.php	58	SarifRuleCollector::collectRules	emits-producer-name	the finding's own ruleName is copied into the descriptor bookkeeping	wrong output: one descriptor per code, whose remembered producer changes from computed.health to the user's own string	yes	прогон	sarif run showed 7 descriptors under the computed family today
1	src/Infrastructure/Rule/ChannelUniverse.php	111	ChannelUniverse::channelsProducedBy	keyed-by-rule-class-constant	$staticChannelKeysByProducer keys are RuleNameReader::read() of tagged rule classes; the runtime half is unlocked by one ===-comparison against the injected computedMetricRuleName (:118)	empty array for a user producer name (the ?? [] on :115), and the runtime branch is skipped because the name is not the single family discriminator	not-yet	чтение	src/Infrastructure/Rule/ChannelUniverse.php:115,118
1	src/Infrastructure/Rule/ChannelUniverse.php	129	ChannelUniverse::ruleNames	assumes-closed-set	array_keys($thresholdOverrideSupportByRule) - one key per tagged rule class	user producers absent from every 'did you mean' list and from every closed-set validation built on it	not-yet	прогон	qmx rules listed the family once as computed.health; the user metric computed.branch_load appeared nowhere
1	src/Infrastructure/Rule/ChannelUniverse.php	134	ChannelUniverse::hasRule	keyed-by-rule-class-constant	isset() on the same compile-time map	false for a user producer: silently 'no such rule'	yes	прогон	"@qmx-threshold computed.branch_load rejected: 'names no rule. ""computed.branch_load"" is a channel of rule ""computed.health"" - a threshold addresses the rule.' After R5 that sentence becomes self-contradictory"
1	src/Infrastructure/Rule/ChannelUniverse.php	172	ChannelUniverse::supportsThresholdOverride	keyed-by-rule-class-constant	?? false on the same compile-time map	false for a user producer; @qmx-threshold on it can never be honoured	yes	прогон	same run as :134
1	src/Infrastructure/Rule/ChannelUniverse.php	167	ChannelUniverse::producerOf	assumes-closed-set	static map is consulted FIRST; the catalog answers only on a miss, and always with the one family name	a static name silently wins a collision, and every runtime code answers one and the same producer	yes	прогон	computed_metrics: 'computed.health' accepted, yielding channel computed.health#computed.health (5 findings) - the producer name and a user metric name already collide in one namespace
1	src/Analysis/Finding/Rule/InMemoryRuleChannelRegistry.php	28	InMemoryRuleChannelRegistry::channelsProducedBy	keyed-by-rule-class-constant	the whole map is supplied by the composition root; no runtime half at all	empty array - silent skip; every selector resolved through it stops matching	not-yet	чтение	?? [] with no catalog fallback
1	src/Analysis/Evidence/Prioritization/Debt/RemediationTimeRegistry.php	76	RemediationTimeRegistry::getBaseMinutes	throws-on-unknown	$minutesByRule built by ChannelDeclarationCompilerPass over tagged rule classes	throws LogicException on every finding of a user producer, i.e. the run cannot finish reporting	not-yet	прогон+чтение	today computed.branch_load findings carry techDebtMinutes=15, resolved via producer computed.health (json run); the throw path is proven by RemediationTimeRegistryTest::itThrowsForARuleNameNotInTheInjectedMap
1	src/Analysis/Evidence/Prioritization/Debt/RemediationTimeRegistry.php	95	RemediationTimeRegistry::getMinutesForViolation	keyed-by-rule-class-constant	passes $violation->ruleName straight into getBaseMinutes	the finding's own producer field is the throw's argument - no filter between user data and the closed map	yes	прогон	techDebtMinutes present on all 78 computed-family findings of the corpus run
1	src/Analysis/Policy/Inline/Directive/DirectiveAddressability.php	129	DirectiveAddressability::problemWithThreshold	keyed-by-rule-class-constant	identity->hasRule	rejects the directive as naming no rule	yes	прогон	see ChannelUniverse:134 row
1	src/Analysis/Policy/Inline/Directive/DirectiveAddressability.php	136	DirectiveAddressability::problemWithThreshold	keyed-by-rule-class-constant	identity->supportsThresholdOverride	even if hasRule were fixed, the override is refused as unsupported	not-yet	чтение	(no detail: read, not run)
1	src/Analysis/Policy/Inline/Directive/DirectiveNameHints.php	120	DirectiveNameHints::forRuleName	assumes-closed-set	nearest() over identity->ruleNames()	hints can never suggest a user producer; a typo in computed.branch_lod gets no suggestion	not-yet	чтение	(no detail: read, not run)
1	src/Analysis/Policy/Inline/Directive/DirectiveNameHints.php	129	DirectiveNameHints::channelsOf	assumes-closed-set	compares producerOf(code) with the typed rule name over identity->channels()	for a user producer the comparison is against the family name, so its own channels are not listed	not-yet	чтение	(no detail: read, not run)
