# enumeration-step5-file-sets.tsv
# Measured on branch rule-vocabulary-channel-levels at HEAD de36c45a.
# Universe: tracked files only (git ls-files, 1989 files). vendor/ and
# .claude/worktrees/ are untracked and therefore absent by construction.
#
# LAYOUT, in this order:
#   1. `subject` TSV rows - one per subject A-J: sizes per bucket + the command
#   2. `member` TSV rows  - one row per (subject, file), with its subject count
#   3. `#` comment blocks, in this order:
#        - full-universe 10x10 overlap matrix
#        - all 45 pairs with up to five example files
#        - empty pairs over the full universe
#        - files in three or more subjects, full universe, complete
#        - CODE-SURFACE 10x10 matrix (the decision-relevant one) and its 45 pairs,
#          empty pairs and >=3-subject files
#        - subjects x the plan's P5.1/P5.2/P5.3/P5.4 directory cut
#        - point 4: what shape of input no subject covers
#        - subject H: whether the loud refusal it needs exists today
#
# Rationale for the format: a 10x10 matrix is unreadable as TSV rows, and the
# per-file membership is unreadable as prose. So the machine-consumable part
# (sets) is TSV and the human-consumable part (matrix) is a comment block.
# Rejected alternatives: (a) one wide row per file with ten boolean columns -
# 900+ rows, and the matrix still has to be computed by the reader; (b) a
# separate matrix TSV - two files for one measurement, and the DoD asks for one.
#
# CAVEAT: finding-gate/** and scripts/finding-gate*/** are being edited by
# another agent in this same tree. Their membership is measured, not trusted.

kind	subject	what	total	src	tests	website	docs	benchmarks	finding_gate	other	command
subject	A	Violation -> Finding, violationCode -> code	448	168	186	20	58	0	6	10	git grep -lIP '\bViolation|violationCode|\$violations?\b|list<Violation>'  +  git ls-files '*Violation*'
subject	B	removal of Violation::$level	36	6	30	0	0	0	0	0	git grep -lIP '(^|[^A-Za-z_])level:\s*(\$|SymbolLevel::|null)'  +  git grep -lIP '->level\b'  (both intersected with files naming Violation/violation, plus Violation.php itself)
subject	C	level leaves the channel name (10 -> 5)	145	29	64	10	34	0	5	3	git grep -lIF -e 'complexity.cognitive.callable' -e 'complexity.cognitive.class' -e 'complexity.cyclomatic.callable' -e 'complexity.cyclomatic.class' -e 'complexity.npath.callable' -e 'complexity.npath.class' -e 'coupling.cbo.class' -e 'coupling.cbo.namespace' -e 'coupling.instability.class' -e 'coupling.instability.namespace' -e 'ClassCognitiveComplexityOptions' -e 'MethodCognitiveComplexityOptions' -e 'ClassComplexityOptions' -e 'MethodComplexityOptions' -e 'ClassNpathComplexityOptions' -e 'MethodNpathComplexityOptions' -e 'ClassCboOptions' -e 'NamespaceCboOptions' -e 'ClassInstabilityOptions' -e 'NamespaceInstabilityOptions'  +  git ls-files '*{Class,Method,Namespace}*Options.php' for the ten option classes
subject	D	computed.health splits into health.* and computed.*	169	55	47	13	33	0	16	5	column 2 of docs/internal/plans/rule-vocabulary/enumeration-producer-name-consumers.tsv  +  git grep -lIP 'computed\.health|ComputedMetricChannelPresentation|ComputedMetricDefaults|REGISTERED_RULE_COUNT|computed_metrics'  +  the three named guard tests
subject	E	MetricName grammar family.metric	188	85	66	12	18	0	1	6	git grep -lIF -e 'MetricName::'  +  git grep -lIF -e 'typeCoverage.' -e 'halstead.' -e 'unusedPrivate.' -e 'unreachableCode' -e 'pureMethodCount_cohesion' -e 'rfc_own' -e 'rfc_external' -e 'cbo_app' -e 'ce_packages' -e 'ce_framework' -e 'classRank' -e 'methodCountTotal' -e 'methodStatementCount' -e 'implementingEnumCount' -e 'isVoConstructor' -e 'isPromotedPropertiesOnly' -e 'isDataClass' -e 'abstractClassCount' -e 'classLoc' -e 'traitCount' -e 'interfaceCount' -e 'enumCount' -e 'security.hardcodedCredentials' -e 'security.sensitiveParameter'  (the 71 kind=metric-key rows reduced to their distinctive tokens; generic keys loc/mi/ca/ce/cbo/ccn are unsearchable as bare text)
subject	F	RuleCategory withdrawn	108	39	48	0	20	0	0	1	git grep -lIF -e 'RuleCategory'
subject	G	$levels typed SymbolLevel; all(SymbolLevel)	252	90	122	4	29	0	2	5	git grep -lIP 'ComputedMetricDefinition|->all\(SymbolType|->all\(\$type\)|mapLevel\(|->levels\b|(^|[^A-Za-z_])levels:|SymbolLevelProjection|MetricRepositoryInterface'  (seeded by Serena find_referencing_symbols on MetricRepositoryInterface::all and ComputedMetricDefinition::$levels)
subject	H	directive grammars accept a colon	70	18	8	21	20	0	0	3	git grep -lIP 'SuppressionExtractor|ThresholdOverrideExtractor|InlineDirectiveValidator|ChannelExclusionKeyValidator|PATTERN_SYMBOL|PATTERN_NEXT_LINE|PATTERN_FILE'  +  git grep -lIP 'qmx-ignore|qmx-threshold' -- 'website/docs' (user-facing grammar pages only; @qmx-* tags inside src/ are suppressions, not grammar)
subject	I	baseline v13 -> v14	187	61	79	6	32	0	5	4	git ls-files -- src/Analysis/Policy/Baseline tests/Analysis/Policy/Baseline qmx-baseline.json  +  git grep -lIP 'BaselineMigrator|SCHEMA_VERSION|CURRENT_VERSION|BaselineWriter|BaselineLoader|GitLabCodeQualityFormatter|SarifFormatter|fingerprint'
subject	J	site, CHANGELOG, ADR, generated inventories	113	0	0	57	53	0	0	3	git ls-files -- website/docs docs/adr docs/internal/modular-architecture-manifest.json docs/internal/generated CHANGELOG.md qmx.yaml qmx.yaml.example

kind	subject	file	subject_count	all_subjects
member	A	.github/workflows/qmx.yml	1	A
member	A	AGENTS.md	2	AE
member	A	CHANGELOG.md	7	ACDEGIJ
member	A	LICENSE	1	A
member	A	SCANNER_VALIDATION_ROUND_2_HANDOFF.md	2	AI
member	A	docs/ARCHITECTURE.md	1	A
member	A	docs/README.md	1	A
member	A	docs/adr/0003-reporting-ux-redesign.md	5	ADGIJ
member	A	docs/adr/0005-architecture-rules.md	2	AJ
member	A	docs/adr/0012-hybrid-architectural-direction.md	2	AJ
member	A	docs/adr/0015-relative-path-vo.md	3	AIJ
member	A	docs/adr/0016-subject-cohesion.md	2	AJ
member	A	docs/adr/0024-channel-identity-and-selector-semantics.md	5	ACDFJ
member	A	docs/adr/0025-channel-selectors-in-configuration-keys.md	4	ACDJ
member	A	docs/adr/0029-channel-presentation-join.md	6	ACDFGJ
member	A	docs/adr/README.md	5	ADEFJ
member	A	docs/internal/CLI_CONVENTIONS.md	1	A
member	A	docs/internal/PRODUCT_ROADMAP.md	2	AE
member	A	docs/internal/PRODUCT_VISION.md	1	A
member	A	docs/internal/SCANNER_VALIDATION_ROUND_2_PLAN.md	8	ACDEFGHI
member	A	docs/internal/generated/modular-architecture/production-composition-bindings.tsv	3	ADJ
member	A	docs/internal/generated/modular-architecture/production-cross-owner-imports.tsv	8	ACDFGHIJ
member	A	docs/internal/generated/modular-architecture/production-module-fan-in.tsv	6	AFGHIJ
member	A	docs/internal/generated/modular-architecture/production-ownership.tsv	8	ACDFGHIJ
member	A	docs/internal/generated/modular-architecture/production-phase-participants.tsv	4	AEGJ
member	A	docs/internal/generated/modular-architecture/production-public-imports.tsv	8	ACDFGHIJ
member	A	docs/internal/generated/modular-architecture/production-reporting-classification.tsv	3	AIJ
member	A	docs/internal/generated/modular-architecture/test-ownership.tsv	7	ACDGHIJ
member	A	docs/internal/generated/modular-architecture/test-phpunit-discovery.txt	8	ACDEGHIJ
member	A	docs/internal/modular-architecture-manifest.json	8	ACDFGHIJ
member	A	docs/internal/plans/baseline-compaction/PLAN-IDENTITY.md	2	AI
member	A	docs/internal/plans/baseline-compaction/PLAN.md	3	AGI
member	A	docs/internal/plans/baseline-compaction/enumeration-artifact.md	1	A
member	A	docs/internal/plans/baseline-compaction/enumeration-identity.md	3	ADI
member	A	docs/internal/plans/channel-identity-substrate.md	6	ACDFGH
member	A	docs/internal/plans/client-requests/architecture-layer-pending.md	1	A
member	A	docs/internal/plans/client-requests/architecture-unassigned-class.md	3	ACG
member	A	docs/internal/plans/client-requests/threshold-override-exact-matching.md	2	AC
member	A	docs/internal/plans/diff-mode-new-only.md	4	ADFI
member	A	docs/internal/plans/global-functions-graph.md	3	AEG
member	A	docs/internal/plans/modular-architecture/decisions-and-target.md	1	A
member	A	docs/internal/plans/modular-architecture/p1-duplication.md	1	A
member	A	docs/internal/plans/modular-architecture/p2-dependency-model.md	4	ACDI
member	A	docs/internal/plans/modular-architecture/p3-run-measurement-configuration.md	5	ACDGI
member	A	docs/internal/plans/modular-architecture/p4-architecture-policy.md	1	A
member	A	docs/internal/plans/modular-architecture/p5-computed-metrics.md	4	ACDG
member	A	docs/internal/plans/modular-architecture/p6-finding-policy.md	6	ACDFHI
member	A	docs/internal/plans/modular-architecture/p6/p6-production-ledger.md	6	ACDFHI
member	A	docs/internal/plans/modular-architecture/p6/p6-relations-ledger.md	6	ACFGHI
member	A	docs/internal/plans/modular-architecture/p6/p6-test-ledger.md	4	ACHI
member	A	docs/internal/plans/modular-architecture/roadmap-p5-p8.md	2	AG
member	A	docs/internal/plans/phpdoc-dependencies.md	2	AC
member	A	docs/internal/plans/rule-vocabulary/AUDIT.md	3	ACI
member	A	docs/internal/plans/rule-vocabulary/FACTS.md	6	ACDEFG
member	A	docs/internal/plans/rule-vocabulary/PLAN.md	8	ACDEFGHI
member	A	docs/internal/plans/rule-vocabulary/enumeration-channel-levels.tsv	4	ACDG
member	A	docs/internal/plans/rule-vocabulary/enumeration-consumers.tsv	3	AEF
member	A	docs/internal/plans/rule-vocabulary/enumeration-producer-name-consumers.tsv	4	ADHI
member	A	docs/internal/plans/rule-vocabulary/enumeration-producer-surfaces.tsv	2	AE
member	A	docs/internal/plans/rule-vocabulary/enumeration-renames.tsv	4	ACDE
member	A	docs/internal/plans/rule-vocabulary/enumeration-shape-consumers.tsv	2	AH
member	A	docs/internal/plans/sarif-channel-descriptions.md	6	ACDFGI
member	A	docs/internal/plans/sarif-channel-descriptions/channel-inventory.tsv	3	ACI
member	A	finding-gate/README.md	3	ACD
member	A	qmx-baseline.json	6	ACDGHI
member	A	qmx.yaml	8	ACDFGHIJ
member	A	scripts/finding-gate-controls.php	1	A
member	A	scripts/finding-gate-controls/Controls.php	3	ADG
member	A	scripts/finding-gate/Fingerprints.php	2	AI
member	A	scripts/finding-gate/Gate.php	2	AI
member	A	scripts/finding-gate/SelfTest.php	3	ACI
member	A	scripts/generate-modular-architecture-production-inventory.php	3	AEG
member	A	scripts/generate-modular-architecture-test-inventory.php	2	AH
member	A	scripts/generate-rename-enumeration.php	3	ADE
