surface	file	reason
case:annotations|explain:file:src/Directives.php	declared-delta/case-annotations-explain-file-src-Directives-php.diff	baseline:explain now appends the documentation pointer line to its output
case:annotations|format:health	declared-delta/case-annotations-format-health.diff	check now appends the documentation pointer line to the health format's tail
case:annotations|format:json	declared-delta/case-annotations-format-json.diff	check now publishes the docs and llmsTxt addresses in the json format meta block
case:annotations|format:metrics	declared-delta/case-annotations-format-metrics.diff	check now publishes the docs and llmsTxt addresses among the metrics format root fields
case:annotations|format:sarif	declared-delta/case-annotations-format-sarif.diff	check now points tool.driver.informationUri at the documentation site and publishes llmsTxt in driver properties
case:annotations|format:summary	declared-delta/case-annotations-format-summary.diff	check now appends the documentation pointer line to the summary format's tail
case:annotations|format:suppressed	declared-delta/case-annotations-format-suppressed.diff	check now publishes the docs and llmsTxt addresses in the suppressed format meta block
case:annotations|format:text	declared-delta/case-annotations-format-text.diff	check now appends the documentation pointer line to the text format's tail
case:annotations|format:text-verbose	declared-delta/case-annotations-format-text-verbose.diff	text-verbose delegates to text and inherits the documentation pointer line now appended to its tail
case:annotations|show-suppressed	declared-delta/case-annotations-show-suppressed.diff	check --show-suppressed now appends the documentation pointer line to its stderr report
case:applied-threshold|explain:declaration:callable:Corpus\AppliedThreshold\Accepted::assemble@src/Accepted.php	declared-delta/case-applied-threshold-explain-declaration-callable-Corpus-AppliedThreshold-Accepted-assemble-src-Accepted-php.diff	baseline:explain now appends the documentation pointer line to its output
case:applied-threshold|explain:declaration:callable:Corpus\AppliedThreshold\ClassScoped::walk@src/ClassScoped.php	declared-delta/case-applied-threshold-explain-declaration-callable-Corpus-AppliedThreshold-ClassScoped-walk-src-ClassScoped-php.diff	baseline:explain now appends the documentation pointer line to its output
case:applied-threshold|explain:declaration:callable:Corpus\AppliedThreshold\Neighbour::classify@src/Neighbour.php	declared-delta/case-applied-threshold-explain-declaration-callable-Corpus-AppliedThreshold-Neighbour-classify-src-Neighbour-php.diff	baseline:explain now appends the documentation pointer line to its output
case:applied-threshold|explain:declaration:callable:Corpus\AppliedThreshold\Retuned::classify@src/Retuned.php	declared-delta/case-applied-threshold-explain-declaration-callable-Corpus-AppliedThreshold-Retuned-classify-src-Retuned-php.diff	baseline:explain now appends the documentation pointer line to its output
case:applied-threshold|format:health	declared-delta/case-applied-threshold-format-health.diff	check now appends the documentation pointer line to the health format's tail
case:applied-threshold|format:json	declared-delta/case-applied-threshold-format-json.diff	check now publishes the docs and llmsTxt addresses in the json format meta block
case:applied-threshold|format:metrics	declared-delta/case-applied-threshold-format-metrics.diff	check now publishes the docs and llmsTxt addresses among the metrics format root fields
case:applied-threshold|format:sarif	declared-delta/case-applied-threshold-format-sarif.diff	check now points tool.driver.informationUri at the documentation site and publishes llmsTxt in driver properties
case:applied-threshold|format:summary	declared-delta/case-applied-threshold-format-summary.diff	check now appends the documentation pointer line to the summary format's tail
case:applied-threshold|format:suppressed	declared-delta/case-applied-threshold-format-suppressed.diff	check now publishes the docs and llmsTxt addresses in the suppressed format meta block
case:applied-threshold|format:text	declared-delta/case-applied-threshold-format-text.diff	check now appends the documentation pointer line to the text format's tail
case:applied-threshold|format:text-verbose	declared-delta/case-applied-threshold-format-text-verbose.diff	text-verbose delegates to text and inherits the documentation pointer line now appended to its tail
case:applied-threshold|show-suppressed	declared-delta/case-applied-threshold-show-suppressed.diff	check --show-suppressed now appends the documentation pointer line to its stderr report
case:complexity|explain:declaration:callable:Corpus\Complexity\Router::route@src/Router.php	declared-delta/case-complexity-explain-declaration-callable-Corpus-Complexity-Router-route-src-Router-php.diff	baseline:explain now appends the documentation pointer line to its output
case:complexity|explain:declaration:class:Corpus\Complexity\Router@src/Router.php	declared-delta/case-complexity-explain-declaration-class-Corpus-Complexity-Router-src-Router-php.diff	baseline:explain now appends the documentation pointer line to its output
case:complexity|format:health	declared-delta/case-complexity-format-health.diff	check now appends the documentation pointer line to the health format's tail
case:complexity|format:json	declared-delta/case-complexity-format-json.diff	check now publishes the docs and llmsTxt addresses in the json format meta block
case:complexity|format:metrics	declared-delta/case-complexity-format-metrics.diff	check now publishes the docs and llmsTxt addresses among the metrics format root fields
case:complexity|format:sarif	declared-delta/case-complexity-format-sarif.diff	check now points tool.driver.informationUri at the documentation site and publishes llmsTxt in driver properties
case:complexity|format:summary	declared-delta/case-complexity-format-summary.diff	check now appends the documentation pointer line to the summary format's tail
case:complexity|format:suppressed	declared-delta/case-complexity-format-suppressed.diff	check now publishes the docs and llmsTxt addresses in the suppressed format meta block
case:complexity|format:text	declared-delta/case-complexity-format-text.diff	check now appends the documentation pointer line to the text format's tail
case:complexity|format:text-verbose	declared-delta/case-complexity-format-text-verbose.diff	text-verbose delegates to text and inherits the documentation pointer line now appended to its tail
case:complexity|show-suppressed	declared-delta/case-complexity-show-suppressed.diff	check --show-suppressed now appends the documentation pointer line to its stderr report
case:coupling|explain:declaration:class:Corpus\Coupling\Service\CacheService@src/Service/CacheService.php	declared-delta/case-coupling-explain-declaration-class-Corpus-Coupling-Service-CacheService-src-Service-CacheService-php.diff	baseline:explain now appends the documentation pointer line to its output
case:coupling|explain:declaration:class:Corpus\Coupling\Service\ReportService@src/Service/ReportService.php	declared-delta/case-coupling-explain-declaration-class-Corpus-Coupling-Service-ReportService-src-Service-ReportService-php.diff	baseline:explain now appends the documentation pointer line to its output
case:coupling|format:health	declared-delta/case-coupling-format-health.diff	check now appends the documentation pointer line to the health format's tail
case:coupling|format:json	declared-delta/case-coupling-format-json.diff	check now publishes the docs and llmsTxt addresses in the json format meta block
case:coupling|format:metrics	declared-delta/case-coupling-format-metrics.diff	check now publishes the docs and llmsTxt addresses among the metrics format root fields
case:coupling|format:sarif	declared-delta/case-coupling-format-sarif.diff	check now points tool.driver.informationUri at the documentation site and publishes llmsTxt in driver properties
case:coupling|format:summary	declared-delta/case-coupling-format-summary.diff	check now appends the documentation pointer line to the summary format's tail
case:coupling|format:suppressed	declared-delta/case-coupling-format-suppressed.diff	check now publishes the docs and llmsTxt addresses in the suppressed format meta block
case:coupling|format:text	declared-delta/case-coupling-format-text.diff	check now appends the documentation pointer line to the text format's tail
