site	role	key_expression	key_origin	normalization_applied	subject_form	path_or_line	notes
FileProcessor::process	producer	$relativePath = PathFactory::bestEffortRelative($file->getPathname(), $this->projectRoot)	SplFileInfo::getPathname() (Symfony Finder walk, both sequential and parallel-worker paths call this same method)	RelativePath::fromString() via tryProjectRelative(), or realpath()+structurePreservingFallback()+RelativePath::fromString() on the best-effort branch	NA	src/Analysis/Run/Collection/FileProcessor.php:61	The one place a RelativePath is minted for a processed file. Sequential (CollectionOrchestrator) and parallel (amphp worker) both go through FileProcessor::process(), so both sides of a merge are normalized the same way.
PathFactory::tryProjectRelative	converter	RelativePath::fromString($raw) (relative branch) or AbsolutePath::fromString($raw)->tryRelativizeTo($projectRoot) (absolute branch)	string given by caller (here, SplFileInfo::getPathname())	full RelativePath::normalize() (see RelativePath row); returns null instead of throwing on escape	NA	src/Core/Path/PathFactory.php:44-56	Both branches end in a RelativePath, i.e. both are normalized; asymmetry with fromString() (returns null vs throws) does not affect normalization itself.
PathFactory::bestEffortRelative	converter	realpath($candidate) when absolute, then tryProjectRelative(), else RelativePath::fromString(structurePreservingFallback($candidate))	string given by caller	realpath() (absolute case) or RelativePath::normalize() (fallback case) — every exit path ends in RelativePath::fromString or an already-built RelativePath	NA	src/Core/Path/PathFactory.php:79-96	Used by FileProcessor; never throws, so it is the actual entry point for the override map's file key, one level above the map itself.
CollectionOrchestrator (sequential aggregation loop)	producer	$filePathKey = $result->filePath->value(); $allThresholdOverrides[$filePathKey] = $result->thresholdOverrides()	$result->filePath is the typed RelativePath returned by FileProcessor::process() (FileProcessingResult::$filePath)	none applied here — value() just unwraps the RelativePath already normalized by FileProcessor/PathFactory	NA	src/Analysis/Run/Collection/CollectionOrchestrator.php:109,120	This is the literal minting site of the string key that ends up as AuthoredDirectiveGroup::$fileKey's origin. It is always a RelativePath::value() output, never a raw Finder path or CLI argument.
CollectionPhaseOutput / SuccessfulFileProcessing / FileProcessingResult	converter (typed carrier)	public RelativePath $filePath (typed field, not a string)	FileProcessor::process()	n/a — carries the already-normalized RelativePath object, not a string, until CollectionOrchestrator calls ->value()	NA	src/Analysis/Run/Contract/Collection/FileProcessingResult.php:21; SuccessfulFileProcessing.php:25,35	Confirms the map's per-worker input side never sees an un-normalized string: the type system enforces RelativePath up to the exact point CollectionOrchestrator degrades it to array-key string.
AnalysisResult::merge	rewriter	$mergedThresholdOverrides[$file] = array_merge($mergedThresholdOverrides[$file] ?? [], $list) for $file => $list of other->thresholdOverrides	both sides' keys come from the same CollectionOrchestrator::$allThresholdOverrides construction (see above), so both are RelativePath::value() forms	none — merge trusts equal-string-means-equal-file	NA	src/Analysis/Run/Contract/Pipeline/AnalysisResult.php:118-121	The place where a form mismatch between two sides would silently duplicate a file's bucket instead of merging it. Currently safe only because both producers are the same FileProcessor code path (see Q1 answer).
AnalysisPipeline::analyze	reader (pass-through)	thresholdOverrides: $prepared->collection->thresholdOverrides	CollectionPhaseOutput::$thresholdOverrides, itself built from CollectionOrchestrator's $allThresholdOverrides	none, verbatim forward	NA	src/Analysis/Run/Pipeline/AnalysisPipeline.php:99	Feeds AnalysisResult::$thresholdOverrides, the map baseline:explain and the finding-gate later read.
AnalysisPipeline (rule-execution phase)	reader (pass-through)	$this->ruleProducerPreparation->prepareInlineDirectives($collectionResult->suppressions, $collectionResult->thresholdOverrides, ...); new AnalysisContext(..., thresholdOverrides: $collectionResult->thresholdOverrides)	CollectionPhaseOutput::$thresholdOverrides	none, verbatim forward, into two independent consumers (InlineDirectivePolicy and AnalysisContext) from the same map instance	NA	src/Analysis/Run/Pipeline/AnalysisPipeline.php:255-270	Same map instance reaches both the audit's InlineDirectivePolicy path and the rule-execution AnalysisContext path — a single source of truth for the run, so a form drift introduced upstream would show identically in both.
RuleProducerPreparation::prepareInlineDirectives	reader (pass-through)	$this->inlineDirectivePolicy->prepare($suppressions, $thresholdOverrides, $thresholdDiagnostics)	CollectionPhaseOutput / AnalysisPipeline	none, verbatim forward	NA	src/Analysis/Run/RuleProducerPreparation.php:118-126	One-line relay into InlineDirectivePolicy's mutable state.
InlineDirectivePolicy::prepare	reader (pass-through) / rewriter (of internal state)	$this->thresholdOverrides = $thresholdOverrides	RuleProducerPreparation	none	NA	src/Analysis/Policy/Inline/Directive/InlineDirectivePolicy.php:55-59	Stores the run's whole per-file map as private state for the length of the run.
