# Х17 «обещание против эффекта»: ЧЕСТНЫЙ ЗНАМЕНАТЕЛЬ путей конфигурации ВНЕ `rules:`
#
# Дата: 2026-09-11.  Дерево: ветка x17-promise-effect, база 6a833ab8.  PHP 8.5.9 (bin/qmx из репозитория).
#
# ЗАЧЕМ: первая редакция плана объявила знаменатель «корни вне rules:» закрытым, опираясь на 29 «единиц пробы»,
# из которых листья свободных деревьев (architecture, computedMetrics, excludeHealth) были выбраны ЧЕЛОВЕКОМ ПО ДОКУМЕНТАЦИИ.
# Здесь знаменатель снят заново: схема — машинно, свободные деревья — впрыском неизвестного ключа на каждом уровне
# (что отказывает, то и объявлено), CLI-двери — прогоном бинаря.
#
# ГЛАВНЫЙ РЕЗУЛЬТАТ, МЕНЯЮЩИЙ ПОСТАНОВКУ: свободные деревья НЕ свободны. architecture, computed_metrics и exclude_health
# отказывают неизвестному ключу на КАЖДОМ проверенном уровне (до глубины 4) и печатают при этом полный список допустимых —
# то есть их состав ВЫВОДИМ ИЗ КОДА, а не из документации. UNENUMERATED оказался не там, где его ждали: он весь в ПРОСТЫХ
# корнях схемы, у которых нет ни scalarType, ни проверки типа элемента списка.
#
# --- ЧЕМ ПОЛУЧЕНО (дословные команды) ---
# 1. Схема — машинно: php <scratch>/dump.php (require vendor/autoload.php; печатает ENTRIES, allowedRootKeys(),
#    sectionKeys(), listKeys(), associativeRootKeys(), DOCUMENT_ROOTS, allowedSectionSubKeys(), sectionPolicies(),
#    identifierKeyedOptions(), INTERNAL_KEYS и разность allowedRootKeys()\keys(sectionPolicies())).
#    Получено: 16 строк ENTRIES; allowedRootKeys()=17; sectionPolicies()=17, разность ПУСТА; sectionKeys()=cache parallel coupling;
#    listKeys()=paths exclude disabledRules onlyRules suppressPaths suppressNamespaces excludeHealth;
#    associativeRootKeys()=cache parallel coupling rules architecture computedMetrics;
#    DOCUMENT_ROOTS=coupling computedMetrics excludeHealth architecture; INTERNAL_KEYS пуст; identifierKeyedOptions()=suppressNamespaceChannels.
# 2. Пробник — свой: <scratch>/probe (composer.json + src/{Domain,Infra,Sub}.php, неймспейсы Probe\Domain/Infra/Sub,
#    Infra зависит от Domain и Symfony\...\Command). `src/` репозитория как вход НЕ использовался.
#    База: bin/qmx -d <probe> check src --no-progress --no-cache --workers=0 --fail-on=none [--format=json] → exit 0, 16 находок (7 error, 9 warning).
#    Exit снимался БЕЗ пайпа (в $?), сообщения читались из отдельных файлов stdout/stderr.
# 3. Закрытость поддерева — впрыск неизвестного ключа на каждом уровне: `<путь>: {bogus: 1}` и `bogus: 1` внутри записи списка.
#    ОТКАЗ = позиция закрыта, состав детей выводится из отказывающего кода (и обычно прямо из текста сообщения).
#    МОЛЧАНИЕ = состав детей не выводим ниоткуда → UNENUMERATED.
# 4. Форма элемента списка — три впрыска на ключ: `[1]`, `[~]`, `[{a: x}]`.
# 5. Второй свидетель по дверям: docs/internal/generated/input-doors/doors.tsv (ADR 0053), строки surface=cli|config, command=check.
#    Расхождений со своим grep по ConfigurationInputAdapter НЕ найдено — но он и не видит того же, чего не вижу я (см. слепые пятна).
#
# --- ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ ---
# 1. Глубина впрыска — 4 уровня. Пятый и глубже (если он есть) не проверен; «закрыто до глубины 4» — не «закрыто везде».
# 2. Впрыск проверяет ПРИЁМ КЛЮЧА, а не эффект принятого значения. Ключ может быть объявлен, закрыт и при этом ничего не делать.
# 3. Один пробник, один набор правил, один прогон на строку. Недетерминизм не проверялся; позиция, у которой на этом пробнике
#    эффекта не существует, неотличима от инертной.
# 4. Списки допустимых ключей взяты из ОТКАЗА. Если ветка кода отказывает по одному списку, а принимает по другому,
#    этот способ увидит первый. Константы сверены с кодом (колонка shape_decl), но сверка — глазами, не машиной.
# 5. `rules:` не измерялся здесь вовсе — это предмет другого перечислителя.
# 6. Двери из соседних команд (baseline:*, graph:*) не перечислялись: строки ниже — про `check`.
# 7. Пресеты (--preset) идут через ТОТ ЖЕ ConfigLoaderInterface (PresetStage), то есть через ту же валидацию; отдельной
#    третьей валидации у них нет. Проверено чтением PresetStage, не прогоном.
# 8. ComposerDiscoveryStage пишет `paths` из composer.json — это третья дверь того же ключа; её валидация не измерялась.
# 9. Ретированные корни (RetiredSuppressionOptions: excludePaths, excludeNamespaces, excludeNamespaceChannels) в знаменатель
#    НЕ включены: они не входят в allowedRootKeys() и существуют только как распознаваемо-отказываемые написания.
# 10. Форма CLI-значения «пустая строка» проверена только на скалярных опциях; на всех массивных — только на --exclude и --exclude-health.
#
# --- ДВЕ КООРДИНАТЫ ЗНАМЕНАТЕЛЯ, КОТОРЫЕ НАДО НАЗВАТЬ ЧИСЛОМ ---
# ПОЛИТИКА НОРМАЛИЗАЦИИ (зависит от КОРНЯ, не от пути ключа): 17 корней в sectionPolicies(), вне `rules:` — 16:
#   14 NORMALIZE_TO_CAMEL_CASE, 1 PRESERVE_IMMEDIATE_CHILDREN (computedMetrics), 1 PRESERVE_SUBTREE (architecture).
#   Факт без вердикта: YamlConfigLoader.php:128 берёт политику как `$policies[$root] ?? NORMALIZE_TO_CAMEL_CASE`,
#   то есть обходит fail-fast ConfigSchema::policyFor(); неизвестный корень при этом всё равно отвергается позже.
# ФОРМА ЭЛЕМЕНТА СПИСКА: 10 списочных позиций (7 listKeys() + coupling.framework_namespaces + architecture.layers
#   + architecture.allow.<layer>); объявлена у 4, не объявлена у 6.
#
# --- ДВА ФАКТА РЕВЬЮ: ПЕРЕПРОВЕРЕНЫ СВОИМ СПОСОБОМ ---
# A. «--workers=-1 отказывает БЕЗ рамки Configuration error:» — ПОДТВЕРЖДЁН.
#    bin/qmx -d <probe> check src --no-cache --fail-on=none --workers=-1 → exit 3, «parallel.workers must be a non-negative integer.»
#    Механизм (порядок ПРОЧИТАН в коде, не выведен из поведения): CheckCommand.php:193 resolve() → :194
#    configurationResolvers->resolve(), внутри которого CheckConfigurationResolvers.php:43 зовёт ParallelConfigurationResolver;
#    рамочный RuleInputValidator::validateWorkers (RuleInputValidator.php:250, filter_var min_range 0) стоит только на :198.
#    ConfigurationInputAdapter кастует значение (int), поэтому -1 доживает до :43 и получает голый InvalidArgumentException,
#    а "abc"/"1.5"/"" становятся 0, проходят :43 и отказываются рамочно на :198.
# A'. «отрицательный parallel.workers проходит YAML-дверь» — смотря что считать дверью. УЗКОЕ чтение («проходит
#    YamlConfigLoader::validateScalarTypes, потому что -1 ЕСТЬ integer, и отказывает уже общий резолвер») — ВЕРНО и совпадает
#    с механизмом выше. ШИРОКОЕ чтение («YAML-дверь принимает, CLI отказывает») — ОПРОВЕРГНУТО.
#    qmx.yaml `parallel: {workers: -1}` БЕЗ --workers на командной строке (инвариант снят) → exit 3, ТО ЖЕ безрамочное
#    «parallel.workers must be a non-negative integer.» Обе двери ведут в один резолвер. Вероятная причина расхождения с ревью:
#    в стандартной команде соседа стоит --workers=0, который перекрывает YAML-ключ (проверено: с --workers=0 тот же конфиг даёт exit 0, 16 находок).
# B. «--fail-on= (пустая строка) принимается молча, а --fail-on=bogus отказывает» — ПОДТВЕРЖДЁН.
#    --fail-on= → exit 2 (ровно как при опущенном флаге); --fail-on=none → 0; --fail-on=bogus → exit 3 рамочно.
#    YAML `fail_on: ""` → exit 3 рамочно, «Invalid value "" for "fail_on"». То есть ОДИН ключ, ДВЕ двери, РАЗНАЯ валидация.
#    Механизм: ConfigurationInputAdapter::put() отбрасывает `''` (и `[]`, и `null`) — значение просто не пишется.
#    ТА ЖЕ дыра шире, чем один флаг: --format= , --cache-dir= , --memory-limit= — все три принимаются молча и не пишутся
#    (контроль: --format=bogus → exit 3; --memory-limit=bogus → exit 3 рамочно). Вторая сторона пары измерена отдельно:
#    YAML `format: ""` → exit 3 «Output format must not be empty.» (БЕЗ рамки); YAML `memory_limit: ""` → exit 3 рамочно;
#    YAML `cache: {dir: ""}` → exit 0, то есть здесь обе двери ведут себя ОДИНАКОВО (принимают) — пара не расходится.
#    Массивные опции под put() не попадают:
#    --exclude= пишет [''] и остаётся без эффекта (16 = база), --exclude-health= отказывает («Unknown health dimension(s) … health.»).
#
# --- ИТОГОВЫЕ ЧИСЛА ---
# Корней вне `rules:`: 16 (из 17 в allowedRootKeys()).  Строк ENTRIES вне `rules:`: 15.
# Корней БЕЗ строки ENTRIES: 2 (computedMetrics, excludeHealth) — их существование держится на ручных дописках
#   в listKeys()/associativeRootKeys()/sectionPolicies(), а не на схеме.
# ВСЕГО ПОЗИЦИЙ В ЗНАМЕНАТЕЛЕ: 54 = 16 корней + 4 листа секций + 23 позиции architecture + 11 позиций computed_metrics.
# UNENUMERATED: 8.  Все восемь — в простых корнях схемы, НИ ОДНОЙ в свободных деревьях:
#   paths[элемент], exclude[элемент], suppress_paths[элемент], suppress_namespaces[элемент] (тип элемента не объявлен и не проверяется),
#   disabled_rules[элемент], only_rules[элемент] (строка проверяется словарём правил, НЕстрока молча пропускается),
#   format (значение: нет scalarType; строка проверяется реестром форматтеров, bool/список молча инертны),
#   cache.dir (значение: нет scalarType; is_string-страж молча роняет не-строку).
# Из них 6 — это «форма элемента списка не объявлена», 2 — «форма скаляра не объявлена».
# Дверей: 16 корней вне `rules:`; CLI-дверь есть у 13 (11 через ConfigurationInputAdapter, 2 — suppress_paths и
#   suppress_namespaces — МИМО него, напрямую из InputInterface в FindingFilterOrchestrator:54,56); только-YAML: 3
#   (coupling.framework_namespaces, computed_metrics, architecture — сам корень coupling двери не имеет).
# Пар «один ключ × две двери × РАЗНАЯ валидация»: 4, обе стороны каждой измерены прогоном (fail_on, parallel.workers,
#   format, memory_limit). Измеренная пара БЕЗ расхождения: cache.dir (обе двери принимают пустую строку).
#   Ещё 2 — suppress_paths и suppress_namespaces: не «другая валидация», а ДРУГОЙ ПУТЬ при той же (отсутствующей)
#   проверке элемента: единственные проверки YAML-двери касаются формы контейнера, а массивная CLI-опция её нарушить не может.
# CLI-опции команды `check` БЕЗ ключа конфигурации — вне этого знаменателя (по doors.tsv): --baseline, --class, --config,
#   --detail, --format-opt, --group-by, --log-file, --log-level, --namespace, --output, --preset, --profile,
#   --profile-format, --report, --rule-opt, --top. Они двери ввода, но не пишут ни одного корня вне `rules:`.
#
# КОЛОНКИ: path — путь конфигурации; yaml_spelling — как пишется в qmx.yaml; door — yaml|both|cli-direct;
# cli_option — какая CLI-опция пишет этот ключ; owner — класс, который читает/валидирует; shape_decl — ГДЕ объявлена форма
# (файл:строка) или NONE; closed_probe — что ответил впрыск неизвестного ключа/значения; element_shape — форма элемента списка;
# policy — политика нормализации КОРНЯ; status — ENUMERATED|UNENUMERATED; dropped_invariant — какой соседний флаг снимался; note.
#
path	yaml_spelling	door	cli_option	owner	shape_decl	closed_probe	element_shape	policy	status	dropped_invariant	note
paths	paths	both	argument `paths`	Analysis\Run\Configuration\RunConfigurationResolver	ConfigSchema::ENTRIES (list, scalarType=NONE)	корень: bool отказывает, карта молчит (сосед)	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты, exit 0, 0 файлов проанализировано	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	позиционный `src` снят (иначе перекрывает)	третья дверь того же ключа — ComposerDiscoveryStage из composer.json
exclude	exclude	both	--exclude	Analysis\Run\Configuration\RunConfigurationResolver	ConfigSchema::ENTRIES (list)	—	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты, 16 находок = база	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	--exclude= пишет [''] и остаётся без эффекта
format	format	both	--format	Reporting\Configuration\OutputFormatResolver	ConfigSchema::ENTRIES (scalar, scalarType=NONE)	значение bogus отказывает БЕЗ рамки «Formatter "bogus" not found»	н/п (скаляр)	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	--format= молча отбрасывается put(); bool/список молча инертны (сосед)
disabled_rules	disabled_rules	both	--disable-rule	Analysis\Configuration\Pipeline\RuleNameValidator	ConfigSchema::ENTRIES (list)	—	ЧАСТИЧНО: [bogus.rule] отказывает рамочно обеими дверями; [1]/[~]/[{a:x}] приняты молча	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	словарь селекторов есть, проверка типа элемента — нет
only_rules	only_rules	both	--only-rule	Analysis\Configuration\Pipeline\RuleNameValidator	ConfigSchema::ENTRIES (list)	—	ЧАСТИЧНО: то же, что у disabled_rules	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	
suppress_paths	suppress_paths	both (CLI МИМО адаптера)	--suppress-path (алиас --exclude-path)	Reporting\FindingProjection\Configuration\ConfiguredFindingExclusionsResolver	ConfigSchema::ENTRIES (list)	—	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты, 16 = база	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	CLI-значение читается напрямую в FindingFilterOrchestrator:54, минуя ConfigurationInputAdapter; --suppress-path=zzz/nope принят молча (16), валидное значение даёт 10 — как и YAML
suppress_namespaces	suppress_namespaces	both (CLI МИМО адаптера)	--suppress-namespace (алиас --exclude-namespace)	Reporting\FindingProjection\Configuration\ConfiguredFindingExclusionsResolver	ConfigSchema::ENTRIES (list)	—	НЕ ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] приняты	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	—	FindingFilterOrchestrator:56
fail_on	fail_on	both	--fail-on	Infrastructure\Console\ExitPolicy	ConfigSchema::ENTRIES (scalar) + словарь none/warning/error в ExitPolicy	значение bogus отказывает рамочно обеими дверями	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--fail-on снимался целиком	РАЗНАЯ валидация по дверям: YAML "" отказывает, CLI --fail-on= принимается молча (put() роняет '')
cache	cache	yaml (корень)	—	Infrastructure\Cache\CacheConfigurationResolver	ConfigSchema::allowedSectionSubKeys() = dir, enabled	ОТКАЗ: «Unknown key in "cache" section: "bogus". Allowed keys: dir, enabled»	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--no-cache снимался	
cache.dir	cache: {dir: …}	both	--cache-dir	Infrastructure\Cache\CacheConfigurationResolver	ConfigSchema::ENTRIES (scalarType=NONE)	—	н/п	NORMALIZE_TO_CAMEL_CASE	UNENUMERATED	--no-cache снимался	--cache-dir= молча отбрасывается put(); bool/список молча роняются is_string-стражем (сосед)
cache.enabled	cache: {enabled: …}	both (CLI только false)	--no-cache	Infrastructure\Cache\CacheConfigurationResolver	ConfigSchema::ENTRIES scalarType=boolean	—	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	CLI-дверь односторонняя: флаг умеет только false, «включить» с CLI нельзя
parallel	parallel	yaml (корень)	—	Infrastructure\Parallel\Configuration\ParallelConfigurationResolver	ConfigSchema::allowedSectionSubKeys() = workers	ОТКАЗ: «Unknown key in "parallel" section: "bogus". Allowed keys: workers»	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--workers снимался	
parallel.workers	parallel: {workers: …}	both	--workers	Infrastructure\Parallel\Configuration\ParallelConfigurationResolver	ConfigSchema::ENTRIES scalarType=integer + ParallelConfigurationResolver.php:22 (>=0)	—	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--workers снимался	РАЗНАЯ валидация: CLI кастует (int) и имеет ВТОРОЙ, рамочный валидатор RuleInputValidator.php:250, до которого -1 не доживает; YAML отвергает "3" как строку, CLI её принял бы
coupling	coupling	yaml	—	Analysis\Evidence\Coupling\CouplingAnalysis	ConfigSchema::allowedSectionSubKeys() = framework_namespaces	ОТКАЗ: «Unknown key in "coupling" section: "bogus". Allowed keys: framework_namespaces»	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	корень одновременно sectionKey и DOCUMENT_ROOT
coupling.framework_namespaces	coupling: {framework_namespaces: […]}	yaml	—	Analysis\Evidence\Coupling\CouplingAnalysis	ConfigSchema::ENTRIES (без типа) + CouplingAnalysis.php:71	—	ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] → exit 3 «coupling.framework_namespaces entries must be strings.» (БЕЗ рамки)	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	
include_generated	include_generated	both (CLI только true)	--include-generated	Analysis\Run\Configuration\RunConfigurationResolver	ConfigSchema::ENTRIES scalarType=boolean	—	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	CLI-дверь односторонняя
memory_limit	memory_limit	both	--memory-limit	Infrastructure\Console\RuntimeLimits	ConfigSchema::ENTRIES scalarType=string + разбор размера в RuntimeLimits	значение bogus отказывает рамочно	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	--memory-limit= молча отбрасывается put()
architecture	architecture	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	ArchitectureConfigurationFactory.php:63 ALLOWED_TOP_LEVEL_KEYS	ОТКАЗ: «architecture: unknown key "bogus". Allowed keys: "layers", "allow", "coverage-gap", "max_expanded_layers"»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	вопреки постановке плана поддерево ЗАКРЫТО
architecture.layers	architecture: {layers: […]}	yaml	—	Analysis\Policy\Architecture\Configuration\LayersValidator	LayersValidator.php:50 ALLOWED_ENTRY_KEYS	—	ОБЪЯВЛЕНА: элемент — запись слоя с закрытым набором из 9 ключей	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.allow	architecture: {allow: {…}}	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	словарь = имена объявленных слоёв	ОТКАЗ: «architecture.allow.bogus: unknown layer.»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	ключи проверяются против объявленных слоёв, а не против статического списка
architecture.coverage-gap	architecture: {coverage-gap: …}	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	словарь ignore|warn|error	значение bool отказывает рамочно (сосед)	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.max_expanded_layers	architecture: {max_expanded_layers: N}	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	ArchitectureConfigurationFactory.php:242 (целое >= 1)	—	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].name	… layers: [{name: …}]	yaml	—	LayersValidator	LayersValidator.php:50	ОТКАЗ на неизвестный ключ записи: «architecture.layers[0]: unknown key(s) "bogus". Allowed keys: "name", "patterns", "suffix", "attributes", "implements", "extends", "match", "exclude", "pending"»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].patterns	… layers: [{patterns: […]}]	yaml	—	LayersValidator	LayersValidator.php:50 + проверка элемента	—	ОБЪЯВЛЕНА: [1] → «"patterns" entry at index 0 must be a non-empty string (got int)»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].suffix	… layers: [{suffix: …}]	yaml	—	LayersValidator / LayerCriterionNormalizer	LayersValidator.php:53, LayerCriterionNormalizer.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].attributes	… layers: [{attributes: […]}]	yaml	—	LayersValidator	LayersValidator.php:50	—	ОБЪЯВЛЕНА: [1] → «"attributes" entry at index 0 must be a non-empty string (got int)»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].implements	… layers: [{implements: […]}]	yaml	—	LayersValidator	LayersValidator.php:50	—	ОБЪЯВЛЕНА: [{a:x}] → «must be a non-empty string (got array)»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].extends	… layers: [{extends: […]}]	yaml	—	LayersValidator	LayersValidator.php:50	—	не проверялась отдельно (тот же валидатор, что implements)	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].match	… layers: [{match: any|all}]	yaml	—	LayersValidator	словарь any|all	ОТКАЗ: «"match" must be one of "any", "all", got array»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude	… layers: [{exclude: {…}}]	yaml	—	Analysis\Policy\Architecture\Configuration\ExcludeBlockValidator	ExcludeBlockValidator.php:59 ALLOWED_EXCLUDE_KEYS	ОТКАЗ: «unknown key(s) "bogus" inside "exclude". Allowed keys: "patterns", "suffix", "attributes", "implements", "extends", "match"»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].pending	… layers: [{pending: bool}]	yaml	—	LayersValidator	LayersValidator.php:50 + проверка bool	—	н/п	PRESERVE_SUBTREE	ENUMERATED	—	«"pending" must be a boolean, got array»
architecture.layers[*].exclude.patterns	… exclude: {patterns: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.suffix	… exclude: {suffix: …}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.attributes	… exclude: {attributes: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.implements	… exclude: {implements: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.extends	… exclude: {extends: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
